ÿNO.,Compounds,,,,Phase,,,Bandgap from Tauc Plot (eV),
Sample #,Target Compound,Synthesized Compound,Materials Category,Successfully made into films? (Y/N),Dimensionality,Space Group,Other phases observed ,Direct,Indirect
,,,,,,,,,
1,FAPbI3,FAPbI3,Pb compounds,Y,3D,Pm-3m,,1.52,1.48
2,(MAFA)Pb(IBr)3,FAPbI3:MAPbBr3 = 9:1,Pb compounds,Y,3D,Pm-3m,,1.57,1.53
3,(MAFA)Pb(IBr)3,FAPbI3:MAPbBr3 = 8:2,Pb compounds,Y,3D,Pm-3m,,1.61,1.52
4,(MAFA)Pb(IBr)3,FAPbI3:MAPbBr3 = 7:3,Pb compounds,Y,3D,Pm-3m,,1.68,1.55
5,(MAFA)Pb(IBr)3,FAPbI3:MAPbBr3 = 6:4,Pb compounds,Y,3D,Pm-3m,,1.75,1.69
6,(MAFA)Pb(IBr)3,FAPbI3:MAPbBr3 = 5:5,Pb compounds,Y,3D,Pm-3m,,1.85,1.79
7,(MAFA)Pb(IBr)3,FAPbI3:MAPbBr3 = 4:6,Pb compounds,Y,3D,Pm-3m,,1.93,1.87
8,(MAFA)Pb(IBr)3,FAPbI3:MAPbBr3 = 3:7,Pb compounds,Y,3D,Pm-3m,,2.03,1.97
9,(MAFA)Pb(IBr)3,FAPbI3:MAPbBr3 = 2:8,Pb compounds,Y,3D,Pm-3m,,2.09,2.04
10,(MAFA)Pb(IBr)3,FAPbI3:MAPbBr3 = 1:9,Pb compounds,Y,3D,Pm-3m,,2.21,2.15
11,MAPbBr3,MAPbBr3,Pb compounds,Y,3D,Pm-3m,,2.29,2.23
12,(CsRbMAFA)Pb(IBr)3,"%5CsI, 5%RbI, FAPbI3:MAPbBr3 = 9:1",Pb compounds,Y,3D,Pm-3m,PbI2,1.59,1.52
13,(CsRbMAFA)Pb(IBr)3,"%5CsI, 5%RbI, FAPbI3:MAPbBr3 = 5:1",Pb compounds,Y,3D,Pm-3m,PbI2,1.62,1.55
14,(CsRbMAFA)Pb(IBr)3,"%5CsI, 5%RbI, FAPbI3:MAPbBr3 = 3:1",Pb compounds,Y,3D,Pm-3m,PbI2,1.68,1.63
