nm, %R
1100.000000, 15.472179
1098.000000, 15.612493
1096.000000, 15.740548
1094.000000, 15.904478
1092.000000, 16.063881
1090.000000, 16.196949
1088.000000, 16.356242
1086.000000, 16.512356
1084.000000, 16.682718
1082.000000, 16.851560
1080.000000, 17.032236
1078.000000, 17.208295
1076.000000, 17.393296
1074.000000, 17.570819
1072.000000, 17.764500
1070.000000, 17.939518
1068.000000, 18.126711
1066.000000, 18.320151
1064.000000, 18.510317
1062.000000, 18.711486
1060.000000, 18.909978
1058.000000, 19.112363
1056.000000, 19.304593
1054.000000, 19.506832
1052.000000, 19.721670
1050.000000, 19.923904
1048.000000, 20.135210
1046.000000, 20.343374
1044.000000, 20.553754
1042.000000, 20.760087
1040.000000, 20.986257
1038.000000, 21.194506
1036.000000, 21.414793
1034.000000, 21.626936
1032.000000, 21.833342
1030.000000, 22.045965
1028.000000, 22.249817
1026.000000, 22.453550
1024.000000, 22.677338
1022.000000, 22.883246
1020.000000, 23.090000
1018.000000, 23.295319
1016.000000, 23.506614
1014.000000, 23.706778
1012.000000, 23.920047
1010.000000, 24.110739
1008.000000, 24.297533
1006.000000, 24.489270
1004.000000, 24.685634
1002.000000, 24.864091
1000.000000, 25.047222
998.000000, 25.224287
996.000000, 25.404761
994.000000, 25.581454
992.000000, 25.745008
990.000000, 25.893411
988.000000, 26.058828
986.000000, 26.224541
984.000000, 26.368038
982.000000, 26.493209
980.000000, 26.633079
978.000000, 26.765567
976.000000, 26.900140
974.000000, 27.018392
972.000000, 27.135909
970.000000, 27.240316
968.000000, 27.340617
966.000000, 27.434413
964.000000, 27.521771
962.000000, 27.596265
960.000000, 27.663997
958.000000, 27.719775
956.000000, 27.777518
954.000000, 27.820471
952.000000, 27.863489
950.000000, 27.894415
948.000000, 27.910940
946.000000, 27.924536
944.000000, 27.927461
942.000000, 27.914715
940.000000, 27.897329
938.000000, 27.877579
936.000000, 27.838793
934.000000, 27.786758
932.000000, 27.730037
930.000000, 27.665698
928.000000, 27.597076
926.000000, 27.511911
924.000000, 27.413489
922.000000, 27.309043
920.000000, 27.199088
918.000000, 27.079092
916.000000, 26.944625
914.000000, 26.789415
912.000000, 26.626257
910.000000, 26.474650
908.000000, 26.314221
906.000000, 26.133047
904.000000, 25.948960
902.000000, 25.751996
900.000000, 25.525647
898.000000, 25.305551
896.000000, 25.100807
894.000000, 24.872854
892.000000, 24.636362
890.000000, 24.393540
888.000000, 24.133019
886.000000, 23.879630
884.000000, 23.624970
882.000000, 23.365248
880.000000, 23.097482
878.000000, 22.821452
876.000000, 22.555600
874.000000, 22.304623
872.000000, 22.041122
870.000000, 21.773644
868.000000, 21.513254
866.000000, 21.249890
864.000000, 20.985141
862.000000, 20.718293
860.000000, 20.489691
858.000000, 20.489691
856.000000, 20.489691
854.000000, 20.489691
852.000000, 20.489691
850.000000, 20.489691
848.000000, 20.489691
846.000000, 20.489691
844.000000, 20.489691
842.000000, 20.489691
840.000000, 20.489691
838.000000, 20.489691
836.000000, 20.489691
834.000000, 20.489691
832.000000, 20.489691
830.000000, 20.489691
828.000000, 20.489691
826.000000, 20.489691
824.000000, 20.489691
822.000000, 20.489691
820.000000, 20.489691
818.000000, 20.489691
816.000000, 20.489691
814.000000, 20.489691
812.000000, 20.489691
810.000000, 20.489691
808.000000, 20.225192
806.000000, 19.921707
804.000000, 19.937073
802.000000, 19.963180
800.000000, 19.971491
798.000000, 19.995065
796.000000, 19.999578
794.000000, 19.983671
792.000000, 20.010345
790.000000, 20.067734
788.000000, 20.081601
786.000000, 20.075080
784.000000, 20.095284
782.000000, 20.140325
780.000000, 20.132594
778.000000, 20.141768
776.000000, 20.162718
774.000000, 20.154247
772.000000, 20.209945
770.000000, 20.259996
768.000000, 20.261844
766.000000, 20.249346
764.000000, 20.244948
762.000000, 20.295928
760.000000, 20.306260
758.000000, 20.317635
756.000000, 20.335894
754.000000, 20.325509
752.000000, 20.328977
750.000000, 20.342080
748.000000, 20.359669
746.000000, 20.376457
744.000000, 20.375304
742.000000, 20.395979
740.000000, 20.409492
738.000000, 20.412966
736.000000, 20.411530
734.000000, 20.405719
732.000000, 20.433625
730.000000, 19.468608
728.000000, 18.464875
726.000000, 18.497866
724.000000, 18.450739
722.000000, 18.400667
720.000000, 18.423831
718.000000, 18.412859
716.000000, 18.384956
714.000000, 18.352092
712.000000, 18.255831
710.000000, 18.221156
708.000000, 18.206469
706.000000, 18.148212
704.000000, 18.660426
702.000000, 19.331545
700.000000, 19.272200
698.000000, 19.173842
696.000000, 19.091237
694.000000, 18.981843
692.000000, 18.881784
690.000000, 18.786338
688.000000, 18.707875
686.000000, 18.637763
684.000000, 18.660908
682.000000, 18.699064
680.000000, 18.663227
678.000000, 18.626958
676.000000, 18.560622
674.000000, 18.549096
672.000000, 18.573887
670.000000, 18.489558
668.000000, 18.438736
666.000000, 18.415746
664.000000, 18.390319
662.000000, 18.400611
660.000000, 18.391487
658.000000, 18.397987
656.000000, 18.436060
654.000000, 18.387798
652.000000, 18.381043
650.000000, 18.408319
648.000000, 18.448323
646.000000, 18.482770
644.000000, 18.513485
642.000000, 18.591626
640.000000, 18.649939
638.000000, 18.703880
636.000000, 18.770464
634.000000, 18.832814
632.000000, 18.884875
630.000000, 18.923166
628.000000, 18.943454
626.000000, 18.980384
624.000000, 19.047360
622.000000, 19.097278
620.000000, 19.152475
618.000000, 19.174262
616.000000, 19.245784
614.000000, 19.339192
612.000000, 19.416186
610.000000, 19.468287
608.000000, 19.514709
606.000000, 19.584413
604.000000, 19.658559
602.000000, 19.713978
600.000000, 19.767565
598.000000, 19.794715
596.000000, 19.829932
594.000000, 19.889728
592.000000, 19.933896
590.000000, 19.971698
588.000000, 20.001319
586.000000, 20.063241
584.000000, 20.113090
582.000000, 20.143832
580.000000, 20.158694
578.000000, 20.184301
576.000000, 20.203224
574.000000, 20.223262
572.000000, 20.285023
570.000000, 20.348729
568.000000, 20.373426
566.000000, 20.379231
564.000000, 20.413602
562.000000, 20.450553
560.000000, 20.532391
558.000000, 20.672785
556.000000, 20.779444
554.000000, 20.863772
552.000000, 20.920247
550.000000, 20.974986
548.000000, 21.032413
546.000000, 21.084011
544.000000, 21.131297
542.000000, 21.190324
540.000000, 21.218712
538.000000, 21.270051
536.000000, 21.337673
534.000000, 21.370782
532.000000, 21.390627
530.000000, 21.440518
528.000000, 21.488844
526.000000, 21.500735
524.000000, 21.524312
522.000000, 21.543191
520.000000, 21.545734
518.000000, 21.544742
516.000000, 21.522611
514.000000, 21.486655
512.000000, 21.457672
510.000000, 21.388867
508.000000, 21.364042
506.000000, 21.356395
504.000000, 21.312426
502.000000, 21.333546
500.000000, 21.365787
498.000000, 21.428154
496.000000, 21.509005
494.000000, 21.565928
492.000000, 21.616269
490.000000, 21.633396
488.000000, 21.609957
486.000000, 21.505201
484.000000, 21.274511
482.000000, 21.045913
480.000000, 20.869927
478.000000, 20.717091
476.000000, 20.633943
474.000000, 20.524627
472.000000, 20.366483
470.000000, 20.334578
468.000000, 20.259716
466.000000, 20.116740
464.000000, 20.066718
462.000000, 20.068061
460.000000, 20.141697
458.000000, 20.241285
456.000000, 20.294934
454.000000, 20.406592
452.000000, 20.488607
450.000000, 20.610013
448.000000, 20.786069
446.000000, 20.884763
444.000000, 20.906544
442.000000, 20.883496
440.000000, 21.057625
438.000000, 21.206670
436.000000, 21.302105
434.000000, 21.522378
432.000000, 21.690454
430.000000, 21.843343
428.000000, 22.143743
426.000000, 22.386919
424.000000, 22.630912
422.000000, 23.018615
420.000000, 23.429505
418.000000, 23.764642
416.000000, 24.069782
414.000000, 24.469380
412.000000, 24.916445
410.000000, 25.169778
408.000000, 25.358308
406.000000, 25.561314
404.000000, 25.631388
402.000000, 25.814652
400.000000, 26.064401
398.000000, 26.264716
396.000000, 26.507017
394.000000, 26.618656
392.000000, 26.731010
390.000000, 26.737941
388.000000, 26.827075
386.000000, 26.849266
384.000000, 26.833270
382.000000, 26.808064
380.000000, 26.811379
378.000000, 26.811379
376.000000, 26.811379
374.000000, 26.811379
372.000000, 26.811379
370.000000, 26.811379
368.000000, 26.811379
366.000000, 26.811379
364.000000, 26.811379
362.000000, 26.811379
360.000000, 26.811379
358.000000, 26.811379
356.000000, 26.811379
354.000000, 26.811379
352.000000, 26.811379
350.000000, 26.811379
348.000000, 26.811379
346.000000, 26.811379
344.000000, 26.811379
342.000000, 26.811379
340.000000, 26.811379
338.000000, 26.811379
336.000000, 26.811379
334.000000, 26.811379
332.000000, 26.811379
330.000000, 26.811379
328.000000, 26.811379
326.000000, 26.811379
324.000000, 26.811379
322.000000, 26.811379
320.000000, 26.811379
318.000000, 26.811379
316.000000, 26.811379
314.000000, 26.811379
312.000000, 26.811379
310.000000, 26.811379
308.000000, 26.811379
306.000000, 26.811379
304.000000, 26.811379
302.000000, 26.811379
300.000000, 26.811379
