nm, %R
1100.000000, 24.304511
1095.000000, 24.260713
1090.000000, 24.199050
1085.000000, 24.132553
1080.000000, 24.049574
1075.000000, 23.993957
1070.000000, 23.861496
1065.000000, 23.748951
1060.000000, 23.609241
1055.000000, 23.466028
1050.000000, 23.320337
1045.000000, 23.191773
1040.000000, 23.039947
1035.000000, 22.885356
1030.000000, 22.719165
1025.000000, 22.572194
1020.000000, 22.428157
1015.000000, 22.244256
1010.000000, 22.134538
1005.000000, 22.001911
1000.000000, 21.878970
995.000000, 21.772541
990.000000, 21.678238
985.000000, 21.602274
980.000000, 21.566383
975.000000, 21.545863
970.000000, 21.512250
965.000000, 21.542873
960.000000, 21.604861
955.000000, 21.681700
950.000000, 21.811717
945.000000, 21.945879
940.000000, 22.117454
935.000000, 22.312554
930.000000, 22.552755
925.000000, 22.821583
920.000000, 23.117260
915.000000, 23.439783
910.000000, 23.801705
905.000000, 24.158165
900.000000, 24.576757
895.000000, 24.987132
890.000000, 25.407882
885.000000, 25.843726
880.000000, 26.284045
875.000000, 26.676749
870.000000, 27.103814
865.000000, 27.484547
860.000000, 27.852540
855.000000, 27.852540
850.000000, 27.852540
845.000000, 27.852540
840.000000, 28.853922
835.000000, 32.539976
830.000000, 32.053522
825.000000, 30.862283
820.000000, 29.722292
815.000000, 29.109004
810.000000, 28.761277
805.000000, 28.684139
800.000000, 28.908510
795.000000, 28.356786
790.000000, 28.013308
785.000000, 28.052959
780.000000, 27.863513
775.000000, 28.026188
770.000000, 27.979285
765.000000, 27.805397
760.000000, 27.677612
755.000000, 27.680049
750.000000, 27.697966
745.000000, 27.662547
740.000000, 27.614418
735.000000, 27.693637
730.000000, 27.710970
725.000000, 27.759845
720.000000, 27.762857
715.000000, 27.860326
710.000000, 28.025077
705.000000, 28.119594
700.000000, 28.310836
695.000000, 28.485018
690.000000, 28.747229
685.000000, 28.996816
680.000000, 29.105522
675.000000, 29.150664
670.000000, 29.312143
665.000000, 29.439214
660.000000, 29.635445
655.000000, 29.763532
650.000000, 29.826600
645.000000, 29.910794
640.000000, 30.027106
635.000000, 30.102851
630.000000, 30.172859
625.000000, 30.267134
620.000000, 30.381754
615.000000, 30.537286
610.000000, 30.684600
605.000000, 30.943737
600.000000, 31.222748
595.000000, 31.610039
590.000000, 31.992650
585.000000, 32.410529
580.000000, 32.838593
575.000000, 33.194403
570.000000, 33.419862
565.000000, 33.306356
560.000000, 32.217390
555.000000, 29.319143
550.000000, 25.444183
545.000000, 22.243806
540.000000, 20.840473
535.000000, 20.574926
530.000000, 19.388534
525.000000, 18.117481
520.000000, 17.566902
515.000000, 17.431528
510.000000, 17.505262
505.000000, 17.524967
500.000000, 17.402836
495.000000, 17.034564
490.000000, 16.704874
485.000000, 16.632009
480.000000, 17.051273
475.000000, 17.266626
470.000000, 17.459144
465.000000, 17.664045
460.000000, 17.769241
455.000000, 17.744322
450.000000, 17.665592
445.000000, 17.542181
440.000000, 17.718774
435.000000, 17.884381
430.000000, 18.010143
425.000000, 18.131960
420.000000, 18.265603
415.000000, 18.468483
410.000000, 18.663041
405.000000, 18.876054
400.000000, 19.046794
395.000000, 19.206813
390.000000, 19.436958
385.000000, 19.635191
380.000000, 19.892813
375.000000, 19.857232
370.000000, 20.663804
365.000000, 20.632667
360.000000, 19.354529
355.000000, 18.336817
350.000000, 17.622046
345.000000, 17.276499
340.000000, 17.234864
335.000000, 17.234864
330.000000, 17.234864
325.000000, 17.234864
320.000000, 17.234864
315.000000, 17.388207
310.000000, 17.234864
305.000000, 17.234864
300.000000, 17.234864
