nm, %R
900.000000, 23.084518
895.000000, 23.124771
890.000000, 23.104971
885.000000, 23.037896
880.000000, 22.871377
875.000000, 22.724645
870.000000, 22.486165
865.000000, 22.184016
860.000000, 21.368307
855.000000, 20.179589
850.000000, 18.820430
845.000000, 17.493400
840.000000, 16.401070
835.000000, 15.746008
830.000000, 17.757172
825.000000, 18.414832
820.000000, 18.424652
815.000000, 17.911045
810.000000, 17.442886
805.000000, 17.219141
800.000000, 16.833724
795.000000, 16.420183
790.000000, 16.031903
785.000000, 15.681395
780.000000, 15.216143
775.000000, 14.613136
770.000000, 13.829510
765.000000, 12.862563
760.000000, 11.757061
755.000000, 10.747783
750.000000, 10.138370
745.000000, 9.762090
740.000000, 9.611913
735.000000, 9.427564
730.000000, 9.408377
725.000000, 9.423290
720.000000, 9.502188
715.000000, 9.413428
710.000000, 9.549757
705.000000, 9.596777
700.000000, 9.665734
695.000000, 9.752534
690.000000, 9.742307
685.000000, 9.779414
680.000000, 9.836826
675.000000, 9.802085
670.000000, 9.800699
665.000000, 9.734487
660.000000, 9.789063
655.000000, 9.748265
650.000000, 9.724998
645.000000, 9.695079
640.000000, 9.661880
635.000000, 9.623545
630.000000, 9.600159
625.000000, 9.584251
620.000000, 9.591881
615.000000, 9.601102
610.000000, 9.644090
605.000000, 9.704164
600.000000, 9.729221
595.000000, 9.766883
590.000000, 9.848516
585.000000, 9.910978
580.000000, 9.981897
575.000000, 10.078306
570.000000, 10.172740
565.000000, 10.244835
560.000000, 10.364872
555.000000, 10.444316
550.000000, 10.547321
545.000000, 10.635341
540.000000, 10.750837
535.000000, 10.849287
530.000000, 10.958730
525.000000, 11.059304
520.000000, 11.179121
515.000000, 11.287902
510.000000, 11.397638
505.000000, 11.489712
500.000000, 11.580299
495.000000, 11.592853
490.000000, 11.607977
485.000000, 11.602787
480.000000, 11.643544
475.000000, 11.645530
470.000000, 11.655923
465.000000, 11.664500
460.000000, 11.658727
455.000000, 11.705680
450.000000, 11.782831
445.000000, 11.845048
440.000000, 12.086004
435.000000, 12.316277
430.000000, 12.596586
425.000000, 12.847360
420.000000, 13.119435
415.000000, 13.330487
410.000000, 13.623793
405.000000, 13.927908
400.000000, 14.231435
