nm, %R
1200.000000, 14.903216
1190.000000, 14.464337
1180.000000, 14.465748
1170.000000, 14.306494
1160.000000, 14.147474
1150.000000, 13.692021
1140.000000, 13.676873
1130.000000, 13.661612
1120.000000, 13.499455
1110.000000, 13.356859
1100.000000, 13.186754
1090.000000, 13.039052
1080.000000, 12.908011
1070.000000, 12.813667
1060.000000, 12.714163
1050.000000, 12.641014
1040.000000, 12.582259
1030.000000, 12.568741
1020.000000, 12.529453
1010.000000, 12.597823
1000.000000, 12.556947
990.000000, 12.602762
980.000000, 12.694473
970.000000, 12.809125
960.000000, 12.883973
950.000000, 13.068066
940.000000, 13.238870
930.000000, 13.403274
920.000000, 13.570514
910.000000, 13.757333
900.000000, 13.888960
890.000000, 14.110582
880.000000, 14.231561
870.000000, 14.382714
860.000000, 14.465149
850.000000, 14.536891
840.000000, 13.074463
830.000000, 8.002879
820.000000, 11.906107
810.000000, 13.157762
800.000000, 13.939563
790.000000, 14.062189
780.000000, 13.600962
770.000000, 13.687758
760.000000, 13.735635
750.000000, 13.810399
740.000000, 13.882501
730.000000, 13.943670
720.000000, 13.953939
710.000000, 14.053601
700.000000, 14.079461
690.000000, 14.126912
680.000000, 14.307678
670.000000, 14.146939
660.000000, 13.972090
650.000000, 13.909003
640.000000, 13.963713
630.000000, 14.092095
620.000000, 14.158437
610.000000, 14.423261
600.000000, 14.839912
590.000000, 15.298227
580.000000, 15.726552
570.000000, 16.058627
560.000000, 15.934531
550.000000, 14.522419
540.000000, 13.231688
530.000000, 11.976699
520.000000, 11.712788
510.000000, 11.945599
500.000000, 11.960712
490.000000, 11.418315
480.000000, 11.326704
470.000000, 11.936569
460.000000, 12.378932
450.000000, 12.386446
440.000000, 12.237180
430.000000, 12.667721
420.000000, 13.184165
410.000000, 13.873166
400.000000, 14.508571
