nm, %R
1200.000000, 15.250400
1195.000000, 15.353700
1190.000000, 15.464300
1185.000000, 21.504329
1180.000000, 21.669353
1175.000000, 21.817617
1170.000000, 22.109555
1165.000000, 22.243955
1160.000000, 22.398884
1155.000000, 22.527655
1150.000000, 22.674842
1145.000000, 22.804088
1140.000000, 22.949788
1135.000000, 23.084297
1130.000000, 23.212556
1125.000000, 23.337577
1120.000000, 23.473207
1115.000000, 23.583595
1110.000000, 23.705031
1105.000000, 23.834755
1100.000000, 23.956356
1095.000000, 24.064053
1090.000000, 24.164836
1085.000000, 24.269407
1080.000000, 24.368549
1075.000000, 24.472373
1070.000000, 24.582111
1065.000000, 24.684912
1060.000000, 24.788839
1055.000000, 24.884881
1050.000000, 24.973476
1045.000000, 25.079762
1040.000000, 25.185427
1035.000000, 25.289546
1030.000000, 25.386768
1025.000000, 25.492289
1020.000000, 25.606175
1015.000000, 25.690620
1010.000000, 25.781190
1005.000000, 25.853089
1000.000000, 25.949004
995.000000, 26.036720
990.000000, 26.107509
985.000000, 26.160494
980.000000, 26.210253
975.000000, 26.238716
970.000000, 26.239243
965.000000, 26.223707
960.000000, 26.161750
955.000000, 26.070095
950.000000, 25.944099
945.000000, 25.786186
940.000000, 25.602684
935.000000, 25.388930
930.000000, 25.140335
925.000000, 24.867910
920.000000, 24.571894
915.000000, 24.249506
910.000000, 23.919116
905.000000, 23.595928
900.000000, 23.250394
895.000000, 22.928751
890.000000, 22.620861
885.000000, 22.318610
880.000000, 22.036416
875.000000, 21.775031
870.000000, 21.505324
865.000000, 21.293860
860.000000, 21.013583
855.000000, 20.836079
850.000000, 20.598858
845.000000, 20.319484
840.000000, 20.015521
835.000000, 19.704534
830.000000, 19.404087
825.000000, 19.131745
820.000000, 18.905071
815.000000, 18.741630
810.000000, 18.746122
805.000000, 18.940165
800.000000, 18.829168
795.000000, 18.402701
790.000000, 18.058657
785.000000, 17.986027
780.000000, 17.942190
775.000000, 17.859161
770.000000, 17.761794
765.000000, 17.638695
760.000000, 17.647348
755.000000, 17.632874
750.000000, 17.550713
745.000000, 17.459931
740.000000, 17.473529
735.000000, 17.438869
730.000000, 17.466634
725.000000, 17.492556
720.000000, 17.431623
715.000000, 17.514841
710.000000, 17.530458
705.000000, 17.569579
700.000000, 17.575158
695.000000, 17.522625
690.000000, 17.551134
685.000000, 17.665100
680.000000, 17.633347
675.000000, 17.608163
670.000000, 17.644873
665.000000, 17.692055
660.000000, 17.739970
655.000000, 17.755029
650.000000, 17.800526
645.000000, 17.837471
640.000000, 17.883240
635.000000, 17.933059
630.000000, 17.972656
625.000000, 18.056745
620.000000, 18.104124
615.000000, 18.174502
610.000000, 18.221859
605.000000, 18.302504
600.000000, 18.364388
595.000000, 18.429300
590.000000, 18.502947
585.000000, 18.580203
580.000000, 18.663838
575.000000, 18.750626
570.000000, 18.771657
565.000000, 18.817545
560.000000, 18.852713
555.000000, 18.896792
550.000000, 18.875685
545.000000, 18.778741
540.000000, 18.662458
535.000000, 18.612445
530.000000, 18.552435
525.000000, 18.480619
520.000000, 18.406331
515.000000, 18.363766
510.000000, 18.347948
505.000000, 18.324383
500.000000, 18.245425
495.000000, 18.111478
490.000000, 17.924789
485.000000, 17.754628
480.000000, 17.717281
475.000000, 17.738815
470.000000, 17.658611
465.000000, 17.517757
460.000000, 17.299881
455.000000, 17.066316
450.000000, 16.822915
445.000000, 16.540828
440.000000, 16.291636
435.000000, 16.141163
430.000000, 15.955046
425.000000, 15.702598
420.000000, 15.499431
415.000000, 15.257515
410.000000, 15.034448
405.000000, 14.880582
400.000000, 14.680030
395.000000, 14.444680
390.000000, 14.223798
385.000000, 13.982794
380.000000, 13.815753
375.000000, 13.470235
370.000000, 12.736436
365.000000, 12.265929
360.000000, 12.333495
355.000000, 10.639120
350.000000, 10.630304
345.000000, 10.601490
340.000000, 10.550823
335.000000, 10.513978
330.000000, 10.513978
325.000000, 10.513978
320.000000, 10.513978
315.000000, 10.513978
310.000000, 10.513978
305.000000, 10.513978
300.000000, 10.513978
