nm, %R
1100.000000, 15.211249
1095.000000, 15.210167
1090.000000, 15.202763
1085.000000, 15.221631
1080.000000, 15.244299
1075.000000, 15.311500
1070.000000, 15.355284
1065.000000, 15.417406
1060.000000, 15.488924
1055.000000, 15.572736
1050.000000, 15.687240
1045.000000, 15.824939
1040.000000, 15.972782
1035.000000, 16.123046
1030.000000, 16.282755
1025.000000, 16.461366
1020.000000, 16.664183
1015.000000, 16.818464
1010.000000, 17.040262
1005.000000, 17.240789
1000.000000, 17.448737
995.000000, 17.674918
990.000000, 17.898185
985.000000, 18.122717
980.000000, 18.364089
975.000000, 18.584858
970.000000, 18.797159
965.000000, 19.021705
960.000000, 19.247904
955.000000, 19.450729
950.000000, 19.679123
945.000000, 19.873348
940.000000, 20.068372
935.000000, 20.256699
930.000000, 20.424084
925.000000, 20.568575
920.000000, 20.712387
915.000000, 20.874774
910.000000, 21.010108
905.000000, 21.154804
900.000000, 21.259886
895.000000, 21.369870
890.000000, 21.465639
885.000000, 21.543057
880.000000, 21.616094
875.000000, 21.653354
870.000000, 21.685841
865.000000, 21.713782
860.000000, 21.664335
855.000000, 21.466533
850.000000, 20.518435
845.000000, 18.915991
840.000000, 20.573710
835.000000, 25.112457
830.000000, 24.806125
825.000000, 23.633890
820.000000, 22.294685
815.000000, 21.225223
810.000000, 20.392529
805.000000, 19.456197
800.000000, 18.738337
795.000000, 18.484530
790.000000, 17.881835
785.000000, 17.154021
780.000000, 16.533623
775.000000, 15.967399
770.000000, 15.484933
765.000000, 15.059543
760.000000, 14.906279
755.000000, 14.578818
750.000000, 14.546944
745.000000, 14.427995
740.000000, 14.309397
735.000000, 14.220231
730.000000, 14.182118
725.000000, 14.214031
720.000000, 14.109859
715.000000, 14.061569
710.000000, 14.115899
705.000000, 14.100010
700.000000, 14.085004
695.000000, 14.018142
690.000000, 13.934015
685.000000, 13.862646
680.000000, 13.885208
675.000000, 13.966792
670.000000, 13.924502
665.000000, 13.870174
660.000000, 13.816369
655.000000, 13.753021
650.000000, 13.665706
645.000000, 13.592221
640.000000, 13.547231
635.000000, 13.510368
630.000000, 13.433035
625.000000, 13.381172
620.000000, 13.343698
615.000000, 13.308564
610.000000, 13.284757
605.000000, 13.295780
600.000000, 13.282708
595.000000, 13.313534
590.000000, 13.331883
585.000000, 13.357872
580.000000, 13.380595
575.000000, 13.394383
570.000000, 13.411564
565.000000, 13.384865
560.000000, 13.368197
555.000000, 13.512509
550.000000, 13.599443
545.000000, 13.641662
540.000000, 13.666759
535.000000, 13.682169
530.000000, 13.678292
525.000000, 13.668169
520.000000, 13.651533
515.000000, 13.597317
510.000000, 13.512421
505.000000, 13.460660
500.000000, 13.572676
495.000000, 13.811494
490.000000, 14.057882
485.000000, 14.130036
480.000000, 13.818225
475.000000, 13.678736
470.000000, 13.500024
465.000000, 13.363993
460.000000, 13.282873
455.000000, 13.289669
450.000000, 13.347705
445.000000, 13.464765
440.000000, 13.290455
435.000000, 13.168094
430.000000, 13.056843
425.000000, 12.930726
420.000000, 12.808697
415.000000, 12.678140
410.000000, 12.578678
405.000000, 12.472501
400.000000, 12.340369
395.000000, 12.223779
390.000000, 12.153082
385.000000, 12.089718
380.000000, 12.032515
375.000000, 12.061024
370.000000, 12.859208
365.000000, 12.917766
360.000000, 11.615379
355.000000, 10.658031
350.000000, 9.948395
345.000000, 9.700218
340.000000, 9.599035
335.000000, 9.605477
330.000000, 9.550785
325.000000, 9.456686
320.000000, 9.746689
315.000000, 9.435439
310.000000, 7.625977
305.000000, 8.215583
300.000000, 8.180722
