nm, %R
1100.000000, 21.133241
1095.000000, 21.210637
1090.000000, 21.297714
1085.000000, 21.364682
1080.000000, 21.443850
1075.000000, 21.511079
1070.000000, 21.579961
1065.000000, 21.671258
1060.000000, 21.735117
1055.000000, 21.805953
1050.000000, 21.885489
1045.000000, 21.957039
1040.000000, 22.026976
1035.000000, 22.117521
1030.000000, 22.186893
1025.000000, 22.252176
1020.000000, 22.330567
1015.000000, 22.397962
1010.000000, 22.467207
1005.000000, 22.543801
1000.000000, 22.609477
995.000000, 22.685807
990.000000, 22.766202
985.000000, 22.836602
980.000000, 22.910227
975.000000, 22.988897
970.000000, 23.059914
965.000000, 23.137305
960.000000, 23.205650
955.000000, 23.282729
950.000000, 23.361318
945.000000, 23.424706
940.000000, 23.519963
935.000000, 23.586093
930.000000, 23.649407
925.000000, 23.723508
920.000000, 23.783273
915.000000, 23.857541
910.000000, 23.942390
905.000000, 24.004484
900.000000, 24.081241
895.000000, 24.145618
890.000000, 24.201253
885.000000, 24.291205
880.000000, 24.347521
875.000000, 24.409022
870.000000, 24.481219
865.000000, 24.504296
860.000000, 24.600244
855.000000, 24.600244
850.000000, 24.600244
845.000000, 24.600244
840.000000, 24.600244
835.000000, 24.600244
830.000000, 24.600244
825.000000, 24.600244
820.000000, 24.600244
815.000000, 24.600244
810.000000, 24.600244
805.000000, 24.600244
800.000000, 24.600244
795.000000, 24.600244
790.000000, 24.600244
785.000000, 24.600244
780.000000, 25.032027
775.000000, 26.693764
770.000000, 26.597685
765.000000, 26.648306
760.000000, 26.629686
755.000000, 26.443694
750.000000, 26.305071
745.000000, 26.243502
740.000000, 26.242357
735.000000, 26.122847
730.000000, 26.066647
725.000000, 26.050692
720.000000, 26.004432
715.000000, 25.902242
710.000000, 25.880101
705.000000, 25.687292
700.000000, 24.781205
695.000000, 24.957341
690.000000, 25.126464
685.000000, 25.499086
680.000000, 25.737348
675.000000, 25.329369
670.000000, 25.276106
665.000000, 25.214776
660.000000, 25.254641
655.000000, 25.150727
650.000000, 25.171992
645.000000, 25.149332
640.000000, 25.058087
635.000000, 24.939361
630.000000, 24.880267
625.000000, 24.644031
620.000000, 24.525935
615.000000, 24.314873
610.000000, 24.143425
605.000000, 23.818919
600.000000, 23.604708
595.000000, 23.319163
590.000000, 22.939899
585.000000, 22.517657
580.000000, 22.060108
575.000000, 21.546427
570.000000, 21.007079
565.000000, 20.510640
560.000000, 19.967987
555.000000, 18.679555
550.000000, 17.714200
545.000000, 17.055975
540.000000, 16.572884
535.000000, 16.230219
530.000000, 16.042551
525.000000, 15.828475
520.000000, 16.120099
515.000000, 16.617667
510.000000, 18.010627
505.000000, 18.616303
500.000000, 17.312084
495.000000, 15.115254
490.000000, 12.627108
485.000000, 11.801091
480.000000, 13.441542
475.000000, 14.322625
470.000000, 15.031782
465.000000, 15.761581
460.000000, 16.392876
455.000000, 16.657514
450.000000, 16.881313
445.000000, 16.854494
440.000000, 17.761973
435.000000, 18.408647
430.000000, 18.815579
425.000000, 19.122095
420.000000, 19.370880
415.000000, 19.668340
410.000000, 20.164354
405.000000, 20.373420
400.000000, 20.135230
395.000000, 19.815649
390.000000, 19.604077
385.000000, 19.719945
380.000000, 18.608915
375.000000, 18.608915
370.000000, 18.608915
365.000000, 18.608915
360.000000, 18.608915
355.000000, 18.608915
350.000000, 18.608915
345.000000, 18.608915
340.000000, 18.608915
335.000000, 18.608915
330.000000, 18.608915
325.000000, 18.608915
320.000000, 18.608915
315.000000, 18.608915
310.000000, 18.608915
305.000000, 18.608915
300.000000, 18.608915
