nm, %R
900.000000, 76.717301
895.000000, 77.332425
890.000000, 77.929901
885.000000, 78.493278
880.000000, 79.008527
875.000000, 79.575177
870.000000, 80.081112
865.000000, 80.416784
860.000000, 80.510662
855.000000, 75.470928
850.000000, 70.717179
845.000000, 73.573718
840.000000, 74.548192
835.000000, 75.561208
830.000000, 75.677281
825.000000, 76.774759
820.000000, 76.973891
815.000000, 76.633147
810.000000, 75.833672
805.000000, 75.795125
800.000000, 76.219420
795.000000, 75.592618
790.000000, 75.153546
785.000000, 75.464737
780.000000, 75.268974
775.000000, 74.820230
770.000000, 74.785915
765.000000, 74.674363
760.000000, 74.352920
755.000000, 73.963760
750.000000, 73.853882
745.000000, 73.719098
740.000000, 73.546739
735.000000, 73.379603
730.000000, 73.140259
725.000000, 72.942714
720.000000, 72.864894
715.000000, 72.486649
710.000000, 72.263524
705.000000, 72.113808
700.000000, 72.036549
695.000000, 71.857070
690.000000, 71.559101
685.000000, 71.386069
680.000000, 71.454029
675.000000, 71.211570
670.000000, 71.210135
665.000000, 71.067307
660.000000, 70.972808
655.000000, 70.719890
650.000000, 70.756365
645.000000, 70.515682
640.000000, 70.501243
635.000000, 70.342183
630.000000, 70.251485
625.000000, 70.145145
620.000000, 70.063613
615.000000, 69.906004
610.000000, 69.808432
605.000000, 69.701798
600.000000, 69.612473
595.000000, 69.340523
590.000000, 69.270995
585.000000, 69.062206
580.000000, 68.855081
575.000000, 68.690795
570.000000, 68.538626
565.000000, 68.384127
560.000000, 68.302163
555.000000, 68.053785
550.000000, 67.966618
545.000000, 67.910252
540.000000, 67.843374
535.000000, 67.849417
530.000000, 68.019751
525.000000, 68.174804
520.000000, 68.413494
515.000000, 68.466085
510.000000, 68.305949
505.000000, 67.732734
500.000000, 67.228648
495.000000, 66.932075
490.000000, 66.652716
485.000000, 66.304060
480.000000, 66.468526
475.000000, 66.258260
470.000000, 65.955981
465.000000, 65.562550
460.000000, 65.218059
455.000000, 64.878424
450.000000, 64.767738
445.000000, 64.755190
440.000000, 64.496188
435.000000, 64.216801
430.000000, 64.031820
425.000000, 63.854136
420.000000, 63.640933
415.000000, 63.337120
410.000000, 63.226337
405.000000, 63.023877
400.000000, 62.728614
