nm, %R
900.000000, 17.964590
895.000000, 18.119663
890.000000, 18.249487
885.000000, 18.386293
880.000000, 18.552721
875.000000, 18.646810
870.000000, 18.849378
865.000000, 18.962660
860.000000, 19.073634
855.000000, 19.179660
850.000000, 16.542370
845.000000, 17.629919
840.000000, 18.705320
835.000000, 19.207403
830.000000, 19.420054
825.000000, 19.656946
820.000000, 19.891001
815.000000, 19.835906
810.000000, 19.778909
805.000000, 19.691071
800.000000, 19.695141
795.000000, 19.629250
790.000000, 19.593312
785.000000, 21.850802
780.000000, 21.481175
775.000000, 21.486389
770.000000, 21.201867
765.000000, 21.311735
760.000000, 21.200615
755.000000, 21.000224
750.000000, 20.874457
745.000000, 20.861827
740.000000, 20.728060
735.000000, 20.632891
730.000000, 20.541464
725.000000, 20.395529
720.000000, 20.329696
715.000000, 20.177594
710.000000, 20.237456
705.000000, 20.131599
700.000000, 20.071891
695.000000, 19.973992
690.000000, 19.783848
685.000000, 19.668724
680.000000, 19.951856
675.000000, 20.054165
670.000000, 20.005294
665.000000, 20.096858
660.000000, 20.074923
655.000000, 20.085393
650.000000, 20.120786
645.000000, 20.156117
640.000000, 20.181755
635.000000, 20.271482
630.000000, 20.254773
625.000000, 20.315836
620.000000, 20.346744
615.000000, 20.494420
610.000000, 20.563677
605.000000, 20.645015
600.000000, 20.746693
595.000000, 20.796351
590.000000, 20.852027
585.000000, 20.945380
580.000000, 20.954901
575.000000, 20.966917
570.000000, 20.880368
565.000000, 20.745371
560.000000, 20.503240
555.000000, 20.683350
550.000000, 20.754487
545.000000, 20.588679
540.000000, 20.419185
535.000000, 20.282816
530.000000, 20.102095
525.000000, 19.917397
520.000000, 19.634117
515.000000, 19.238970
510.000000, 18.585231
505.000000, 17.935058
500.000000, 17.369533
495.000000, 17.211128
490.000000, 16.933936
485.000000, 16.511378
480.000000, 15.065369
475.000000, 14.845042
470.000000, 15.127027
465.000000, 15.505120
460.000000, 15.964179
455.000000, 16.661088
450.000000, 17.340186
445.000000, 18.305942
440.000000, 18.188840
435.000000, 18.146247
430.000000, 18.012876
425.000000, 17.868441
420.000000, 17.666809
415.000000, 17.345164
410.000000, 17.042993
405.000000, 16.674631
400.000000, 16.331335
