nm, %R
900.000000, 14.908344
895.000000, 15.068022
890.000000, 15.221756
885.000000, 15.391300
880.000000, 15.576842
875.000000, 15.744598
870.000000, 15.973496
865.000000, 16.165808
860.000000, 14.802776
855.000000, 12.744962
850.000000, 10.504505
845.000000, 8.593541
840.000000, 7.524208
835.000000, 11.387764
830.000000, 14.715943
825.000000, 16.065516
820.000000, 17.483004
815.000000, 17.995770
810.000000, 18.438867
805.000000, 18.615381
800.000000, 18.614341
795.000000, 18.700516
790.000000, 19.092006
785.000000, 21.468947
780.000000, 21.465917
775.000000, 21.692804
770.000000, 21.904548
765.000000, 22.132829
760.000000, 22.399450
755.000000, 22.321803
750.000000, 22.579267
745.000000, 22.755166
740.000000, 22.986056
735.000000, 23.129247
730.000000, 23.376618
725.000000, 23.537380
720.000000, 23.760571
715.000000, 23.888665
710.000000, 24.240838
705.000000, 24.367414
700.000000, 24.666251
695.000000, 24.774847
690.000000, 24.866982
685.000000, 25.067148
680.000000, 25.489908
675.000000, 25.818550
670.000000, 25.979792
665.000000, 26.259401
660.000000, 26.403157
655.000000, 26.591192
650.000000, 26.715961
645.000000, 26.881699
640.000000, 27.041088
635.000000, 27.156891
630.000000, 27.260251
625.000000, 27.336016
620.000000, 27.360050
615.000000, 27.461034
610.000000, 27.447733
605.000000, 27.416530
600.000000, 27.254919
595.000000, 26.926519
590.000000, 26.372518
585.000000, 25.555036
580.000000, 24.362339
575.000000, 22.899936
570.000000, 21.221772
565.000000, 19.527625
560.000000, 17.982409
555.000000, 17.095024
550.000000, 16.374897
545.000000, 15.780181
540.000000, 15.317188
535.000000, 14.966377
530.000000, 14.664457
525.000000, 14.362998
520.000000, 14.054680
515.000000, 13.755705
510.000000, 13.395568
505.000000, 13.255638
500.000000, 13.376402
495.000000, 14.147679
490.000000, 14.986189
485.000000, 15.634889
480.000000, 14.962137
475.000000, 14.629341
470.000000, 14.255825
465.000000, 13.802288
460.000000, 13.431371
455.000000, 13.294459
450.000000, 13.216595
445.000000, 13.433747
440.000000, 12.788126
435.000000, 12.235994
430.000000, 11.676994
425.000000, 11.158755
420.000000, 10.672969
415.000000, 10.138938
410.000000, 9.691370
405.000000, 9.247262
400.000000, 8.849454
