nm, %R
900.000000, 18.839895
895.000000, 18.904647
890.000000, 18.979139
885.000000, 19.033010
880.000000, 19.097392
875.000000, 19.165223
870.000000, 19.250934
865.000000, 19.311002
860.000000, 19.477537
855.000000, 19.721182
850.000000, 17.594484
845.000000, 18.470437
840.000000, 19.440732
835.000000, 22.172322
830.000000, 21.947324
825.000000, 21.873279
820.000000, 21.003378
815.000000, 20.745268
810.000000, 20.412655
805.000000, 20.071479
800.000000, 20.570635
795.000000, 20.642343
790.000000, 20.775017
785.000000, 20.772815
780.000000, 20.746655
775.000000, 20.843335
770.000000, 20.898447
765.000000, 20.861621
760.000000, 20.925368
755.000000, 21.039832
750.000000, 20.990593
745.000000, 21.087702
740.000000, 21.166089
735.000000, 21.163516
730.000000, 21.222252
725.000000, 21.257672
720.000000, 21.348628
715.000000, 21.350185
710.000000, 21.412684
705.000000, 21.410534
700.000000, 21.452033
695.000000, 21.497750
690.000000, 21.523852
685.000000, 21.519064
680.000000, 21.563310
675.000000, 21.700643
670.000000, 21.733749
665.000000, 21.732489
660.000000, 21.780493
655.000000, 21.796648
650.000000, 21.812995
645.000000, 21.859295
640.000000, 21.879613
635.000000, 21.907826
630.000000, 21.901859
625.000000, 21.910997
620.000000, 21.924563
615.000000, 21.936585
610.000000, 21.899210
605.000000, 21.926256
600.000000, 21.917286
595.000000, 21.887214
590.000000, 21.869435
585.000000, 21.830433
580.000000, 21.790392
575.000000, 21.760308
570.000000, 21.693303
565.000000, 21.630932
560.000000, 21.539381
555.000000, 21.471726
550.000000, 21.416269
545.000000, 21.300803
540.000000, 21.191201
535.000000, 21.038251
530.000000, 20.864954
525.000000, 20.687041
520.000000, 20.476235
515.000000, 20.200489
510.000000, 19.877727
505.000000, 19.535457
500.000000, 19.184933
495.000000, 18.905779
490.000000, 18.576978
485.000000, 18.141567
480.000000, 17.387207
475.000000, 16.400590
470.000000, 15.090913
465.000000, 13.120856
460.000000, 10.014906
455.000000, 6.257444
450.000000, 4.900992
445.000000, 7.170592
440.000000, 10.021311
435.000000, 11.439732
430.000000, 11.068508
425.000000, 9.897004
420.000000, 9.223827
415.000000, 9.266970
410.000000, 9.513628
405.000000, 9.468626
400.000000, 9.063285
395.000000, 8.455730
390.000000, 7.717650
385.000000, 7.005112
380.000000, 6.244063
375.000000, 5.524639
370.000000, 5.431121
365.000000, 5.786273
360.000000, 5.021478
355.000000, 4.810654
350.000000, 5.341929
