nm, %R
1100.000000, 17.724321
1098.000000, 17.543698
1096.000000, 17.353639
1094.000000, 17.182383
1092.000000, 16.986692
1090.000000, 16.785372
1088.000000, 16.596863
1086.000000, 16.421249
1084.000000, 16.250151
1082.000000, 16.060362
1080.000000, 15.877712
1078.000000, 15.701921
1076.000000, 15.537819
1074.000000, 15.373016
1072.000000, 15.210310
1070.000000, 15.032889
1068.000000, 14.871809
1066.000000, 14.712445
1064.000000, 14.545167
1062.000000, 14.402132
1060.000000, 14.246752
1058.000000, 14.111689
1056.000000, 13.964391
1054.000000, 13.825018
1052.000000, 13.689874
1050.000000, 13.558706
1048.000000, 13.434144
1046.000000, 13.310941
1044.000000, 13.191954
1042.000000, 13.074075
1040.000000, 12.964100
1038.000000, 12.860169
1036.000000, 12.764342
1034.000000, 12.672341
1032.000000, 12.581441
1030.000000, 12.498576
1028.000000, 12.423084
1026.000000, 12.358362
1024.000000, 12.299762
1022.000000, 12.241963
1020.000000, 12.192878
1018.000000, 12.146731
1016.000000, 12.116662
1014.000000, 12.094431
1012.000000, 12.073630
1010.000000, 12.053167
1008.000000, 12.048279
1006.000000, 12.047645
1004.000000, 12.060986
1002.000000, 12.089120
1000.000000, 12.114667
998.000000, 12.140195
996.000000, 12.185477
994.000000, 12.230869
992.000000, 12.290270
990.000000, 12.347787
988.000000, 12.425047
986.000000, 12.514647
984.000000, 12.593129
982.000000, 12.684984
980.000000, 12.796171
978.000000, 12.919141
976.000000, 13.044203
974.000000, 13.177069
972.000000, 13.319666
970.000000, 13.459455
968.000000, 13.617923
966.000000, 13.786884
964.000000, 13.959657
962.000000, 14.140336
960.000000, 14.323204
958.000000, 14.515747
956.000000, 14.719045
954.000000, 14.923478
952.000000, 15.142250
950.000000, 15.354159
948.000000, 15.586526
946.000000, 15.821028
944.000000, 16.066351
942.000000, 16.307208
940.000000, 16.554601
938.000000, 16.809709
936.000000, 17.059293
934.000000, 17.305227
932.000000, 17.585791
930.000000, 17.858641
928.000000, 18.134956
926.000000, 18.419314
924.000000, 18.698838
922.000000, 18.979104
920.000000, 19.270819
918.000000, 19.565139
916.000000, 19.852550
914.000000, 20.136349
912.000000, 20.436393
910.000000, 20.731143
908.000000, 21.040121
906.000000, 21.332488
904.000000, 21.634606
902.000000, 21.924166
900.000000, 22.202365
898.000000, 22.493667
896.000000, 22.786572
894.000000, 23.080972
892.000000, 23.365778
890.000000, 23.639437
888.000000, 23.929038
886.000000, 24.203225
884.000000, 24.486958
882.000000, 24.764809
880.000000, 25.024124
878.000000, 25.281919
876.000000, 25.531677
874.000000, 25.792291
872.000000, 26.018763
870.000000, 26.252543
868.000000, 26.498034
866.000000, 26.698732
864.000000, 26.906126
862.000000, 27.118279
860.000000, 27.322169
858.000000, 27.322169
856.000000, 27.322169
854.000000, 27.322169
852.000000, 27.322169
850.000000, 27.322169
848.000000, 27.322169
846.000000, 27.322169
844.000000, 27.322169
842.000000, 27.322169
840.000000, 27.322169
838.000000, 27.322169
836.000000, 27.322169
834.000000, 27.322169
832.000000, 27.322169
830.000000, 27.322169
828.000000, 27.322169
826.000000, 27.322169
824.000000, 27.322169
822.000000, 27.322169
820.000000, 27.322169
818.000000, 27.322169
816.000000, 27.322169
814.000000, 27.322169
812.000000, 27.673315
810.000000, 28.063869
808.000000, 27.980977
806.000000, 27.408293
804.000000, 26.905673
802.000000, 26.754363
800.000000, 26.597200
798.000000, 26.425750
796.000000, 26.205810
794.000000, 25.938248
792.000000, 25.713364
790.000000, 25.441522
788.000000, 25.196327
786.000000, 25.047650
784.000000, 24.793709
782.000000, 24.350855
780.000000, 23.908518
778.000000, 23.614425
776.000000, 23.326732
774.000000, 22.834519
772.000000, 22.514649
770.000000, 22.210472
768.000000, 21.779095
766.000000, 21.251705
764.000000, 20.616432
762.000000, 20.211200
760.000000, 19.725842
758.000000, 19.214992
756.000000, 18.687961
754.000000, 18.190210
752.000000, 17.719036
750.000000, 17.224211
748.000000, 16.735364
746.000000, 16.234134
744.000000, 15.811655
742.000000, 15.436891
740.000000, 15.135807
738.000000, 14.926533
736.000000, 14.730894
734.000000, 14.604309
732.000000, 14.577597
730.000000, 14.539678
728.000000, 14.588565
726.000000, 14.715220
724.000000, 14.778498
722.000000, 14.831701
720.000000, 14.948637
718.000000, 15.027939
716.000000, 15.065724
714.000000, 15.078399
712.000000, 15.042839
710.000000, 15.070384
708.000000, 15.082072
706.000000, 15.070163
704.000000, 15.761075
702.000000, 16.554902
700.000000, 16.482862
698.000000, 16.439192
696.000000, 16.559963
694.000000, 16.526631
692.000000, 16.479928
690.000000, 16.489081
688.000000, 16.442096
686.000000, 16.592327
684.000000, 16.944681
682.000000, 17.173373
680.000000, 17.221253
678.000000, 17.308763
676.000000, 17.477534
674.000000, 17.652660
672.000000, 17.770556
670.000000, 17.861598
668.000000, 18.008251
666.000000, 18.120306
664.000000, 18.218713
662.000000, 18.374723
660.000000, 18.502525
658.000000, 18.607496
656.000000, 18.741837
654.000000, 18.814903
652.000000, 18.894852
650.000000, 19.036036
648.000000, 19.185400
646.000000, 19.240660
644.000000, 19.292347
642.000000, 19.420528
640.000000, 19.501379
638.000000, 19.562917
636.000000, 19.631724
634.000000, 19.667053
632.000000, 19.708847
630.000000, 19.702724
628.000000, 19.675105
626.000000, 19.664669
624.000000, 19.623562
622.000000, 19.602978
620.000000, 19.567710
618.000000, 19.486069
616.000000, 19.429221
614.000000, 19.396897
612.000000, 19.339156
610.000000, 19.212325
608.000000, 19.108425
606.000000, 19.027745
604.000000, 18.937238
602.000000, 18.839339
600.000000, 18.737225
598.000000, 18.632393
596.000000, 18.528791
594.000000, 18.440086
592.000000, 18.357235
590.000000, 18.293106
588.000000, 18.228633
586.000000, 18.166365
584.000000, 18.105533
582.000000, 18.054100
580.000000, 18.019781
578.000000, 18.000801
576.000000, 17.998373
574.000000, 17.996673
572.000000, 18.007891
570.000000, 18.040071
568.000000, 18.039032
566.000000, 18.036277
564.000000, 18.050799
562.000000, 18.011021
560.000000, 18.207940
558.000000, 18.612933
556.000000, 18.830607
554.000000, 18.947398
552.000000, 19.008887
550.000000, 19.064535
548.000000, 19.147445
546.000000, 19.204023
544.000000, 19.234810
542.000000, 19.282015
540.000000, 19.319067
538.000000, 19.365519
536.000000, 19.416703
534.000000, 19.444956
532.000000, 19.459845
530.000000, 19.514085
528.000000, 19.563791
526.000000, 19.568309
524.000000, 19.579259
522.000000, 19.567397
520.000000, 19.535268
518.000000, 19.477143
516.000000, 19.372674
514.000000, 19.245460
512.000000, 19.111928
510.000000, 18.977678
508.000000, 18.916909
506.000000, 18.926570
504.000000, 18.979673
502.000000, 19.127002
500.000000, 19.382625
498.000000, 19.743224
496.000000, 20.124016
494.000000, 20.485673
492.000000, 20.888179
490.000000, 21.215751
488.000000, 21.406149
486.000000, 21.260207
484.000000, 20.704053
482.000000, 20.262119
480.000000, 20.058618
478.000000, 19.910073
476.000000, 19.786229
474.000000, 19.587809
472.000000, 19.348245
470.000000, 19.231043
468.000000, 19.070685
466.000000, 18.857083
464.000000, 18.760551
462.000000, 18.731338
460.000000, 18.770913
458.000000, 18.840705
456.000000, 18.897811
454.000000, 19.048068
452.000000, 19.177897
450.000000, 19.421836
448.000000, 19.717076
446.000000, 19.675997
444.000000, 19.442248
442.000000, 19.221794
440.000000, 19.238124
438.000000, 19.257815
436.000000, 19.178460
434.000000, 19.165861
432.000000, 19.184096
430.000000, 19.222151
428.000000, 19.352112
426.000000, 19.412914
424.000000, 19.451647
422.000000, 19.591347
420.000000, 19.833648
418.000000, 20.086079
416.000000, 20.199235
414.000000, 20.386457
412.000000, 20.674966
410.000000, 20.816364
408.000000, 20.886507
406.000000, 20.949627
404.000000, 20.879809
402.000000, 20.985160
400.000000, 21.234073
398.000000, 21.330754
396.000000, 21.547844
394.000000, 21.719336
392.000000, 21.857167
390.000000, 21.965070
388.000000, 22.125274
386.000000, 22.304415
384.000000, 22.392803
382.000000, 22.531723
380.000000, 22.642476
378.000000, 22.642476
376.000000, 22.642476
374.000000, 22.642476
372.000000, 22.642476
370.000000, 22.642476
368.000000, 22.642476
366.000000, 22.642476
364.000000, 22.642476
362.000000, 22.642476
360.000000, 22.642476
358.000000, 22.642476
356.000000, 22.642476
354.000000, 22.642476
352.000000, 22.642476
350.000000, 22.642476
348.000000, 22.642476
346.000000, 22.642476
344.000000, 22.642476
342.000000, 22.642476
340.000000, 22.642476
338.000000, 22.642476
336.000000, 22.642476
334.000000, 22.642476
332.000000, 22.642476
330.000000, 22.642476
328.000000, 22.642476
326.000000, 22.642476
324.000000, 22.642476
322.000000, 22.642476
320.000000, 22.642476
318.000000, 22.642476
316.000000, 22.642476
314.000000, 22.642476
312.000000, 22.642476
310.000000, 22.642476
308.000000, 22.642476
306.000000, 22.642476
304.000000, 22.642476
302.000000, 22.642476
300.000000, 22.642476
