nm, %R
900.000000, 12.529302
895.000000, 12.592534
890.000000, 12.666202
885.000000, 12.667849
880.000000, 12.739438
875.000000, 12.787240
870.000000, 12.855581
865.000000, 12.896836
860.000000, 12.424020
855.000000, 11.707169
850.000000, 10.886695
845.000000, 10.103011
840.000000, 9.496531
835.000000, 9.207667
830.000000, 11.897817
825.000000, 13.434353
820.000000, 13.527266
815.000000, 13.752630
810.000000, 13.693032
805.000000, 13.628330
800.000000, 13.846748
795.000000, 13.869675
790.000000, 13.927008
785.000000, 14.001551
780.000000, 14.014577
775.000000, 13.982930
770.000000, 14.210930
765.000000, 14.114380
760.000000, 14.259701
755.000000, 14.353219
750.000000, 14.360412
745.000000, 14.463351
740.000000, 14.542108
735.000000, 14.533565
730.000000, 14.596658
725.000000, 14.669708
720.000000, 14.782879
715.000000, 14.772885
710.000000, 14.883005
705.000000, 14.919618
700.000000, 14.962926
695.000000, 15.063434
690.000000, 15.118202
685.000000, 15.190875
680.000000, 15.295304
675.000000, 15.352297
670.000000, 15.417599
665.000000, 15.495913
660.000000, 15.572691
655.000000, 15.690401
650.000000, 15.783213
645.000000, 15.837842
640.000000, 15.950505
635.000000, 16.048137
630.000000, 16.133053
625.000000, 16.247686
620.000000, 16.342824
615.000000, 16.460767
610.000000, 16.533703
605.000000, 16.645877
600.000000, 16.800959
595.000000, 16.868992
590.000000, 17.036278
585.000000, 17.127339
580.000000, 17.269860
575.000000, 17.386122
570.000000, 17.537744
565.000000, 17.648311
560.000000, 17.807926
555.000000, 17.929286
550.000000, 18.079262
545.000000, 18.224854
540.000000, 18.362676
535.000000, 18.522506
530.000000, 18.667832
525.000000, 18.825114
520.000000, 18.988893
515.000000, 19.114933
510.000000, 19.295034
505.000000, 19.455105
500.000000, 19.604889
495.000000, 19.716079
490.000000, 19.662537
485.000000, 19.455496
480.000000, 18.696306
475.000000, 17.117218
470.000000, 14.917604
465.000000, 12.784330
460.000000, 11.434442
455.000000, 10.812477
450.000000, 10.583497
445.000000, 10.412168
440.000000, 10.366841
435.000000, 10.376116
430.000000, 10.451329
425.000000, 10.593045
420.000000, 10.883685
415.000000, 11.103019
410.000000, 11.414260
405.000000, 11.719615
400.000000, 12.076526
395.000000, 12.324843
390.000000, 12.591812
385.000000, 12.863506
380.000000, 12.963983
375.000000, 13.020297
370.000000, 12.902681
365.000000, 12.677348
360.000000, 12.648837
355.000000, 12.343149
350.000000, 13.150303
