nm, %R
900.000000, 11.897252
895.000000, 11.876154
890.000000, 11.905554
885.000000, 11.874595
880.000000, 11.856017
875.000000, 11.840478
870.000000, 11.849726
865.000000, 11.809397
860.000000, 11.659673
855.000000, 11.446723
850.000000, 11.190266
845.000000, 10.910018
840.000000, 10.625696
835.000000, 10.357018
830.000000, 10.123700
825.000000, 9.945460
820.000000, 9.842015
815.000000, 10.738841
810.000000, 10.948605
805.000000, 11.528649
800.000000, 11.179369
795.000000, 10.892808
790.000000, 11.172566
785.000000, 11.230747
780.000000, 11.168379
775.000000, 11.133481
770.000000, 11.160457
765.000000, 11.196902
760.000000, 11.119705
755.000000, 11.142569
750.000000, 11.082795
745.000000, 11.222143
740.000000, 11.189083
735.000000, 11.166005
730.000000, 11.122522
725.000000, 11.196764
720.000000, 11.141745
715.000000, 11.132447
710.000000, 11.137021
705.000000, 11.147086
700.000000, 11.141114
695.000000, 11.141624
690.000000, 11.160279
685.000000, 11.221711
680.000000, 11.091352
675.000000, 11.066733
670.000000, 11.119146
665.000000, 11.093414
660.000000, 11.083528
655.000000, 11.065258
650.000000, 11.142691
645.000000, 11.126636
640.000000, 11.121135
635.000000, 11.144358
630.000000, 11.183401
625.000000, 11.182217
620.000000, 11.204063
615.000000, 11.235289
610.000000, 11.249188
605.000000, 11.284797
600.000000, 11.313780
595.000000, 11.345105
590.000000, 11.386286
585.000000, 11.408871
580.000000, 11.459668
575.000000, 11.516525
570.000000, 11.583158
565.000000, 11.657971
560.000000, 11.742455
555.000000, 11.784789
550.000000, 11.815419
545.000000, 11.891335
540.000000, 11.979375
535.000000, 12.077758
530.000000, 12.202019
525.000000, 12.337790
520.000000, 12.492958
515.000000, 12.664498
510.000000, 12.891471
505.000000, 13.134306
500.000000, 13.302097
495.000000, 13.341915
490.000000, 13.316592
485.000000, 13.346192
480.000000, 13.774884
475.000000, 14.213821
470.000000, 14.641212
465.000000, 15.106078
460.000000, 15.512403
455.000000, 15.571446
450.000000, 14.760745
445.000000, 12.740364
440.000000, 10.973752
435.000000, 10.070039
430.000000, 9.860696
425.000000, 9.795183
420.000000, 9.461805
415.000000, 8.931102
410.000000, 8.511470
405.000000, 8.245471
400.000000, 8.060555
395.000000, 7.995335
390.000000, 8.130379
385.000000, 8.282246
380.000000, 8.331594
375.000000, 8.907047
370.000000, 8.572628
365.000000, 8.482225
360.000000, 10.105416
355.000000, 11.170524
350.000000, 11.082997
