nm, %R
900.000000, 8.368977
895.000000, 8.366662
890.000000, 8.380970
885.000000, 8.361492
880.000000, 8.402698
875.000000, 8.381688
870.000000, 8.379121
865.000000, 8.395490
860.000000, 7.845319
855.000000, 7.017676
850.000000, 6.069405
845.000000, 5.157354
840.000000, 4.438367
835.000000, 4.069291
830.000000, 6.693425
825.000000, 8.366904
820.000000, 8.489209
815.000000, 8.648903
810.000000, 8.504595
805.000000, 8.568457
800.000000, 8.629403
795.000000, 8.592152
790.000000, 8.776027
785.000000, 8.598742
780.000000, 8.743144
775.000000, 8.667734
770.000000, 8.697943
765.000000, 8.673252
760.000000, 8.717268
755.000000, 8.843926
750.000000, 8.687155
745.000000, 8.761813
740.000000, 8.789867
735.000000, 8.774790
730.000000, 8.828524
725.000000, 8.818404
720.000000, 8.808190
715.000000, 8.897277
710.000000, 8.909286
705.000000, 8.896872
700.000000, 8.905416
695.000000, 8.945519
690.000000, 8.968361
685.000000, 8.985349
680.000000, 8.971096
675.000000, 8.978943
670.000000, 9.045257
665.000000, 9.070769
660.000000, 9.086484
655.000000, 9.110234
650.000000, 9.145941
645.000000, 9.174336
640.000000, 9.203723
635.000000, 9.238720
630.000000, 9.265819
625.000000, 9.306500
620.000000, 9.331700
615.000000, 9.366667
610.000000, 9.384611
605.000000, 9.434290
600.000000, 9.472378
595.000000, 9.498297
590.000000, 9.536802
585.000000, 9.590877
580.000000, 9.634682
575.000000, 9.692936
570.000000, 9.739307
565.000000, 9.760715
560.000000, 9.815465
555.000000, 9.858475
550.000000, 9.938812
545.000000, 9.968527
540.000000, 10.031849
535.000000, 10.067957
530.000000, 10.141357
525.000000, 10.198247
520.000000, 10.260341
515.000000, 10.328711
510.000000, 10.393907
505.000000, 10.472209
500.000000, 10.539154
495.000000, 10.593204
490.000000, 10.675223
485.000000, 10.742680
480.000000, 10.848941
475.000000, 10.945232
470.000000, 11.029722
465.000000, 11.135753
460.000000, 11.242391
455.000000, 11.365748
450.000000, 11.469237
445.000000, 11.534014
440.000000, 11.709984
435.000000, 11.869674
430.000000, 12.021545
425.000000, 12.261413
420.000000, 12.475829
415.000000, 12.713873
410.000000, 12.819805
405.000000, 12.843380
400.000000, 12.607216
395.000000, 12.311812
390.000000, 11.839855
385.000000, 11.450473
380.000000, 11.093178
375.000000, 10.811874
370.000000, 10.360775
365.000000, 10.029340
360.000000, 10.356179
355.000000, 10.836379
350.000000, 12.457948
