nm, %R
900.000000, 25.283952
895.000000, 25.513186
890.000000, 25.688448
885.000000, 25.882703
880.000000, 26.079209
875.000000, 26.260017
870.000000, 26.479373
865.000000, 26.634884
860.000000, 26.287770
855.000000, 25.775935
850.000000, 25.158541
845.000000, 24.494749
840.000000, 23.843722
835.000000, 23.264621
830.000000, 22.816607
825.000000, 22.558843
820.000000, 24.348182
815.000000, 25.228706
810.000000, 25.813639
805.000000, 26.707600
800.000000, 25.576452
795.000000, 25.606079
790.000000, 25.408336
785.000000, 27.600863
780.000000, 27.146102
775.000000, 27.342180
770.000000, 27.177823
765.000000, 27.109066
760.000000, 27.106283
755.000000, 26.931174
750.000000, 26.863372
745.000000, 26.852702
740.000000, 26.699941
735.000000, 26.737177
730.000000, 26.606952
725.000000, 26.457422
720.000000, 26.393283
715.000000, 26.334014
710.000000, 26.343211
705.000000, 26.303861
700.000000, 26.260766
695.000000, 26.166728
690.000000, 26.048317
685.000000, 26.044748
680.000000, 26.065567
675.000000, 26.196182
670.000000, 26.143516
665.000000, 26.241741
660.000000, 26.186176
655.000000, 26.273549
650.000000, 26.258993
645.000000, 26.306968
640.000000, 26.358148
635.000000, 26.469037
630.000000, 26.452988
625.000000, 26.529942
620.000000, 26.620531
615.000000, 26.786281
610.000000, 26.864139
605.000000, 26.990832
600.000000, 27.130291
595.000000, 27.141898
590.000000, 27.149840
585.000000, 27.148421
580.000000, 27.029337
575.000000, 26.788503
570.000000, 26.348041
565.000000, 25.860521
560.000000, 25.314279
555.000000, 25.033675
550.000000, 24.778712
545.000000, 24.488374
540.000000, 24.128598
535.000000, 23.681279
530.000000, 23.055936
525.000000, 22.296061
520.000000, 21.346410
515.000000, 20.355964
510.000000, 19.371920
505.000000, 18.733019
500.000000, 18.448966
495.000000, 18.664118
490.000000, 18.885598
485.000000, 19.255874
480.000000, 19.025757
475.000000, 19.139563
470.000000, 19.220264
465.000000, 19.279871
460.000000, 19.311181
455.000000, 19.545698
450.000000, 19.760536
445.000000, 20.098330
440.000000, 19.885435
435.000000, 19.865433
430.000000, 19.748731
425.000000, 19.808250
420.000000, 19.843630
415.000000, 19.938366
410.000000, 20.059656
405.000000, 20.215322
400.000000, 20.283099
