nm, %R
900.000000, 17.405699
895.000000, 17.549119
890.000000, 17.707692
885.000000, 17.859848
880.000000, 18.021256
875.000000, 18.169855
870.000000, 18.370164
865.000000, 18.578299
860.000000, 18.578299
855.000000, 18.791516
850.000000, 19.178372
845.000000, 19.681058
840.000000, 20.241761
835.000000, 20.802672
830.000000, 21.305979
825.000000, 21.693873
820.000000, 21.908541
815.000000, 21.892175
810.000000, 21.586962
805.000000, 20.935092
800.000000, 20.129398
795.000000, 19.349618
790.000000, 19.362088
785.000000, 21.970249
780.000000, 21.305555
775.000000, 21.807846
770.000000, 21.788442
765.000000, 20.384387
760.000000, 23.124031
755.000000, 22.432377
750.000000, 22.167414
745.000000, 22.248818
740.000000, 22.439702
735.000000, 22.239555
730.000000, 22.357536
725.000000, 22.391659
720.000000, 22.395097
715.000000, 21.677335
710.000000, 20.539217
705.000000, 26.253479
700.000000, 23.076645
695.000000, 22.798067
690.000000, 22.592028
685.000000, 22.719837
680.000000, 22.791110
675.000000, 22.959501
670.000000, 22.956072
665.000000, 23.097223
660.000000, 23.192411
655.000000, 23.292526
650.000000, 23.341088
645.000000, 23.495916
640.000000, 23.601039
635.000000, 23.676584
630.000000, 23.748149
625.000000, 23.871382
620.000000, 23.977030
615.000000, 24.145633
610.000000, 24.318914
605.000000, 24.440054
600.000000, 24.612736
595.000000, 24.728404
590.000000, 24.822824
585.000000, 25.011901
580.000000, 25.068649
575.000000, 25.013483
570.000000, 24.765882
565.000000, 24.293523
560.000000, 23.550442
555.000000, 22.697861
550.000000, 21.592775
545.000000, 20.334303
540.000000, 19.028121
535.000000, 17.858597
530.000000, 16.784062
525.000000, 15.873434
520.000000, 15.101617
515.000000, 14.438957
510.000000, 13.785595
505.000000, 13.334411
500.000000, 12.979775
495.000000, 13.040197
490.000000, 13.129032
485.000000, 13.300617
480.000000, 12.911332
475.000000, 12.837840
470.000000, 12.701251
465.000000, 12.573033
460.000000, 12.351749
455.000000, 12.186621
450.000000, 11.868180
445.000000, 11.669317
440.000000, 10.903972
435.000000, 10.230124
430.000000, 9.519860
425.000000, 8.903911
420.000000, 8.452559
415.000000, 8.078244
410.000000, 7.814660
405.000000, 7.746852
400.000000, 7.579556
