nm, %R
1100.000000, 19.270468
1090.000000, 19.461773
1080.000000, 19.630220
1070.000000, 19.809968
1060.000000, 20.004328
1050.000000, 20.211723
1040.000000, 20.424304
1030.000000, 20.643760
1020.000000, 20.863221
1010.000000, 21.102127
1000.000000, 21.360783
990.000000, 21.639706
980.000000, 21.925622
970.000000, 22.246719
960.000000, 22.581434
950.000000, 22.944109
940.000000, 23.331588
930.000000, 23.769635
920.000000, 24.220882
910.000000, 24.739782
900.000000, 25.279958
890.000000, 25.862531
880.000000, 26.471644
870.000000, 27.076409
860.000000, 27.648464
850.000000, 27.254866
840.000000, 26.605772
830.000000, 26.007559
820.000000, 25.766601
810.000000, 27.966827
800.000000, 29.840863
790.000000, 30.373832
780.000000, 30.799047
770.000000, 31.154513
760.000000, 31.285353
750.000000, 31.520686
740.000000, 31.657363
730.000000, 32.059701
720.000000, 32.347119
710.000000, 32.694529
700.000000, 33.039785
690.000000, 33.300939
680.000000, 33.542556
670.000000, 33.933189
660.000000, 34.308404
650.000000, 34.525548
640.000000, 34.795531
630.000000, 35.758814
620.000000, 33.727061
610.000000, 33.135131
600.000000, 33.305557
590.000000, 32.295008
580.000000, 31.040313
570.000000, 29.520891
560.000000, 27.846679
550.000000, 26.343542
540.000000, 25.055616
530.000000, 23.938860
520.000000, 23.047816
510.000000, 22.184370
500.000000, 21.420594
490.000000, 20.970395
480.000000, 20.604077
470.000000, 20.215942
460.000000, 20.158689
450.000000, 20.355474
440.000000, 20.635765
430.000000, 20.545646
420.000000, 20.246751
410.000000, 19.832319
400.000000, 19.514558
390.000000, 19.370242
380.000000, 19.382805
370.000000, 20.046684
360.000000, 20.046684
350.000000, 20.046684
340.000000, 20.046684
330.000000, 20.046684
320.000000, 20.046684
310.000000, 20.046684
300.000000, 20.046684
