nm, %R
1100.000000, 17.973024
1095.000000, 18.025392
1090.000000, 18.087506
1085.000000, 18.129743
1080.000000, 18.185841
1075.000000, 18.223819
1070.000000, 18.272454
1065.000000, 18.336798
1060.000000, 18.379444
1055.000000, 18.421884
1050.000000, 18.468565
1045.000000, 18.531423
1040.000000, 18.567528
1035.000000, 18.635668
1030.000000, 18.681104
1025.000000, 18.718694
1020.000000, 18.759669
1015.000000, 18.815112
1010.000000, 18.857342
1005.000000, 18.903792
1000.000000, 18.932633
995.000000, 18.996421
990.000000, 19.049464
985.000000, 19.094796
980.000000, 19.138942
975.000000, 19.198432
970.000000, 19.236783
965.000000, 19.300165
960.000000, 19.322626
955.000000, 19.374601
950.000000, 19.428334
945.000000, 19.466960
940.000000, 19.532755
935.000000, 19.579614
930.000000, 19.610626
925.000000, 19.651730
920.000000, 19.697999
915.000000, 19.747592
910.000000, 19.797428
905.000000, 19.843372
900.000000, 19.889381
895.000000, 19.932121
890.000000, 19.955181
885.000000, 20.013098
880.000000, 20.038478
875.000000, 20.066597
870.000000, 20.105263
865.000000, 20.095313
860.000000, 20.162035
855.000000, 20.162035
850.000000, 20.162035
845.000000, 20.162035
840.000000, 20.162035
835.000000, 20.162035
830.000000, 20.162035
825.000000, 20.162035
820.000000, 20.162035
815.000000, 20.162035
810.000000, 20.162035
805.000000, 20.162035
800.000000, 20.162035
795.000000, 20.162035
790.000000, 20.162035
785.000000, 20.162035
780.000000, 20.619234
775.000000, 22.378785
770.000000, 22.277051
765.000000, 22.330651
760.000000, 22.310935
755.000000, 22.113995
750.000000, 21.967213
745.000000, 21.902020
740.000000, 21.900807
735.000000, 21.774263
730.000000, 21.714755
725.000000, 21.697860
720.000000, 21.648877
715.000000, 21.540672
710.000000, 21.517227
705.000000, 21.447423
700.000000, 21.353337
695.000000, 21.238233
690.000000, 21.083439
685.000000, 20.904547
680.000000, 21.179030
675.000000, 21.507009
670.000000, 21.276560
665.000000, 20.108768
660.000000, 20.307372
655.000000, 20.346980
650.000000, 20.370744
645.000000, 20.424972
640.000000, 20.469030
635.000000, 20.559235
630.000000, 20.660044
625.000000, 20.645113
620.000000, 20.684816
615.000000, 20.721000
610.000000, 20.744379
605.000000, 20.736381
600.000000, 20.708939
595.000000, 20.694629
590.000000, 20.598394
585.000000, 20.531306
580.000000, 20.453758
575.000000, 20.437358
570.000000, 20.511457
565.000000, 20.766346
560.000000, 20.990504
555.000000, 19.840465
550.000000, 19.185571
545.000000, 19.008746
540.000000, 18.904140
535.000000, 18.822369
530.000000, 18.835391
525.000000, 18.969116
520.000000, 19.300840
515.000000, 19.920219
510.000000, 20.657006
505.000000, 20.829086
500.000000, 19.706463
495.000000, 17.277989
490.000000, 14.650016
485.000000, 13.855319
480.000000, 16.279236
475.000000, 17.546256
470.000000, 18.843031
465.000000, 19.790742
460.000000, 20.032779
455.000000, 19.569656
450.000000, 18.682078
445.000000, 17.502239
440.000000, 18.141131
435.000000, 18.703952
430.000000, 19.188862
425.000000, 19.619168
420.000000, 19.733802
415.000000, 19.891350
410.000000, 20.045799
405.000000, 19.745457
400.000000, 19.505388
395.000000, 19.183288
390.000000, 18.970047
385.000000, 19.086829
380.000000, 17.967037
375.000000, 17.967037
370.000000, 17.967037
365.000000, 17.967037
360.000000, 17.967037
355.000000, 17.967037
350.000000, 17.967037
345.000000, 17.967037
340.000000, 17.967037
335.000000, 17.967037
330.000000, 17.967037
325.000000, 17.967037
320.000000, 17.967037
315.000000, 17.967037
310.000000, 17.967037
305.000000, 17.967037
300.000000, 17.967037
