nm, %R
1100.000000, 10.137041
1095.000000, 10.169360
1090.000000, 10.204460
1085.000000, 10.226663
1080.000000, 10.247593
1075.000000, 10.269108
1070.000000, 10.280488
1065.000000, 10.305935
1060.000000, 10.325676
1055.000000, 10.338394
1050.000000, 10.369837
1045.000000, 10.390968
1040.000000, 10.419679
1035.000000, 10.450737
1030.000000, 10.467296
1025.000000, 10.481204
1020.000000, 10.499262
1015.000000, 10.521953
1010.000000, 10.541825
1005.000000, 10.567340
1000.000000, 10.589824
995.000000, 10.608108
990.000000, 10.619909
985.000000, 10.662120
980.000000, 10.680053
975.000000, 10.704041
970.000000, 10.725432
965.000000, 10.759139
960.000000, 10.782459
955.000000, 10.805293
950.000000, 10.832814
945.000000, 10.863012
940.000000, 10.896030
935.000000, 10.921815
930.000000, 10.944248
925.000000, 10.953618
920.000000, 10.980965
915.000000, 11.018455
910.000000, 11.052164
905.000000, 11.087615
900.000000, 11.117254
895.000000, 11.133491
890.000000, 11.158508
885.000000, 11.192617
880.000000, 11.225815
875.000000, 11.249494
870.000000, 11.293070
865.000000, 11.285195
860.000000, 11.341421
855.000000, 11.341421
850.000000, 11.341421
845.000000, 11.341421
840.000000, 11.341421
835.000000, 11.341421
830.000000, 11.341421
825.000000, 11.341421
820.000000, 11.341421
815.000000, 11.341421
810.000000, 11.341421
805.000000, 11.341421
800.000000, 11.341421
795.000000, 11.341421
790.000000, 11.341421
785.000000, 11.341421
780.000000, 11.849133
775.000000, 13.803081
770.000000, 13.690107
765.000000, 13.749629
760.000000, 13.727734
755.000000, 13.509037
750.000000, 13.346038
745.000000, 13.273642
740.000000, 13.272295
735.000000, 13.131770
730.000000, 13.065688
725.000000, 13.046927
720.000000, 12.992532
715.000000, 12.872372
710.000000, 12.846337
705.000000, 12.768821
700.000000, 12.664340
695.000000, 12.536519
690.000000, 12.364623
685.000000, 12.165843
680.000000, 12.347659
675.000000, 12.695729
670.000000, 12.557312
665.000000, 11.792083
660.000000, 11.915912
655.000000, 12.106770
650.000000, 12.150086
645.000000, 12.363281
640.000000, 12.467750
635.000000, 12.573690
630.000000, 12.746272
625.000000, 12.917484
620.000000, 13.082966
615.000000, 13.194452
610.000000, 13.331138
605.000000, 13.438525
600.000000, 13.574362
595.000000, 13.759357
590.000000, 13.884858
585.000000, 14.012350
580.000000, 14.207940
575.000000, 14.414604
570.000000, 14.785393
565.000000, 15.361377
560.000000, 15.947882
555.000000, 15.051028
550.000000, 14.677587
545.000000, 14.832794
540.000000, 14.953018
535.000000, 15.090236
530.000000, 15.279091
525.000000, 15.546731
520.000000, 15.989348
515.000000, 16.701503
510.000000, 17.523140
505.000000, 17.654063
500.000000, 16.482762
495.000000, 13.998159
490.000000, 11.135013
485.000000, 10.390842
480.000000, 12.918567
475.000000, 14.125092
470.000000, 15.225934
465.000000, 16.064186
460.000000, 16.072201
455.000000, 15.256243
450.000000, 14.153395
445.000000, 12.715863
440.000000, 13.265362
435.000000, 13.859177
430.000000, 14.320663
425.000000, 14.333907
420.000000, 14.368023
415.000000, 14.428835
410.000000, 14.490920
405.000000, 14.169712
400.000000, 13.912964
395.000000, 13.568485
390.000000, 13.340429
385.000000, 13.465325
380.000000, 12.267734
375.000000, 12.267734
370.000000, 12.267734
365.000000, 12.267734
360.000000, 12.267734
355.000000, 12.267734
350.000000, 12.267734
345.000000, 12.267734
340.000000, 12.267734
335.000000, 12.267734
330.000000, 12.267734
325.000000, 12.267734
320.000000, 12.267734
315.000000, 12.267734
310.000000, 12.267734
305.000000, 12.267734
300.000000, 12.267734
