nm, %R
1100.000000, 13.099458
1090.000000, 12.755879
1080.000000, 12.811361
1070.000000, 12.981608
1060.000000, 13.326775
1050.000000, 13.388388
1040.000000, 13.433536
1030.000000, 13.488868
1020.000000, 13.521345
1010.000000, 13.552939
1000.000000, 13.668932
990.000000, 13.704901
980.000000, 13.764471
970.000000, 13.896534
960.000000, 13.909187
950.000000, 13.976409
940.000000, 14.159727
930.000000, 14.263512
920.000000, 14.338355
910.000000, 14.515234
900.000000, 14.680088
890.000000, 14.733324
880.000000, 14.938700
870.000000, 15.082543
860.000000, 15.188963
850.000000, 13.159800
840.000000, -6.056090
830.000000, -9.684336
820.000000, 18.499506
810.000000, 16.735211
800.000000, 15.170692
790.000000, 14.622883
780.000000, 15.103934
770.000000, 15.166005
760.000000, 14.896417
750.000000, 14.620935
740.000000, 14.395310
730.000000, 14.249541
720.000000, 14.001565
710.000000, 13.999646
700.000000, 13.670244
690.000000, 13.508663
680.000000, 13.285428
670.000000, 13.148800
660.000000, 13.016190
650.000000, 12.876881
640.000000, 12.807808
630.000000, 12.664665
620.000000, 12.492929
610.000000, 12.321951
600.000000, 12.123019
590.000000, 11.952295
580.000000, 11.854431
570.000000, 11.633274
560.000000, 11.392881
550.000000, 11.381340
540.000000, 11.302793
530.000000, 11.180530
520.000000, 10.925630
510.000000, 10.631231
500.000000, 10.442423
490.000000, 10.520706
480.000000, 10.566794
470.000000, 9.759386
460.000000, 9.134523
450.000000, 8.874371
440.000000, 8.886619
430.000000, 8.680527
420.000000, 8.437629
410.000000, 8.270327
400.000000, 7.976921
390.000000, 7.966938
380.000000, 8.034797
370.000000, 8.235679
360.000000, 9.091274
350.000000, 11.059214
340.000000, 11.972972
330.000000, 11.972972
320.000000, 11.972972
310.000000, 11.972972
300.000000, 11.972972
