nm, %R
1100.000000, 10.744325
1090.000000, 10.360161
1080.000000, 10.388415
1070.000000, 10.541063
1060.000000, 10.850816
1050.000000, 10.902505
1040.000000, 10.866994
1030.000000, 10.947884
1020.000000, 10.977120
1010.000000, 11.002609
1000.000000, 11.046046
990.000000, 11.120112
980.000000, 11.124622
970.000000, 11.200729
960.000000, 11.232840
950.000000, 11.281212
940.000000, 11.477697
930.000000, 11.530442
920.000000, 11.630679
910.000000, 11.736794
900.000000, 11.887348
890.000000, 11.950084
880.000000, 12.088239
870.000000, 12.259847
860.000000, 12.402496
850.000000, 12.680764
840.000000, 13.075624
830.000000, 13.440452
820.000000, 13.628622
810.000000, 12.810227
800.000000, 12.772114
790.000000, 12.170418
780.000000, 12.131420
770.000000, 12.417760
760.000000, 12.113598
750.000000, 12.052465
740.000000, 11.980860
730.000000, 11.877816
720.000000, 11.723419
710.000000, 11.834891
700.000000, 11.736490
690.000000, 11.705205
680.000000, 11.667593
670.000000, 11.576794
660.000000, 11.493940
650.000000, 11.488230
640.000000, 11.464628
630.000000, 11.465947
620.000000, 11.335573
610.000000, 11.293663
600.000000, 11.250050
590.000000, 11.167724
580.000000, 11.127306
570.000000, 11.090503
560.000000, 11.041703
550.000000, 11.070353
540.000000, 11.037142
530.000000, 11.006420
520.000000, 10.946084
510.000000, 10.956863
500.000000, 10.967511
490.000000, 11.000508
480.000000, 11.009425
470.000000, 10.836185
460.000000, 10.639602
450.000000, 10.427545
440.000000, 10.299501
430.000000, 10.256263
420.000000, 10.044876
410.000000, 9.657338
400.000000, 8.839019
390.000000, 7.756907
380.000000, 6.378430
370.000000, 5.254891
360.000000, 5.170607
350.000000, 9.372456
340.000000, 9.372456
330.000000, 9.372456
320.000000, 9.372456
310.000000, 9.372456
300.000000, 9.372456
