Wavelength [nm],Reflectance %
300,13.033
310,11.889
320,12.22
330,12.702
340,11.82
350,11.454
360,10.384
370,10.569
380,10.245
390,9.9226
400,9.4883
410,8.8931
420,8.3374
430,8.774
440,10.654
450,11.013
460,10.746
470,10.45
480,10.181
490,10.425
500,10.996
510,11.721
520,12.885
530,14.29
540,15.409
550,16.082
560,16.356
570,16.372
580,16.369
590,16.374
600,16.31
610,16.282
620,16.248
630,16.164
640,16.132
650,16.113
660,16.063
670,16.07
680,16.107
690,15.986
700,15.992
710,15.985
720,15.938
730,15.997
740,15.92
750,15.938
760,15.928
770,15.959
780,15.858
790,16.333
800,16.449
810,16.149
820,15.131
830,12.57
840,15.82
850,15.618
860,15.46
870,15.219
880,14.971
890,14.731
900,14.519
910,14.311
920,14.125
930,13.972
940,13.819
950,13.672
960,13.536
970,13.433
980,13.326
990,13.236
1000,13.148
1010,13.072
1020,12.995
1030,12.921
1040,12.852
1050,12.796
1060,12.745
1070,12.711
1080,12.662
1090,12.619
