Wavelength [nm],Reflectance %
300,9.8437
310,8.9138
320,9.0009
330,9.5002
340,8.959
350,8.5317
360,7.72
370,8.1619
380,8.2886
390,8.27
400,8.1434
410,7.9492
420,7.7551
430,7.6924
440,7.6985
450,7.9494
460,8.1458
470,8.3887
480,8.7354
490,9.4386
500,10.26
510,11.106
520,12.095
530,13.284
540,14.527
550,15.696
560,16.735
570,17.424
580,17.894
590,18.192
600,18.285
610,18.312
620,18.311
630,18.254
640,18.219
650,18.171
660,18.123
670,18.101
680,18.111
690,18.024
700,18.04
710,17.988
720,17.994
730,17.969
740,17.985
750,18.005
760,18.008
770,18.095
780,18.039
790,18.252
800,18.307
810,18.173
820,17.563
830,15.693
840,18.267
850,17.558
860,17.296
870,17.026
880,16.734
890,16.47
900,16.242
910,15.999
920,15.792
930,15.617
940,15.429
950,15.256
960,15.119
970,14.989
980,14.872
990,14.759
1000,14.655
1010,14.555
1020,14.48
1030,14.398
1040,14.313
1050,14.25
1060,14.199
1070,14.152
1080,14.105
1090,14.055
