nm, %R
1200.000000, 13.180133
1190.000000, 12.898379
1180.000000, 13.055801
1170.000000, 13.092258
1160.000000, 13.090445
1150.000000, 12.779718
1140.000000, 12.963038
1130.000000, 13.146859
1120.000000, 13.144276
1110.000000, 13.166823
1100.000000, 13.181380
1090.000000, 13.238452
1080.000000, 13.238432
1070.000000, 13.291445
1060.000000, 13.312524
1050.000000, 13.311277
1040.000000, 13.349745
1030.000000, 13.331743
1020.000000, 13.344937
1010.000000, 13.385893
1000.000000, 13.402690
990.000000, 13.391058
980.000000, 13.436151
970.000000, 13.464707
960.000000, 13.463720
950.000000, 13.523648
940.000000, 13.467515
930.000000, 13.467177
920.000000, 13.553188
910.000000, 13.489982
900.000000, 13.509527
890.000000, 13.570613
880.000000, 13.607372
870.000000, 13.583448
860.000000, 13.493982
850.000000, 13.478084
840.000000, 12.982260
830.000000, 12.914559
820.000000, 12.992602
810.000000, 12.829747
800.000000, 13.031964
790.000000, 13.042210
780.000000, 13.246728
770.000000, 13.207067
760.000000, 12.972469
750.000000, 13.052876
740.000000, 13.254176
730.000000, 13.126498
720.000000, 13.258986
710.000000, 13.221977
700.000000, 13.288120
690.000000, 13.455092
680.000000, 13.385200
670.000000, 13.458652
660.000000, 13.517908
650.000000, 13.602822
640.000000, 13.692753
630.000000, 13.730410
620.000000, 13.822402
610.000000, 13.876861
600.000000, 13.946158
590.000000, 13.975459
580.000000, 13.877018
570.000000, 13.810662
560.000000, 13.859941
550.000000, 13.812891
540.000000, 13.523262
530.000000, 13.206843
520.000000, 12.978984
510.000000, 12.912565
500.000000, 12.740325
490.000000, 11.930566
480.000000, 10.969081
470.000000, 10.522874
460.000000, 10.955229
450.000000, 11.467786
440.000000, 11.802815
430.000000, 12.040039
420.000000, 12.302947
410.000000, 12.882965
400.000000, 13.508747
