nm, %R
1200.000000, 16.633283
1190.000000, 16.462843
1180.000000, 16.691380
1170.000000, 16.791548
1160.000000, 16.900448
1150.000000, 16.744538
1140.000000, 17.002124
1130.000000, 17.276809
1120.000000, 17.378588
1110.000000, 17.444837
1100.000000, 17.525311
1090.000000, 17.626169
1080.000000, 17.731492
1070.000000, 17.917134
1060.000000, 17.981116
1050.000000, 18.106626
1040.000000, 18.227864
1030.000000, 18.298509
1020.000000, 18.382569
1010.000000, 18.536719
1000.000000, 18.596357
990.000000, 18.654843
980.000000, 18.775330
970.000000, 18.881551
960.000000, 18.932158
950.000000, 19.087676
940.000000, 19.157556
930.000000, 19.220061
920.000000, 19.334148
910.000000, 19.368809
900.000000, 19.424645
890.000000, 19.534811
880.000000, 19.556956
870.000000, 19.588904
860.000000, 19.564239
850.000000, 19.055658
840.000000, 18.289521
830.000000, 17.467593
820.000000, 16.791640
810.000000, 16.463427
800.000000, 18.693358
790.000000, 18.801756
780.000000, 17.102690
770.000000, 17.433356
760.000000, 17.141871
750.000000, 17.549431
740.000000, 18.019423
730.000000, 17.569868
720.000000, 17.926623
710.000000, 17.861263
700.000000, 17.714428
690.000000, 18.051631
680.000000, 18.290729
670.000000, 17.764703
660.000000, 16.851955
650.000000, 16.572247
640.000000, 16.217720
630.000000, 15.707790
620.000000, 15.244957
610.000000, 14.574667
600.000000, 13.790863
590.000000, 12.969060
580.000000, 11.856860
570.000000, 10.740020
560.000000, 9.877400
550.000000, 8.780276
540.000000, 8.260708
530.000000, 8.680062
520.000000, 9.688025
510.000000, 11.154865
500.000000, 11.322890
490.000000, 8.036842
480.000000, 6.211723
470.000000, 8.161385
460.000000, 10.522271
450.000000, 11.472544
440.000000, 11.224218
430.000000, 11.975538
420.000000, 12.207488
410.000000, 12.693202
400.000000, 13.585298
