nm, %R
1200.000000, 5.161148
1190.000000, 4.840844
1180.000000, 5.012957
1170.000000, 5.012974
1160.000000, 5.000200
1150.000000, 4.680047
1140.000000, 4.858824
1130.000000, 5.026843
1120.000000, 5.044603
1110.000000, 5.035790
1100.000000, 5.040800
1090.000000, 5.056401
1080.000000, 5.052679
1070.000000, 5.096708
1060.000000, 5.071245
1050.000000, 5.102063
1040.000000, 5.111422
1030.000000, 5.129230
1020.000000, 5.128527
1010.000000, 5.176945
1000.000000, 5.131807
990.000000, 5.131812
980.000000, 5.140561
970.000000, 5.185121
960.000000, 5.167124
950.000000, 5.143590
940.000000, 5.111666
930.000000, 5.111606
920.000000, 5.156564
910.000000, 5.105626
900.000000, 5.070512
890.000000, 5.145638
880.000000, 5.114482
870.000000, 5.071831
860.000000, 4.965593
850.000000, 4.993496
840.000000, 3.454884
830.000000, -4.491670
820.000000, 0.927276
810.000000, 3.231746
800.000000, 4.531147
790.000000, 4.230461
780.000000, 3.249591
770.000000, 3.471012
760.000000, 3.335880
750.000000, 3.461484
740.000000, 3.611964
730.000000, 3.768523
720.000000, 3.726001
710.000000, 3.888467
700.000000, 3.882419
690.000000, 4.102255
680.000000, 4.389877
670.000000, 4.355312
660.000000, 4.120114
650.000000, 4.136784
640.000000, 4.187660
630.000000, 4.233122
620.000000, 4.233762
610.000000, 4.237079
600.000000, 4.239284
590.000000, 4.314584
580.000000, 4.370770
570.000000, 4.474817
560.000000, 4.629557
550.000000, 4.509191
540.000000, 4.400231
530.000000, 4.463559
520.000000, 4.518843
510.000000, 4.676098
500.000000, 4.559918
490.000000, 3.616225
480.000000, 3.390447
470.000000, 4.101219
460.000000, 4.530071
450.000000, 4.334257
440.000000, 3.919039
430.000000, 4.134085
420.000000, 4.429650
410.000000, 4.790768
400.000000, 5.173430
