nm, %R
1100.000000, 25.306855
1098.000000, 25.211728
1096.000000, 25.130278
1094.000000, 25.053804
1092.000000, 24.952015
1090.000000, 24.852001
1088.000000, 24.749135
1086.000000, 24.653629
1084.000000, 24.552987
1082.000000, 24.453420
1080.000000, 24.325676
1078.000000, 24.230890
1076.000000, 24.128223
1074.000000, 24.010242
1072.000000, 23.903666
1070.000000, 23.772801
1068.000000, 23.648136
1066.000000, 23.526226
1064.000000, 23.400116
1062.000000, 23.274946
1060.000000, 23.144113
1058.000000, 23.003970
1056.000000, 22.848566
1054.000000, 22.697494
1052.000000, 22.552405
1050.000000, 22.400318
1048.000000, 22.250635
1046.000000, 22.093386
1044.000000, 21.941692
1042.000000, 21.787249
1040.000000, 21.633429
1038.000000, 21.465311
1036.000000, 21.300603
1034.000000, 21.124876
1032.000000, 20.947001
1030.000000, 20.770305
1028.000000, 20.596938
1026.000000, 20.432010
1024.000000, 20.252939
1022.000000, 20.058002
1020.000000, 19.873895
1018.000000, 19.681548
1016.000000, 19.506306
1014.000000, 19.340052
1012.000000, 19.148708
1010.000000, 18.949124
1008.000000, 18.749230
1006.000000, 18.549522
1004.000000, 18.355221
1002.000000, 18.153450
1000.000000, 17.952760
998.000000, 17.746553
996.000000, 17.551806
994.000000, 17.346959
992.000000, 17.144158
990.000000, 16.939560
988.000000, 16.750908
986.000000, 16.552129
984.000000, 16.344866
982.000000, 16.132960
980.000000, 15.930463
978.000000, 15.723144
976.000000, 15.532875
974.000000, 15.349780
972.000000, 15.148272
970.000000, 14.947725
968.000000, 14.760365
966.000000, 14.579661
964.000000, 14.388265
962.000000, 14.209704
960.000000, 14.028913
958.000000, 13.840275
956.000000, 13.663706
954.000000, 13.494430
952.000000, 13.329442
950.000000, 13.161777
948.000000, 12.993673
946.000000, 12.842167
944.000000, 12.696367
942.000000, 12.547375
940.000000, 12.398041
938.000000, 12.264923
936.000000, 12.140342
934.000000, 12.012864
932.000000, 11.888816
930.000000, 11.799222
928.000000, 11.697300
926.000000, 11.596913
924.000000, 11.502839
922.000000, 11.418435
920.000000, 11.346028
918.000000, 11.276558
916.000000, 11.214102
914.000000, 11.163490
912.000000, 11.114778
910.000000, 11.076805
908.000000, 11.055770
906.000000, 11.043373
904.000000, 11.032423
902.000000, 11.042863
900.000000, 11.037997
898.000000, 11.043152
896.000000, 11.075979
894.000000, 11.129622
892.000000, 11.189378
890.000000, 11.249644
888.000000, 11.316440
886.000000, 11.400625
884.000000, 11.497467
882.000000, 11.616221
880.000000, 11.721944
878.000000, 11.824423
876.000000, 11.967358
874.000000, 12.122610
872.000000, 12.284430
870.000000, 12.448931
868.000000, 12.647479
866.000000, 12.839452
864.000000, 13.002921
862.000000, 13.206891
860.000000, 13.441263
858.000000, 13.441263
856.000000, 13.441263
854.000000, 13.441263
852.000000, 13.441263
850.000000, 13.441263
848.000000, 13.441263
846.000000, 13.441263
844.000000, 13.441263
