nm, %R
1200.000000, 5.856192
1190.000000, 5.513728
1180.000000, 5.534366
1170.000000, 5.510499
1160.000000, 5.493920
1150.000000, 5.497983
1140.000000, 5.677116
1130.000000, 5.907158
1120.000000, 5.701626
1110.000000, 5.496841
1100.000000, 5.455219
1090.000000, 5.474781
1080.000000, 5.698627
1070.000000, 5.743782
1060.000000, 5.711120
1050.000000, 5.694219
1040.000000, 5.751798
1030.000000, 5.722354
1020.000000, 5.680672
1010.000000, 5.731882
1000.000000, 5.704657
990.000000, 5.662600
980.000000, 5.646924
970.000000, 5.698773
960.000000, 5.671462
950.000000, 5.690417
940.000000, 5.667177
930.000000, 5.683201
920.000000, 5.701708
910.000000, 5.663728
900.000000, 5.659496
890.000000, 5.720670
880.000000, 5.708585
870.000000, 5.734858
860.000000, 5.646951
850.000000, 3.918988
840.000000, 1.373924
830.000000, -0.977949
820.000000, -2.126341
810.000000, 3.967854
800.000000, 4.485425
790.000000, 5.469513
780.000000, 2.747981
770.000000, 3.830360
760.000000, 3.391672
750.000000, 3.257034
740.000000, 4.363517
730.000000, 4.156225
720.000000, 4.104113
710.000000, 4.715742
700.000000, 4.579700
690.000000, 4.835023
680.000000, 5.605029
670.000000, 5.404777
660.000000, 4.710873
650.000000, 4.919861
640.000000, 5.085708
630.000000, 4.906636
620.000000, 5.024839
610.000000, 5.197601
600.000000, 5.074975
590.000000, 5.192824
580.000000, 5.261091
570.000000, 5.269728
560.000000, 5.619274
550.000000, 5.406879
540.000000, 5.288726
530.000000, 5.363829
520.000000, 5.612398
510.000000, 6.187073
500.000000, 6.149905
490.000000, 4.656787
480.000000, 4.195041
470.000000, 5.334234
460.000000, 6.029434
450.000000, 5.559533
440.000000, 4.675905
430.000000, 5.154791
420.000000, 5.370009
410.000000, 5.681546
400.000000, 6.603598
