nm, %R
1200.000000, 6.033305
1190.000000, 5.727204
1180.000000, 5.933780
1170.000000, 5.940583
1160.000000, 5.918622
1150.000000, 5.589185
1140.000000, 5.830184
1130.000000, 6.041227
1120.000000, 6.028965
1110.000000, 6.036506
1100.000000, 5.810520
1090.000000, 5.855209
1080.000000, 6.082852
1070.000000, 6.140752
1060.000000, 6.117831
1050.000000, 6.146035
1040.000000, 6.157262
1030.000000, 6.159460
1020.000000, 6.182533
1010.000000, 6.216203
1000.000000, 6.181495
990.000000, 6.180191
980.000000, 6.202217
970.000000, 6.259092
960.000000, 6.222205
950.000000, 6.243693
940.000000, 6.249416
930.000000, 6.282092
920.000000, 6.301719
910.000000, 6.251963
900.000000, 6.268956
890.000000, 6.308770
880.000000, 6.275770
870.000000, 6.240350
860.000000, 6.171998
850.000000, 6.092682
840.000000, 4.354139
830.000000, -2.196223
820.000000, 2.448500
810.000000, 4.819680
800.000000, 5.867476
790.000000, 5.720198
780.000000, 4.678736
770.000000, 4.971973
760.000000, 4.887979
750.000000, 4.939418
740.000000, 5.253869
730.000000, 5.294363
720.000000, 5.258722
710.000000, 5.420093
700.000000, 5.478438
690.000000, 5.747174
680.000000, 5.903955
670.000000, 5.899239
660.000000, 5.750057
650.000000, 5.717221
640.000000, 5.772804
630.000000, 5.832198
620.000000, 5.840594
610.000000, 5.925136
600.000000, 5.952831
590.000000, 5.991455
580.000000, 5.943586
570.000000, 5.895514
560.000000, 5.932784
550.000000, 5.697669
540.000000, 5.558030
530.000000, 5.613917
520.000000, 5.777377
510.000000, 6.125817
500.000000, 6.196287
490.000000, 5.508886
480.000000, 5.323220
470.000000, 5.973893
460.000000, 6.353078
450.000000, 6.144935
440.000000, 5.755033
430.000000, 5.988491
420.000000, 6.229877
410.000000, 6.615979
400.000000, 7.053855
