nm, %R
1200.000000, 7.693812
1190.000000, 7.337648
1180.000000, 7.520578
1170.000000, 7.526319
1160.000000, 7.551276
1150.000000, 7.530597
1140.000000, 7.549812
1130.000000, 7.571237
1120.000000, 7.592692
1110.000000, 7.578659
1100.000000, 7.569411
1090.000000, 7.598608
1080.000000, 7.610328
1070.000000, 7.645369
1060.000000, 7.619821
1050.000000, 7.638649
1040.000000, 7.641711
1030.000000, 7.645170
1020.000000, 7.636545
1010.000000, 7.635953
1000.000000, 7.664525
990.000000, 7.600348
980.000000, 7.624732
970.000000, 7.642349
960.000000, 7.586656
950.000000, 7.611727
940.000000, 7.617744
930.000000, 7.600615
920.000000, 7.631048
910.000000, 7.581343
900.000000, 7.571695
890.000000, 7.615022
880.000000, 7.539665
870.000000, 7.528195
860.000000, 7.364530
850.000000, 7.804771
840.000000, 8.811651
830.000000, 3.396720
820.000000, 5.476713
810.000000, 7.628153
800.000000, 6.451706
790.000000, 7.261220
780.000000, 6.259253
770.000000, 7.223971
760.000000, 6.787154
750.000000, 6.558376
740.000000, 7.384847
730.000000, 7.080337
720.000000, 6.889844
710.000000, 7.408391
700.000000, 7.316849
690.000000, 7.418643
680.000000, 7.835741
670.000000, 7.797667
660.000000, 7.572544
650.000000, 7.655216
640.000000, 7.909794
630.000000, 7.826890
620.000000, 8.016403
610.000000, 8.263987
600.000000, 8.114292
590.000000, 8.163702
580.000000, 8.012658
570.000000, 7.672361
560.000000, 7.602845
550.000000, 7.287324
540.000000, 7.126786
530.000000, 7.080852
520.000000, 7.143661
510.000000, 7.252972
500.000000, 6.935766
490.000000, 6.040031
480.000000, 5.792645
470.000000, 6.588969
460.000000, 7.132355
450.000000, 7.231770
440.000000, 7.102872
430.000000, 7.401738
420.000000, 7.460786
410.000000, 7.490102
400.000000, 7.940404
