nm, %R
1200.000000, 6.958540
1190.000000, 6.640423
1180.000000, 6.785462
1170.000000, 6.809037
1160.000000, 6.797810
1150.000000, 6.842414
1140.000000, 6.853338
1130.000000, 6.836041
1120.000000, 6.875300
1110.000000, 6.909546
1100.000000, 6.919120
1090.000000, 6.948900
1080.000000, 6.972891
1070.000000, 7.042846
1060.000000, 7.060164
1050.000000, 7.099517
1040.000000, 7.147109
1030.000000, 7.133601
1020.000000, 7.179487
1010.000000, 7.244821
1000.000000, 7.255347
990.000000, 7.261403
980.000000, 7.297994
970.000000, 7.322442
960.000000, 7.333681
950.000000, 7.406989
940.000000, 7.384591
930.000000, 7.398309
920.000000, 7.454574
910.000000, 7.423305
900.000000, 7.451083
890.000000, 7.547765
880.000000, 7.428191
870.000000, 7.422963
860.000000, 7.329075
850.000000, 7.319352
840.000000, 6.966053
830.000000, 7.199494
820.000000, 6.846384
810.000000, 6.754328
800.000000, 6.901419
790.000000, 6.908184
780.000000, 7.033863
770.000000, 6.830719
760.000000, 6.851012
750.000000, 6.858192
740.000000, 6.946328
730.000000, 6.876044
720.000000, 6.812627
710.000000, 6.837722
700.000000, 6.841953
690.000000, 6.789995
680.000000, 6.694452
670.000000, 6.834065
660.000000, 6.868930
650.000000, 6.863845
640.000000, 6.832874
630.000000, 6.857703
620.000000, 6.816179
610.000000, 6.871138
600.000000, 6.810411
590.000000, 6.783183
580.000000, 6.736309
570.000000, 6.640170
560.000000, 6.641399
550.000000, 6.523970
540.000000, 6.388899
530.000000, 6.242637
520.000000, 6.058008
510.000000, 5.911665
500.000000, 5.738229
490.000000, 5.537226
480.000000, 5.480877
470.000000, 5.425409
460.000000, 5.452554
450.000000, 5.549781
440.000000, 5.505124
430.000000, 5.597393
420.000000, 5.722643
410.000000, 5.927077
400.000000, 6.042134
