nm, %R
1200.000000, 13.058333
1190.000000, 12.756248
1180.000000, 12.925520
1170.000000, 12.931941
1160.000000, 12.938663
1150.000000, 12.648238
1140.000000, 12.848454
1130.000000, 13.046235
1120.000000, 13.069547
1110.000000, 13.092937
1100.000000, 13.101960
1090.000000, 13.144776
1080.000000, 13.160615
1070.000000, 13.228765
1060.000000, 13.253843
1050.000000, 13.268731
1040.000000, 13.334942
1030.000000, 13.351406
1020.000000, 13.372012
1010.000000, 13.448126
1000.000000, 13.434586
990.000000, 13.466701
980.000000, 13.537552
970.000000, 13.620477
960.000000, 13.638707
950.000000, 13.671962
940.000000, 13.685855
930.000000, 13.724716
920.000000, 13.802497
910.000000, 13.797403
900.000000, 13.830413
890.000000, 13.911680
880.000000, 13.868005
870.000000, 13.928586
860.000000, 13.854701
850.000000, 13.829962
840.000000, 13.236969
830.000000, 13.304693
820.000000, 13.364476
810.000000, 13.342339
800.000000, 13.291940
790.000000, 13.264377
780.000000, 13.611616
770.000000, 13.571768
760.000000, 13.421944
750.000000, 13.444458
740.000000, 13.610317
730.000000, 13.508072
720.000000, 13.530043
710.000000, 13.509028
700.000000, 13.495327
690.000000, 13.616005
680.000000, 13.566963
670.000000, 13.554184
660.000000, 13.660704
650.000000, 13.717553
640.000000, 13.763609
630.000000, 13.954068
620.000000, 14.008294
610.000000, 14.130588
600.000000, 14.177258
590.000000, 14.207386
580.000000, 14.063027
570.000000, 13.819383
560.000000, 13.527814
550.000000, 13.296766
540.000000, 13.164879
530.000000, 13.028842
520.000000, 12.888473
510.000000, 12.826515
500.000000, 12.998433
490.000000, 13.184153
480.000000, 13.556353
470.000000, 13.807095
460.000000, 13.678284
450.000000, 13.134790
440.000000, 12.520409
430.000000, 11.836427
420.000000, 11.167498
410.000000, 10.634067
400.000000, 10.298240
