nm, %R
1200.000000, 6.794278
1190.000000, 6.476189
1180.000000, 6.644610
1170.000000, 6.661294
1160.000000, 6.663784
1150.000000, 6.309878
1140.000000, 6.500038
1130.000000, 6.677253
1120.000000, 6.685109
1110.000000, 6.685818
1100.000000, 6.684442
1090.000000, 6.697390
1080.000000, 6.682595
1070.000000, 6.730678
1060.000000, 6.733984
1050.000000, 6.747716
1040.000000, 6.750656
1030.000000, 6.748071
1020.000000, 6.698577
1010.000000, 6.760822
1000.000000, 6.746612
990.000000, 6.710014
980.000000, 6.742058
970.000000, 6.783687
960.000000, 6.739433
950.000000, 6.797290
940.000000, 6.750181
930.000000, 6.780151
920.000000, 6.843333
910.000000, 6.806219
900.000000, 6.821148
890.000000, 6.863401
880.000000, 6.841372
870.000000, 6.815997
860.000000, 6.620585
850.000000, 6.544644
840.000000, 4.768944
830.000000, -1.602189
820.000000, 2.990543
810.000000, 4.997437
800.000000, 6.062955
790.000000, 6.130488
780.000000, 5.155932
770.000000, 5.256818
760.000000, 5.318184
750.000000, 5.367437
740.000000, 5.610461
730.000000, 5.626453
720.000000, 5.673735
710.000000, 5.726830
700.000000, 5.840187
690.000000, 6.085162
680.000000, 6.271186
670.000000, 6.174323
660.000000, 5.977609
650.000000, 5.996447
640.000000, 5.973370
630.000000, 6.006232
620.000000, 5.994658
610.000000, 6.023769
600.000000, 6.067344
590.000000, 6.054728
580.000000, 5.998930
570.000000, 6.121320
560.000000, 6.267669
550.000000, 6.154723
540.000000, 6.080336
530.000000, 6.217208
520.000000, 6.404728
510.000000, 6.734729
500.000000, 6.766097
490.000000, 5.878019
480.000000, 5.412094
470.000000, 5.726145
460.000000, 5.795054
450.000000, 5.546450
440.000000, 5.023158
430.000000, 5.204129
420.000000, 5.731232
410.000000, 6.427477
400.000000, 6.905407
