nm, %R
1200.000000, 22.567901
1198.000000, 22.639978
1196.000000, 22.715397
1194.000000, 22.779592
1192.000000, 22.840841
1190.000000, 22.907101
1188.000000, 22.962151
1186.000000, 23.012074
1184.000000, 23.079926
1182.000000, 23.138397
1180.000000, 23.192098
1178.000000, 23.255222
1176.000000, 23.300059
1174.000000, 23.357174
1172.000000, 23.421498
1170.000000, 23.466844
1168.000000, 23.502825
1166.000000, 23.552143
1164.000000, 23.593954
1162.000000, 23.641687
1160.000000, 23.699367
1158.000000, 23.739975
1156.000000, 23.761275
1154.000000, 23.817589
1152.000000, 23.859784
1150.000000, 23.873639
1148.000000, 23.916791
1146.000000, 23.945062
1144.000000, 23.970396
1142.000000, 24.013715
1140.000000, 24.034924
1138.000000, 24.047902
1136.000000, 24.080671
1134.000000, 24.104025
1132.000000, 24.141843
1130.000000, 24.161958
1128.000000, 24.181935
1126.000000, 24.188615
1124.000000, 24.221099
1122.000000, 24.235313
1120.000000, 24.226488
1118.000000, 24.240075
1116.000000, 24.249149
1114.000000, 24.263288
1112.000000, 24.250132
1110.000000, 24.258395
1108.000000, 24.259904
1106.000000, 24.241939
1104.000000, 24.236423
1102.000000, 24.223413
1100.000000, 24.223848
1098.000000, 24.216316
1096.000000, 24.203018
1094.000000, 24.183064
1092.000000, 24.166105
1090.000000, 24.129187
1088.000000, 24.116279
1086.000000, 24.074688
1084.000000, 24.049408
1082.000000, 24.014260
1080.000000, 23.972841
1078.000000, 23.948166
1076.000000, 23.912351
1074.000000, 23.873272
1072.000000, 23.840487
1070.000000, 23.798228
1068.000000, 23.759767
1066.000000, 23.704668
1064.000000, 23.653305
1062.000000, 23.599666
1060.000000, 23.538909
1058.000000, 23.477055
1056.000000, 23.412949
1054.000000, 23.346690
1052.000000, 23.287792
1050.000000, 23.221915
1048.000000, 23.152896
1046.000000, 23.072435
1044.000000, 23.000941
1042.000000, 22.917852
1040.000000, 22.835798
1038.000000, 22.742991
1036.000000, 22.655024
