nm, %T
1100.000000, 84.393601
1098.000000, 84.322852
1096.000000, 84.286074
1094.000000, 84.158093
1092.000000, 84.120621
1090.000000, 84.053807
1088.000000, 83.908643
1086.000000, 83.871125
1084.000000, 83.763670
1082.000000, 83.673596
1080.000000, 83.586840
1078.000000, 83.498753
1076.000000, 83.368717
1074.000000, 83.289192
1072.000000, 83.188176
1070.000000, 83.051035
1068.000000, 82.976358
1066.000000, 82.857121
1064.000000, 82.711704
1062.000000, 82.640689
1060.000000, 82.521201
1058.000000, 82.351901
1056.000000, 82.236570
1054.000000, 82.090676
1052.000000, 81.955868
1050.000000, 81.846715
1048.000000, 81.689886
1046.000000, 81.544813
1044.000000, 81.438836
1042.000000, 81.247867
1040.000000, 81.120372
1038.000000, 80.993666
1036.000000, 80.845333
1034.000000, 80.708168
1032.000000, 80.559496
1030.000000, 80.390629
1028.000000, 80.287362
1026.000000, 80.130426
1024.000000, 79.971554
1022.000000, 79.843914
1020.000000, 79.667372
1018.000000, 79.513953
1016.000000, 79.374411
1014.000000, 79.201585
1012.000000, 79.052843
1010.000000, 78.917617
1008.000000, 78.757543
1006.000000, 78.604103
1004.000000, 78.466266
1002.000000, 78.312751
1000.000000, 78.178505
998.000000, 78.028083
996.000000, 77.874057
994.000000, 77.756057
992.000000, 77.594892
990.000000, 77.441944
988.000000, 77.333300
986.000000, 77.191427
984.000000, 77.052530
982.000000, 76.932013
980.000000, 76.807807
978.000000, 76.669149
976.000000, 76.538870
974.000000, 76.407876
972.000000, 76.302015
970.000000, 76.192429
968.000000, 76.064930
966.000000, 75.976175
964.000000, 75.883781
962.000000, 75.774542
960.000000, 75.679241
958.000000, 75.575843
956.000000, 75.497867
954.000000, 75.424680
952.000000, 75.331834
950.000000, 75.258988
948.000000, 75.207296
946.000000, 75.137412
944.000000, 75.075800
942.000000, 75.031686
940.000000, 75.003848
938.000000, 74.957030
936.000000, 74.901632
934.000000, 74.889532
932.000000, 74.879395
930.000000, 74.858596
928.000000, 74.842673
926.000000, 74.844673
924.000000, 74.856696
922.000000, 74.871988
920.000000, 74.878732
918.000000, 74.912927
916.000000, 74.939130
914.000000, 74.983690
912.000000, 75.025519
910.000000, 75.076099
908.000000, 75.134146
906.000000, 75.208007
904.000000, 75.257453
902.000000, 75.345009
900.000000, 75.455472
898.000000, 75.534021
896.000000, 75.609672
894.000000, 75.716778
892.000000, 75.849428
890.000000, 75.958742
888.000000, 76.085336
886.000000, 76.234614
884.000000, 76.351042
882.000000, 76.478424
880.000000, 76.623663
878.000000, 76.769192
876.000000, 76.912325
874.000000, 77.045683
872.000000, 77.174884
870.000000, 77.316522
868.000000, 77.456886
866.000000, 77.582940
864.000000, 77.702694
862.000000, 77.786533
860.000000, 77.861652
858.000000, 77.861652
856.000000, 77.861652
854.000000, 77.861652
852.000000, 77.861652
850.000000, 77.861652
848.000000, 77.861652
846.000000, 77.861652
844.000000, 77.861652
842.000000, 77.861652
840.000000, 77.861652
838.000000, 77.861652
836.000000, 77.861652
834.000000, 77.861652
832.000000, 77.861652
830.000000, 77.861652
828.000000, 77.861652
826.000000, 77.861652
824.000000, 77.861652
822.000000, 77.861652
820.000000, 77.861652
818.000000, 77.861652
816.000000, 77.861652
814.000000, 74.555484
812.000000, 69.844506
810.000000, 68.244389
808.000000, 66.933939
806.000000, 65.569634
804.000000, 64.115175
802.000000, 62.830990
800.000000, 61.527010
798.000000, 60.272655
796.000000, 59.267195
794.000000, 58.461811
792.000000, 57.449347
790.000000, 56.441508
788.000000, 55.709253
786.000000, 55.170418
784.000000, 54.539005
782.000000, 53.877108
780.000000, 53.199399
778.000000, 52.554535
776.000000, 52.125771
774.000000, 51.763904
772.000000, 51.312996
770.000000, 50.822060
768.000000, 50.418864
766.000000, 50.146191
764.000000, 49.822552
762.000000, 49.461921
760.000000, 49.082538
758.000000, 48.816999
756.000000, 48.526289
754.000000, 48.187927
752.000000, 47.923201
750.000000, 47.623885
748.000000, 47.319752
746.000000, 47.076073
744.000000, 46.806882
742.000000, 46.502634
740.000000, 46.159585
738.000000, 45.731165
736.000000, 45.478346
734.000000, 45.247077
732.000000, 44.877141
730.000000, 44.551945
728.000000, 44.295322
726.000000, 43.984400
724.000000, 43.620545
722.000000, 43.235277
720.000000, 42.882276
718.000000, 42.496409
716.000000, 42.114041
714.000000, 41.728785
712.000000, 41.343682
710.000000, 40.973280
708.000000, 40.594925
706.000000, 40.180992
704.000000, 39.829019
702.000000, 39.505495
700.000000, 39.129259
698.000000, 38.719483
696.000000, 38.328066
694.000000, 37.915334
692.000000, 37.452913
690.000000, 36.977785
688.000000, 36.646028
686.000000, 36.377439
684.000000, 36.116613
682.000000, 35.871116
680.000000, 35.633467
678.000000, 35.421135
676.000000, 35.166425
674.000000, 34.857898
672.000000, 34.509924
670.000000, 34.186972
668.000000, 33.815586
666.000000, 33.449904
664.000000, 33.137530
662.000000, 32.817022
660.000000, 32.545115
658.000000, 32.318573
656.000000, 32.086470
654.000000, 31.839093
652.000000, 31.614912
650.000000, 31.358519
648.000000, 31.089432
646.000000, 30.800735
644.000000, 30.488579
642.000000, 30.189498
640.000000, 29.875653
638.000000, 29.502899
636.000000, 29.104729
634.000000, 28.763745
632.000000, 28.443836
630.000000, 28.135064
628.000000, 27.860600
626.000000, 27.593661
624.000000, 27.336385
622.000000, 27.111022
620.000000, 26.887979
618.000000, 26.648753
616.000000, 26.425343
614.000000, 26.218525
612.000000, 25.996586
610.000000, 25.762954
608.000000, 25.535077
606.000000, 25.308430
604.000000, 25.061510
602.000000, 24.822007
600.000000, 24.595073
598.000000, 24.367884
596.000000, 24.177575
594.000000, 23.975942
592.000000, 23.778542
590.000000, 23.598041
588.000000, 23.420258
586.000000, 23.257763
