nm, %T
1100.000000, 71.603386
1095.000000, 71.623316
1090.000000, 71.689980
1085.000000, 71.770422
1080.000000, 71.879885
1075.000000, 72.027245
1070.000000, 72.067530
1065.000000, 72.225752
1060.000000, 72.378624
1055.000000, 72.501820
1050.000000, 72.667936
1045.000000, 72.828789
1040.000000, 72.991714
1035.000000, 73.180898
1030.000000, 73.340945
1025.000000, 73.529586
1020.000000, 73.682796
1015.000000, 73.861203
1010.000000, 74.019666
1005.000000, 74.169433
1000.000000, 74.346090
995.000000, 74.505747
990.000000, 74.608985
985.000000, 74.731928
980.000000, 74.828158
975.000000, 74.924247
970.000000, 75.025244
965.000000, 75.052216
960.000000, 75.056245
955.000000, 75.065842
950.000000, 75.053384
945.000000, 74.993930
940.000000, 74.911079
935.000000, 74.799133
930.000000, 74.731699
925.000000, 74.583457
920.000000, 74.444111
915.000000, 74.251629
910.000000, 74.068219
905.000000, 73.852082
900.000000, 73.636122
895.000000, 73.404324
890.000000, 73.131005
885.000000, 72.902212
880.000000, 72.666284
875.000000, 72.425158
870.000000, 72.200736
865.000000, 72.002612
860.000000, 71.817580
855.000000, 71.680038
850.000000, 71.677995
845.000000, 70.586848
840.000000, 70.617734
835.000000, 70.710183
830.000000, 70.803512
825.000000, 70.547864
820.000000, 70.525788
815.000000, 70.263381
810.000000, 70.170538
805.000000, 70.093027
800.000000, 70.072591
795.000000, 70.201457
790.000000, 70.117780
785.000000, 70.150320
780.000000, 70.319750
775.000000, 70.220162
770.000000, 70.299375
765.000000, 70.293203
760.000000, 70.288140
755.000000, 70.345416
750.000000, 70.264040
745.000000, 70.192992
740.000000, 70.041105
735.000000, 70.033604
730.000000, 69.886382
725.000000, 69.817038
720.000000, 69.648855
715.000000, 69.454145
710.000000, 69.222417
705.000000, 69.064521
700.000000, 68.817281
695.000000, 68.570823
690.000000, 68.356667
685.000000, 68.039771
680.000000, 67.788207
675.000000, 67.495887
670.000000, 67.315653
665.000000, 67.159782
660.000000, 66.951891
655.000000, 66.764363
650.000000, 66.586754
645.000000, 66.451117
640.000000, 66.242445
635.000000, 66.060829
630.000000, 65.940720
625.000000, 65.740200
620.000000, 65.522544
615.000000, 65.326956
610.000000, 65.004960
605.000000, 64.625795
600.000000, 64.247097
595.000000, 63.805395
590.000000, 63.278382
585.000000, 62.847121
580.000000, 62.386601
575.000000, 61.897318
570.000000, 61.378305
565.000000, 60.244719
560.000000, 57.612473
555.000000, 51.924127
550.000000, 41.699046
545.000000, 25.964018
540.000000, 8.725155
535.000000, 1.064301
530.000000, 0.230193
525.000000, 0.265077
520.000000, 0.406064
515.000000, 0.545038
510.000000, 0.623039
505.000000, 0.650761
500.000000, 0.648350
495.000000, 0.616903
490.000000, 0.561843
485.000000, 0.506623
480.000000, 0.454709
475.000000, 0.403758
470.000000, 0.347252
465.000000, 0.292719
460.000000, 0.245216
455.000000, 0.202150
450.000000, 0.156806
445.000000, 0.113691
440.000000, 0.091308
435.000000, 0.067807
430.000000, 0.056345
425.000000, 0.031491
420.000000, 0.006345
415.000000, 0.017386
410.000000, 0.012489
405.000000, 0.012700
400.000000, 0.003794
395.000000, -0.004824
390.000000, -0.000925
385.000000, -0.013690
380.000000, -0.002370
375.000000, -0.017120
370.000000, 0.013111
365.000000, -0.008058
360.000000, 0.049377
355.000000, 0.072307
350.000000, 0.059799
345.000000, 0.027246
340.000000, -0.009944
335.000000, 0.031981
330.000000, -0.078593
325.000000, 0.183325
320.000000, 0.181855
315.000000, 0.323695
310.000000, -0.095978
305.000000, -0.074863
300.000000, -0.064543
