nm, %T
900.000000, 77.313362
895.000000, 77.193374
890.000000, 77.072015
885.000000, 76.989635
880.000000, 76.823463
875.000000, 76.715454
870.000000, 76.591098
865.000000, 76.529081
860.000000, 76.256655
855.000000, 75.855440
850.000000, 75.396189
845.000000, 74.949652
840.000000, 74.586582
835.000000, 74.377730
830.000000, 75.231178
825.000000, 75.641934
820.000000, 75.851593
815.000000, 75.679684
810.000000, 75.794469
805.000000, 75.693039
800.000000, 75.831654
795.000000, 75.576124
790.000000, 75.533346
785.000000, 75.328402
780.000000, 75.083313
775.000000, 75.079386
770.000000, 75.143558
765.000000, 75.021420
760.000000, 74.783626
755.000000, 75.008825
750.000000, 74.718019
745.000000, 74.733828
740.000000, 74.601681
735.000000, 74.503607
730.000000, 74.462132
725.000000, 74.201643
720.000000, 74.099482
715.000000, 73.953377
710.000000, 73.717886
705.000000, 73.388710
700.000000, 72.889971
695.000000, 72.327062
690.000000, 71.376842
685.000000, 69.855837
680.000000, 67.323177
675.000000, 63.541078
670.000000, 58.252479
665.000000, 51.651248
660.000000, 44.744456
655.000000, 38.294546
650.000000, 32.638045
645.000000, 27.787291
640.000000, 23.691921
635.000000, 20.170483
630.000000, 17.293096
625.000000, 15.188473
620.000000, 13.784413
615.000000, 12.976048
610.000000, 12.574660
605.000000, 12.338395
600.000000, 12.141722
595.000000, 11.922933
590.000000, 11.646712
585.000000, 11.320520
580.000000, 10.922335
575.000000, 10.498320
570.000000, 10.042467
565.000000, 9.571488
560.000000, 9.080724
555.000000, 8.528842
550.000000, 7.969730
545.000000, 7.439093
540.000000, 6.886972
535.000000, 6.361947
530.000000, 5.826981
525.000000, 5.315638
520.000000, 4.816849
515.000000, 4.349881
510.000000, 3.915504
505.000000, 3.488894
500.000000, 3.062113
495.000000, 2.609026
490.000000, 2.172142
485.000000, 1.762970
480.000000, 1.561422
475.000000, 1.387314
470.000000, 1.189599
465.000000, 1.026869
460.000000, 0.889549
455.000000, 0.744070
450.000000, 0.580354
445.000000, 0.393411
440.000000, 0.335163
435.000000, 0.281105
430.000000, 0.228671
425.000000, 0.206111
420.000000, 0.197121
415.000000, 0.193955
410.000000, 0.178557
405.000000, 0.206647
400.000000, 0.221281
