nm, %T
1200.000000, 80.057531
1190.000000, 80.142628
1180.000000, 80.205731
1170.000000, 80.273187
1160.000000, 80.354708
1150.000000, 80.442259
1140.000000, 80.508825
1130.000000, 80.591104
1120.000000, 80.638527
1110.000000, 80.736227
1100.000000, 80.770797
1090.000000, 80.826330
1080.000000, 80.839393
1070.000000, 80.890004
1060.000000, 80.871902
1050.000000, 80.900318
1040.000000, 80.862462
1030.000000, 80.832672
1020.000000, 80.787663
1010.000000, 80.716883
1000.000000, 80.651303
990.000000, 80.542396
980.000000, 80.422670
970.000000, 80.312280
960.000000, 80.209953
950.000000, 80.094691
940.000000, 79.939085
930.000000, 79.778148
920.000000, 79.615834
910.000000, 79.492825
900.000000, 79.313384
890.000000, 79.167906
880.000000, 79.015683
870.000000, 78.859901
860.000000, 78.718954
850.000000, 78.516852
840.000000, 78.234882
830.000000, 77.971460
820.000000, 77.825000
810.000000, 78.277565
800.000000, 78.107030
790.000000, 78.742262
780.000000, 78.442973
770.000000, 78.414632
760.000000, 78.267268
750.000000, 77.932769
740.000000, 77.704831
730.000000, 77.501487
720.000000, 77.152092
710.000000, 76.801453
700.000000, 76.640768
690.000000, 76.286020
680.000000, 75.997406
670.000000, 75.720884
660.000000, 75.515440
650.000000, 75.410592
640.000000, 75.248100
630.000000, 75.184150
620.000000, 75.095442
610.000000, 74.840749
600.000000, 74.466742
590.000000, 73.955956
580.000000, 73.240427
570.000000, 71.576798
560.000000, 64.949720
550.000000, 41.225754
540.000000, 5.500462
530.000000, 2.613205
520.000000, 3.930850
510.000000, 4.516774
500.000000, 4.403858
490.000000, 3.516141
480.000000, 2.857123
470.000000, 2.709392
460.000000, 2.376524
450.000000, 1.698158
440.000000, 0.998944
430.000000, 0.746197
420.000000, 0.558398
410.000000, 0.482047
400.000000, 0.499480
