nm, %T
1200.000000, 63.981743
1195.000000, 63.850240
1190.000000, 63.766972
1185.000000, 63.620580
1180.000000, 63.548305
1175.000000, 63.428851
1170.000000, 63.341942
1165.000000, 63.233809
1160.000000, 63.172176
1155.000000, 63.070367
1150.000000, 62.980944
1145.000000, 62.907846
1140.000000, 62.839977
1135.000000, 62.736783
1130.000000, 62.663657
1125.000000, 62.549306
1120.000000, 62.487271
1115.000000, 62.380419
1110.000000, 62.276789
1105.000000, 62.184981
1100.000000, 62.090365
1095.000000, 61.971615
1090.000000, 61.876369
1085.000000, 61.780393
1080.000000, 61.660304
1075.000000, 61.554764
1070.000000, 61.439863
1065.000000, 61.294452
1060.000000, 61.170145
1055.000000, 61.025113
1050.000000, 60.892223
1045.000000, 60.704738
1040.000000, 60.547983
1035.000000, 60.341009
1030.000000, 60.144632
1025.000000, 59.894133
1020.000000, 59.585120
1015.000000, 59.332083
1010.000000, 58.993359
1005.000000, 58.559573
1000.000000, 58.046438
995.000000, 57.428016
990.000000, 56.681583
985.000000, 55.806003
980.000000, 54.797737
975.000000, 53.640999
970.000000, 52.372677
965.000000, 51.005627
960.000000, 49.524976
955.000000, 48.009122
950.000000, 46.454479
945.000000, 44.880986
940.000000, 43.328869
935.000000, 41.808291
930.000000, 40.346339
925.000000, 38.935688
920.000000, 37.586914
915.000000, 36.313206
910.000000, 35.080844
905.000000, 33.925028
900.000000, 32.826847
895.000000, 31.765558
890.000000, 30.756141
885.000000, 29.781577
880.000000, 28.865146
875.000000, 28.007693
870.000000, 27.131700
865.000000, 26.284691
860.000000, 25.479855
855.000000, 24.751292
850.000000, 23.753514
845.000000, 22.578656
840.000000, 21.318847
835.000000, 20.066220
830.000000, 18.912908
825.000000, 17.951041
820.000000, 17.272753
815.000000, 17.387232
810.000000, 17.388706
805.000000, 17.117633
800.000000, 16.667720
795.000000, 15.981106
790.000000, 15.467137
785.000000, 14.961933
780.000000, 14.479286
775.000000, 13.990751
770.000000, 13.570471
765.000000, 13.033391
760.000000, 12.461684
755.000000, 11.898695
750.000000, 11.410185
745.000000, 10.779181
740.000000, 10.146978
735.000000, 9.537410
730.000000, 8.900895
725.000000, 8.297182
720.000000, 7.701993
715.000000, 7.114439
710.000000, 6.563595
705.000000, 6.066497
700.000000, 5.579904
695.000000, 5.123288
690.000000, 4.779191
685.000000, 4.395843
680.000000, 4.071097
675.000000, 3.805710
670.000000, 3.560285
665.000000, 3.325192
660.000000, 3.145974
655.000000, 2.941822
650.000000, 2.790173
645.000000, 2.655298
640.000000, 2.531096
635.000000, 2.409385
630.000000, 2.319190
625.000000, 2.216066
620.000000, 2.143179
615.000000, 2.102490
610.000000, 2.042649
605.000000, 1.999165
600.000000, 1.964986
595.000000, 1.930872
590.000000, 1.904171
585.000000, 1.896012
580.000000, 1.902460
575.000000, 1.894666
570.000000, 1.881629
565.000000, 1.888646
560.000000, 1.905573
555.000000, 1.922153
550.000000, 1.932007
545.000000, 1.943633
540.000000, 1.954419
535.000000, 1.973601
530.000000, 1.984390
525.000000, 1.999438
520.000000, 2.017965
515.000000, 2.026923
510.000000, 2.041300
505.000000, 2.053516
500.000000, 2.075141
495.000000, 2.087250
490.000000, 2.107836
485.000000, 2.136001
480.000000, 2.146999
475.000000, 2.159904
470.000000, 2.170508
465.000000, 2.187881
460.000000, 2.218522
455.000000, 2.217457
450.000000, 2.245096
445.000000, 2.286053
440.000000, 2.267149
435.000000, 2.279368
430.000000, 2.292673
425.000000, 2.341318
420.000000, 2.348876
415.000000, 2.356336
410.000000, 2.382303
405.000000, 2.411925
400.000000, 2.443409
395.000000, 2.430776
390.000000, 2.432631
385.000000, 2.438891
380.000000, 2.456809
375.000000, 2.627566
370.000000, 2.377180
365.000000, 1.749611
360.000000, 2.595720
355.000000, 2.676179
350.000000, 2.626082
345.000000, 2.626082
340.000000, 2.626082
335.000000, 2.626082
330.000000, 2.626082
325.000000, 2.626082
320.000000, 2.626082
315.000000, 2.626082
310.000000, 2.626082
305.000000, 2.626082
300.000000, 2.626082
