nm, %T
1200.000000, 64.379976
1195.000000, 64.161684
1190.000000, 64.008814
1185.000000, 63.821444
1180.000000, 63.695336
1175.000000, 63.486541
1170.000000, 63.342732
1165.000000, 63.191190
1160.000000, 63.085749
1155.000000, 62.937842
1150.000000, 62.787644
1145.000000, 62.683238
1140.000000, 62.568726
1135.000000, 62.466864
1130.000000, 62.358994
1125.000000, 62.262131
1120.000000, 62.189514
1115.000000, 62.082209
1110.000000, 62.018910
1105.000000, 61.940605
1100.000000, 61.884731
1095.000000, 61.833356
1090.000000, 61.807751
1085.000000, 61.744933
1080.000000, 61.710004
1075.000000, 61.687183
1070.000000, 61.662950
1065.000000, 61.619188
1060.000000, 61.622344
1055.000000, 61.603742
1050.000000, 61.603638
1045.000000, 61.574454
1040.000000, 61.588889
1035.000000, 61.553330
1030.000000, 61.547917
1025.000000, 61.513224
1020.000000, 61.497157
1015.000000, 61.466506
1010.000000, 61.430852
1005.000000, 61.349752
1000.000000, 61.285113
995.000000, 61.149209
990.000000, 60.993025
985.000000, 60.784709
980.000000, 60.535693
975.000000, 60.193635
970.000000, 59.801992
965.000000, 59.312162
960.000000, 58.729402
955.000000, 58.008853
950.000000, 57.175131
945.000000, 56.263223
940.000000, 55.227772
935.000000, 54.109505
930.000000, 52.908386
925.000000, 51.626241
920.000000, 50.309444
915.000000, 48.937415
910.000000, 47.518889
905.000000, 46.104041
900.000000, 44.686767
895.000000, 43.237615
890.000000, 41.793954
885.000000, 40.376179
880.000000, 38.953006
875.000000, 37.561671
870.000000, 36.189782
865.000000, 34.838732
860.000000, 33.523598
855.000000, 32.436611
850.000000, 30.954408
845.000000, 29.212128
840.000000, 27.344909
835.000000, 25.487888
830.000000, 23.776204
825.000000, 22.344994
820.000000, 21.329397
815.000000, 21.319679
810.000000, 21.011373
805.000000, 20.579134
800.000000, 19.835837
795.000000, 18.957124
790.000000, 18.247468
785.000000, 17.611124
780.000000, 16.887401
775.000000, 16.295926
770.000000, 15.688696
765.000000, 15.251759
760.000000, 14.653917
755.000000, 14.148541
750.000000, 13.656718
745.000000, 13.136863
740.000000, 12.630470
735.000000, 12.160297
730.000000, 11.694338
725.000000, 11.246909
720.000000, 10.858772
715.000000, 10.468267
710.000000, 10.035637
705.000000, 9.692952
700.000000, 9.330468
695.000000, 9.009659
690.000000, 8.757855
685.000000, 8.445396
680.000000, 8.229605
675.000000, 8.069401
670.000000, 7.924099
665.000000, 7.763711
660.000000, 7.672257
655.000000, 7.604110
650.000000, 7.546907
645.000000, 7.483086
640.000000, 7.438114
635.000000, 7.443014
630.000000, 7.440803
625.000000, 7.449669
620.000000, 7.466980
615.000000, 7.496782
610.000000, 7.714758
605.000000, 8.035650
600.000000, 7.674756
595.000000, 7.862172
590.000000, 8.250048
585.000000, 7.547978
580.000000, 7.086259
575.000000, 7.622284
570.000000, 7.972395
565.000000, 7.880129
560.000000, 7.910157
555.000000, 7.934235
550.000000, 7.940858
545.000000, 7.936704
540.000000, 7.934097
535.000000, 7.914232
530.000000, 7.885328
525.000000, 7.849595
520.000000, 7.810340
515.000000, 7.757363
510.000000, 7.691551
505.000000, 7.619898
500.000000, 7.573670
495.000000, 7.532917
490.000000, 7.497617
485.000000, 7.445540
480.000000, 7.375705
475.000000, 7.322805
470.000000, 7.265013
465.000000, 7.214231
460.000000, 7.190009
455.000000, 7.151107
450.000000, 7.152835
445.000000, 7.157176
440.000000, 7.101072
435.000000, 7.085889
430.000000, 7.119226
425.000000, 7.152771
420.000000, 7.167861
415.000000, 7.207994
410.000000, 7.293705
405.000000, 7.365511
400.000000, 7.482268
395.000000, 7.577999
390.000000, 7.663183
385.000000, 7.755023
380.000000, 7.878765
375.000000, 8.068966
370.000000, 7.892490
365.000000, 7.428167
360.000000, 8.119362
355.000000, 8.092824
350.000000, 8.257690
345.000000, 8.257690
340.000000, 8.257690
335.000000, 8.257690
330.000000, 8.257690
325.000000, 8.257690
320.000000, 8.257690
315.000000, 8.257690
310.000000, 8.257690
305.000000, 8.257690
300.000000, 8.257690
