nm, %T
1100.000000, 82.237632
1095.000000, 82.179560
1090.000000, 82.160929
1085.000000, 82.098572
1080.000000, 82.055156
1075.000000, 81.988355
1070.000000, 81.854524
1065.000000, 81.788089
1060.000000, 81.655825
1055.000000, 81.539195
1050.000000, 81.411248
1045.000000, 81.250883
1040.000000, 81.113189
1035.000000, 80.938002
1030.000000, 80.796861
1025.000000, 80.607896
1020.000000, 80.428516
1015.000000, 80.252242
1010.000000, 80.071603
1005.000000, 79.857360
1000.000000, 79.658666
995.000000, 79.490435
990.000000, 79.293997
985.000000, 79.102558
980.000000, 78.922636
975.000000, 78.757377
970.000000, 78.593573
965.000000, 78.436268
960.000000, 78.300150
955.000000, 78.173597
950.000000, 78.043520
945.000000, 77.925748
940.000000, 77.855597
935.000000, 77.758736
930.000000, 77.718243
925.000000, 77.654605
920.000000, 77.607288
915.000000, 77.571778
910.000000, 77.549443
905.000000, 77.512515
900.000000, 77.490545
895.000000, 77.462620
890.000000, 77.426681
885.000000, 77.419793
880.000000, 77.358584
875.000000, 77.298398
870.000000, 77.213818
865.000000, 77.143663
860.000000, 77.004692
855.000000, 76.910584
850.000000, 77.182672
845.000000, 76.740364
840.000000, 76.411476
835.000000, 75.927788
830.000000, 75.510234
825.000000, 74.817395
820.000000, 73.840109
815.000000, 72.420222
810.000000, 70.551798
805.000000, 68.094021
800.000000, 65.142100
795.000000, 61.552045
790.000000, 57.338066
785.000000, 53.026179
780.000000, 48.389803
775.000000, 43.946067
770.000000, 40.146392
765.000000, 36.648525
760.000000, 33.740640
755.000000, 31.351340
750.000000, 29.347868
745.000000, 27.782278
740.000000, 26.433754
735.000000, 25.320360
730.000000, 24.353088
725.000000, 23.431402
720.000000, 22.593036
715.000000, 21.846693
710.000000, 21.107693
705.000000, 20.432488
700.000000, 19.691946
695.000000, 18.980877
690.000000, 18.288574
685.000000, 17.582813
680.000000, 16.875006
675.000000, 16.180969
670.000000, 15.486109
665.000000, 14.798337
660.000000, 14.065544
655.000000, 13.328924
650.000000, 12.608457
645.000000, 11.878580
640.000000, 11.121512
635.000000, 10.400471
630.000000, 9.669358
625.000000, 8.949583
620.000000, 8.220930
615.000000, 7.512247
610.000000, 6.817789
605.000000, 6.139305
600.000000, 5.479692
595.000000, 4.851401
590.000000, 4.257799
585.000000, 3.695865
580.000000, 3.173782
575.000000, 2.698412
570.000000, 2.266777
565.000000, 1.879072
560.000000, 1.535580
555.000000, 1.232200
550.000000, 0.976963
545.000000, 0.763753
540.000000, 0.586938
535.000000, 0.440111
530.000000, 0.323972
525.000000, 0.234747
520.000000, 0.167733
515.000000, 0.114092
510.000000, 0.076175
505.000000, 0.045640
500.000000, 0.033130
495.000000, 0.025444
490.000000, 0.017849
485.000000, 0.015691
480.000000, 0.009834
475.000000, 0.002763
470.000000, 0.001227
465.000000, -0.004601
460.000000, -0.006547
455.000000, -0.001432
450.000000, 0.001125
445.000000, 0.003067
440.000000, 0.003579
435.000000, 0.001330
430.000000, 0.005215
425.000000, -0.009713
420.000000, -0.010541
415.000000, 0.000000
410.000000, -0.005835
405.000000, -0.010344
400.000000, -0.018970
395.000000, -0.010777
390.000000, -0.014084
385.000000, -0.020072
380.000000, -0.009480
375.000000, -0.004228
370.000000, 0.051205
365.000000, 0.022313
360.000000, -0.001242
355.000000, -0.030915
350.000000, -0.023441
345.000000, -0.020669
340.000000, -0.022820
335.000000, -0.098887
330.000000, -0.127713
325.000000, -0.102776
320.000000, -0.173399
315.000000, -0.212560
310.000000, -0.100234
305.000000, -0.413151
300.000000, -0.029605
