nm, %T
1100.000000, 80.154700
1095.000000, 80.101502
1090.000000, 80.046501
1085.000000, 79.975368
1080.000000, 79.915219
1075.000000, 79.839727
1070.000000, 79.803744
1065.000000, 79.779949
1060.000000, 79.673076
1055.000000, 79.589562
1050.000000, 79.574451
1045.000000, 79.473394
1040.000000, 79.439941
1035.000000, 79.374449
1030.000000, 79.307315
1025.000000, 79.219026
1020.000000, 79.194203
1015.000000, 79.097460
1010.000000, 79.042016
1005.000000, 79.005218
1000.000000, 78.920722
995.000000, 78.830543
990.000000, 78.771801
985.000000, 78.708709
980.000000, 78.633540
975.000000, 78.593410
970.000000, 78.522113
965.000000, 78.447081
960.000000, 78.401037
955.000000, 78.333766
950.000000, 78.294705
945.000000, 78.258619
940.000000, 78.191354
935.000000, 78.123822
930.000000, 78.050413
925.000000, 78.017291
920.000000, 77.950182
915.000000, 77.888996
910.000000, 77.837643
905.000000, 77.785182
900.000000, 77.713820
895.000000, 77.619279
890.000000, 77.570313
885.000000, 77.508100
880.000000, 77.471202
875.000000, 77.381005
870.000000, 77.346701
865.000000, 77.313528
860.000000, 77.246915
855.000000, 77.246915
850.000000, 77.246915
845.000000, 77.246915
840.000000, 77.246915
835.000000, 77.246915
830.000000, 77.246915
825.000000, 77.246915
820.000000, 77.246915
815.000000, 77.246915
810.000000, 77.246915
805.000000, 77.246915
800.000000, 77.246915
795.000000, 77.246915
790.000000, 77.246915
785.000000, 77.246915
780.000000, 77.246915
775.000000, 77.246915
770.000000, 77.246915
765.000000, 77.125632
760.000000, 77.295430
755.000000, 77.487174
750.000000, 77.579923
745.000000, 77.782276
740.000000, 77.936108
735.000000, 77.996854
730.000000, 78.202025
725.000000, 78.181580
720.000000, 78.286428
715.000000, 78.432921
710.000000, 78.510699
705.000000, 78.627570
700.000000, 78.673062
695.000000, 78.737041
690.000000, 78.689842
685.000000, 78.238520
680.000000, 75.775820
675.000000, 75.648273
670.000000, 75.730574
665.000000, 75.763051
660.000000, 75.788705
655.000000, 75.817954
650.000000, 75.856985
645.000000, 75.836884
640.000000, 75.942544
635.000000, 76.082108
630.000000, 76.145073
625.000000, 76.273307
620.000000, 76.393491
615.000000, 76.540233
610.000000, 76.544590
605.000000, 76.522753
600.000000, 76.441939
595.000000, 76.244592
590.000000, 76.102416
585.000000, 75.704022
580.000000, 75.127015
575.000000, 74.331278
570.000000, 73.232916
565.000000, 71.799422
560.000000, 69.716400
555.000000, 66.722675
550.000000, 63.282682
545.000000, 59.556010
540.000000, 55.466402
535.000000, 51.118857
530.000000, 46.666112
525.000000, 42.253297
520.000000, 38.020170
515.000000, 34.026487
510.000000, 30.457619
505.000000, 27.336362
500.000000, 25.093740
495.000000, 25.072635
490.000000, 28.911772
485.000000, 37.019715
480.000000, 46.345435
475.000000, 50.825261
470.000000, 51.322371
465.000000, 48.787394
460.000000, 44.412432
455.000000, 39.132801
450.000000, 33.784565
445.000000, 28.747763
440.000000, 25.593467
435.000000, 23.112417
430.000000, 21.349618
425.000000, 20.173431
420.000000, 19.528216
415.000000, 19.139447
410.000000, 18.928500
405.000000, 18.723946
400.000000, 18.538990
395.000000, 18.334897
390.000000, 18.018407
385.000000, 17.655317
380.000000, 17.256494
375.000000, 17.256494
370.000000, 17.256494
365.000000, 17.256494
360.000000, 17.256494
355.000000, 17.256494
350.000000, 17.256494
345.000000, 17.256494
340.000000, 17.256494
335.000000, 17.256494
330.000000, 17.256494
325.000000, 17.256494
320.000000, 17.256494
315.000000, 17.256494
310.000000, 17.256494
305.000000, 17.256494
300.000000, 17.256494
