nm, %T
900.000000, 89.455520
895.000000, 89.382385
890.000000, 89.333167
885.000000, 89.240076
880.000000, 89.206021
875.000000, 89.091342
870.000000, 89.023435
865.000000, 88.924720
860.000000, 89.084484
855.000000, 89.336214
850.000000, 89.635141
845.000000, 89.936497
840.000000, 90.195512
835.000000, 90.367418
830.000000, 90.407446
825.000000, 88.353041
820.000000, 87.658583
815.000000, 88.128120
810.000000, 88.198651
805.000000, 88.245701
800.000000, 88.014920
795.000000, 87.795802
790.000000, 87.691844
785.000000, 87.442490
780.000000, 87.655948
775.000000, 87.619889
770.000000, 87.584629
765.000000, 87.351000
760.000000, 87.173224
755.000000, 87.324422
750.000000, 86.952723
745.000000, 86.963497
740.000000, 86.690981
735.000000, 86.574841
730.000000, 86.269996
725.000000, 86.319541
720.000000, 86.117578
715.000000, 85.904112
710.000000, 85.754941
705.000000, 85.605421
700.000000, 85.278918
695.000000, 85.137108
690.000000, 84.920767
685.000000, 84.697347
680.000000, 84.459039
675.000000, 84.196057
670.000000, 83.944765
665.000000, 83.627372
660.000000, 83.328037
655.000000, 82.983333
650.000000, 82.678644
645.000000, 82.384671
640.000000, 81.889528
635.000000, 81.477136
630.000000, 80.984813
625.000000, 80.451532
620.000000, 79.772868
615.000000, 79.074113
610.000000, 78.116016
605.000000, 76.896748
600.000000, 75.399214
595.000000, 73.473443
590.000000, 71.197093
585.000000, 68.694879
580.000000, 66.081237
575.000000, 63.428395
570.000000, 61.073484
565.000000, 59.088608
560.000000, 57.373430
555.000000, 55.565439
550.000000, 53.873621
545.000000, 52.001577
540.000000, 49.872574
535.000000, 47.414726
530.000000, 44.559772
525.000000, 41.504499
520.000000, 38.178412
515.000000, 34.750203
510.000000, 31.223638
505.000000, 27.778092
500.000000, 24.408160
495.000000, 21.296397
490.000000, 18.415486
485.000000, 15.938411
480.000000, 14.184701
475.000000, 12.966750
470.000000, 12.406415
465.000000, 12.316594
460.000000, 12.419432
455.000000, 12.370236
450.000000, 12.065118
445.000000, 11.530752
440.000000, 10.955541
435.000000, 10.312180
430.000000, 9.776547
425.000000, 9.377198
420.000000, 9.008896
415.000000, 8.680277
410.000000, 8.253551
405.000000, 7.645010
400.000000, 6.859765
