nm, %T
900.000000, 82.414803
895.000000, 82.407950
890.000000, 82.419384
885.000000, 82.379543
880.000000, 82.395426
875.000000, 82.378237
870.000000, 82.390624
865.000000, 82.354986
860.000000, 82.298885
855.000000, 82.220601
850.000000, 82.127742
845.000000, 82.027913
840.000000, 81.928722
835.000000, 81.837774
830.000000, 81.762677
825.000000, 81.711037
820.000000, 81.756971
815.000000, 82.070141
810.000000, 82.067832
805.000000, 81.879774
800.000000, 82.038629
795.000000, 82.220469
790.000000, 82.473462
785.000000, 82.401822
780.000000, 82.417629
775.000000, 82.498748
770.000000, 82.496981
765.000000, 82.313660
760.000000, 82.109460
755.000000, 82.256626
750.000000, 82.170554
745.000000, 82.225355
740.000000, 82.207597
735.000000, 82.141678
730.000000, 81.999406
725.000000, 82.087257
720.000000, 82.103050
715.000000, 82.085781
710.000000, 81.952518
705.000000, 82.067644
700.000000, 81.895728
695.000000, 81.901945
690.000000, 81.677006
685.000000, 81.662113
680.000000, 81.654593
675.000000, 81.668002
670.000000, 81.618672
665.000000, 81.594121
660.000000, 81.417095
655.000000, 81.279525
650.000000, 81.232505
645.000000, 81.226828
640.000000, 81.103700
635.000000, 80.915637
630.000000, 80.848661
625.000000, 80.736502
620.000000, 80.618065
615.000000, 80.525078
610.000000, 80.323529
605.000000, 80.081457
600.000000, 79.838456
595.000000, 79.550367
590.000000, 79.014294
585.000000, 78.388467
580.000000, 77.647641
575.000000, 76.541854
570.000000, 75.087892
565.000000, 73.218944
560.000000, 70.834096
555.000000, 67.760441
550.000000, 64.256997
545.000000, 60.205245
540.000000, 55.867007
535.000000, 51.456941
530.000000, 47.053972
525.000000, 42.974029
520.000000, 39.268742
515.000000, 35.988307
510.000000, 33.233629
505.000000, 31.103636
500.000000, 29.793571
495.000000, 29.493110
490.000000, 30.713702
485.000000, 33.737127
480.000000, 38.206711
475.000000, 42.719093
470.000000, 45.395441
465.000000, 45.413367
460.000000, 43.310791
455.000000, 40.167469
450.000000, 36.860245
445.000000, 33.675500
440.000000, 30.922799
435.000000, 28.725324
430.000000, 26.940800
425.000000, 25.637348
420.000000, 24.705988
415.000000, 23.962075
410.000000, 23.497877
405.000000, 23.137977
400.000000, 22.789967
