nm, %T
900.000000, 79.493351
895.000000, 79.396421
890.000000, 79.272760
885.000000, 79.127437
880.000000, 79.030135
875.000000, 78.885124
870.000000, 78.804557
865.000000, 78.681726
860.000000, 78.515037
855.000000, 78.285098
850.000000, 78.012955
845.000000, 77.719653
840.000000, 77.426239
835.000000, 77.153759
830.000000, 76.923257
825.000000, 76.755780
820.000000, 76.618534
815.000000, 76.835914
810.000000, 76.570490
805.000000, 76.463197
800.000000, 76.663789
795.000000, 76.224325
790.000000, 76.245926
785.000000, 76.029297
780.000000, 75.974151
775.000000, 75.757715
770.000000, 75.442665
765.000000, 75.246091
760.000000, 74.917967
755.000000, 74.846733
750.000000, 74.455212
745.000000, 74.478780
740.000000, 73.985376
735.000000, 73.765765
730.000000, 73.400474
725.000000, 73.170856
720.000000, 73.021525
715.000000, 72.854700
710.000000, 72.423343
705.000000, 72.260404
700.000000, 71.125532
695.000000, 72.120126
690.000000, 71.368004
685.000000, 71.106389
680.000000, 70.937320
675.000000, 70.689528
670.000000, 70.305878
665.000000, 70.083383
660.000000, 69.843415
655.000000, 69.472722
650.000000, 69.180366
645.000000, 68.956517
640.000000, 68.669220
635.000000, 68.292688
630.000000, 67.965588
625.000000, 67.638567
620.000000, 67.274703
615.000000, 66.798712
610.000000, 66.298969
605.000000, 65.576420
600.000000, 64.632274
595.000000, 63.352825
590.000000, 61.629986
585.000000, 59.282540
580.000000, 56.324773
575.000000, 52.674011
570.000000, 48.567520
565.000000, 44.157057
560.000000, 39.484705
555.000000, 34.908152
550.000000, 30.551877
545.000000, 26.693077
540.000000, 23.517384
535.000000, 21.146667
530.000000, 19.426656
525.000000, 18.260736
520.000000, 17.410997
515.000000, 16.745038
510.000000, 16.082492
505.000000, 15.368846
500.000000, 14.597978
495.000000, 13.719264
490.000000, 12.795386
485.000000, 11.944974
480.000000, 11.110057
475.000000, 10.499265
470.000000, 10.070534
465.000000, 9.786564
460.000000, 9.688639
455.000000, 9.645773
450.000000, 9.671018
445.000000, 9.696122
440.000000, 9.715451
435.000000, 9.757286
430.000000, 9.751677
425.000000, 9.809402
420.000000, 9.857624
415.000000, 9.950310
410.000000, 10.003643
405.000000, 10.058697
400.000000, 10.011715
