nm, %T
900.000000, 81.296805
895.000000, 81.237214
890.000000, 81.125343
885.000000, 81.085101
880.000000, 81.020021
875.000000, 80.937889
870.000000, 80.895939
865.000000, 80.818546
860.000000, 80.442521
855.000000, 79.885661
850.000000, 79.284434
845.000000, 78.775307
840.000000, 78.494747
835.000000, 79.610671
830.000000, 79.877441
825.000000, 80.370644
820.000000, 80.550487
815.000000, 80.400956
810.000000, 80.036510
805.000000, 80.186598
800.000000, 80.155100
795.000000, 80.120299
790.000000, 79.791427
785.000000, 79.819489
780.000000, 79.880452
775.000000, 79.863635
770.000000, 79.644484
765.000000, 79.604833
760.000000, 79.635100
755.000000, 79.678710
750.000000, 79.320746
745.000000, 79.430453
740.000000, 79.446403
735.000000, 79.321861
730.000000, 79.386398
725.000000, 79.245677
720.000000, 79.190301
715.000000, 79.226842
710.000000, 79.047468
705.000000, 79.068982
700.000000, 79.023636
695.000000, 78.950804
690.000000, 78.961601
685.000000, 78.764777
680.000000, 78.747694
675.000000, 78.886255
670.000000, 78.664347
665.000000, 78.676307
660.000000, 78.572357
655.000000, 78.606919
650.000000, 78.614179
645.000000, 78.602582
640.000000, 78.537142
635.000000, 78.525297
630.000000, 78.439434
625.000000, 78.439331
620.000000, 78.398223
615.000000, 78.392541
610.000000, 78.364590
605.000000, 78.432167
600.000000, 78.424123
595.000000, 78.408349
590.000000, 78.410039
585.000000, 78.485621
580.000000, 78.485108
575.000000, 78.483520
570.000000, 78.582879
565.000000, 78.653661
560.000000, 78.704655
555.000000, 78.795470
550.000000, 78.888980
545.000000, 78.954166
540.000000, 79.123273
535.000000, 79.237197
530.000000, 79.374630
525.000000, 79.539063
520.000000, 79.725617
515.000000, 79.934288
510.000000, 80.185691
505.000000, 80.504454
500.000000, 80.798185
495.000000, 81.128629
490.000000, 81.610678
485.000000, 82.120020
480.000000, 82.658420
475.000000, 83.311369
470.000000, 83.817861
465.000000, 83.354851
460.000000, 79.166403
455.000000, 65.445024
450.000000, 41.930882
445.000000, 21.706091
440.000000, 11.797319
435.000000, 10.234094
430.000000, 14.587073
425.000000, 23.716704
420.000000, 35.251695
415.000000, 46.517789
410.000000, 54.773482
405.000000, 59.181334
400.000000, 61.103229
395.000000, 61.867982
390.000000, 61.825961
385.000000, 61.889511
380.000000, 62.072292
375.000000, 61.789711
370.000000, 59.916345
365.000000, 55.595793
360.000000, 49.450881
355.000000, 41.831972
350.000000, 33.674271
