nm, %T
900.000000, 84.153359
895.000000, 84.102022
890.000000, 84.001437
885.000000, 83.956674
880.000000, 83.911835
875.000000, 83.853962
870.000000, 83.797460
865.000000, 83.733162
860.000000, 83.413964
855.000000, 82.945557
850.000000, 82.433909
845.000000, 81.984991
840.000000, 81.704774
835.000000, 82.127724
830.000000, 82.807530
825.000000, 83.085878
820.000000, 83.018766
815.000000, 83.046968
810.000000, 82.713235
805.000000, 82.604572
800.000000, 82.838664
795.000000, 82.760324
790.000000, 82.664795
785.000000, 82.564755
780.000000, 82.455881
775.000000, 82.379858
770.000000, 82.296634
765.000000, 82.309686
760.000000, 82.179624
755.000000, 82.202412
750.000000, 82.060350
745.000000, 82.111402
740.000000, 82.016426
735.000000, 81.835852
730.000000, 81.820732
725.000000, 81.785202
720.000000, 81.591474
715.000000, 81.605690
710.000000, 81.325385
705.000000, 81.323418
700.000000, 81.138916
695.000000, 81.137176
690.000000, 81.005571
685.000000, 80.774484
680.000000, 80.743968
675.000000, 80.715051
670.000000, 80.431774
665.000000, 80.479986
660.000000, 80.247296
655.000000, 80.178586
650.000000, 80.087593
645.000000, 79.925273
640.000000, 79.775164
635.000000, 79.696244
630.000000, 79.515883
625.000000, 79.413615
620.000000, 79.216407
615.000000, 79.121572
610.000000, 78.885049
605.000000, 78.778140
600.000000, 78.645253
595.000000, 78.394563
590.000000, 78.275214
585.000000, 78.141922
580.000000, 77.911872
575.000000, 77.743287
570.000000, 77.527476
565.000000, 77.299087
560.000000, 77.170264
555.000000, 76.973129
550.000000, 76.794623
545.000000, 76.506222
540.000000, 76.274668
535.000000, 75.999996
530.000000, 75.744129
525.000000, 75.452271
520.000000, 75.198010
515.000000, 74.876726
510.000000, 74.564738
505.000000, 74.146690
500.000000, 73.724355
495.000000, 73.148700
490.000000, 72.341698
485.000000, 71.225407
480.000000, 69.090178
475.000000, 65.755456
470.000000, 61.529549
465.000000, 57.228769
460.000000, 54.150025
455.000000, 52.387551
450.000000, 51.692869
445.000000, 51.541687
440.000000, 51.782363
435.000000, 52.086229
430.000000, 52.335922
425.000000, 52.337716
420.000000, 52.147435
415.000000, 51.805778
410.000000, 51.316668
405.000000, 50.880167
400.000000, 50.587692
395.000000, 50.542073
390.000000, 50.578432
385.000000, 50.699606
380.000000, 51.004102
375.000000, 51.290351
370.000000, 51.629757
365.000000, 51.752730
360.000000, 51.950218
355.000000, 51.794930
350.000000, 51.748126
