nm, %T
900.000000, 84.230193
895.000000, 84.252839
890.000000, 84.198173
885.000000, 84.256000
880.000000, 84.275983
875.000000, 84.305072
870.000000, 84.328810
865.000000, 84.364006
860.000000, 84.120886
855.000000, 83.752728
850.000000, 83.353247
845.000000, 83.016158
840.000000, 82.835174
835.000000, 83.647072
830.000000, 83.815217
825.000000, 84.188060
820.000000, 84.488143
815.000000, 84.303467
810.000000, 84.248963
805.000000, 84.295569
800.000000, 84.344516
795.000000, 84.550288
790.000000, 84.358271
785.000000, 84.303492
780.000000, 84.386790
775.000000, 84.369864
770.000000, 84.373312
765.000000, 84.437818
760.000000, 84.407975
755.000000, 84.379976
750.000000, 84.447909
745.000000, 84.556061
740.000000, 84.500538
735.000000, 84.568593
730.000000, 84.636413
725.000000, 84.587579
720.000000, 84.457313
715.000000, 84.598884
710.000000, 84.424072
705.000000, 84.488112
700.000000, 84.486361
695.000000, 84.573928
690.000000, 84.506139
685.000000, 84.436116
680.000000, 84.480102
675.000000, 84.640244
670.000000, 84.448608
665.000000, 84.437950
660.000000, 84.445458
655.000000, 84.474861
650.000000, 84.477214
645.000000, 84.481186
640.000000, 84.420651
635.000000, 84.388999
630.000000, 84.352057
625.000000, 84.327957
620.000000, 84.305099
615.000000, 84.291910
610.000000, 84.217583
605.000000, 84.215910
600.000000, 84.221208
595.000000, 84.115662
590.000000, 84.086092
585.000000, 84.056627
580.000000, 84.031021
575.000000, 83.911924
570.000000, 83.913124
565.000000, 83.821844
560.000000, 83.733106
555.000000, 83.697362
550.000000, 83.632693
545.000000, 83.506447
540.000000, 83.410539
535.000000, 83.344675
530.000000, 83.219549
525.000000, 83.092960
520.000000, 82.904508
515.000000, 82.778336
510.000000, 82.627659
505.000000, 82.419336
500.000000, 82.252102
495.000000, 81.995688
490.000000, 81.776696
485.000000, 81.637244
480.000000, 81.213212
475.000000, 80.866015
470.000000, 80.494014
465.000000, 79.782636
460.000000, 78.938233
455.000000, 77.275682
450.000000, 73.604520
445.000000, 67.021219
440.000000, 57.753051
435.000000, 48.730901
430.000000, 43.455358
425.000000, 41.728747
420.000000, 41.809761
415.000000, 42.498672
410.000000, 43.367975
405.000000, 44.512530
400.000000, 45.781661
395.000000, 47.034156
390.000000, 47.333865
385.000000, 47.449925
380.000000, 50.022551
375.000000, 54.654888
370.000000, 57.864058
365.000000, 58.672145
360.000000, 57.306957
355.000000, 54.413571
350.000000, 50.439756
