nm, %T
900.000000, 88.329789
895.000000, 88.321620
890.000000, 88.285921
885.000000, 88.291097
880.000000, 88.298733
875.000000, 88.303829
870.000000, 88.306997
865.000000, 88.293497
860.000000, 88.057203
855.000000, 87.705401
850.000000, 87.322787
845.000000, 86.994057
840.000000, 86.803908
835.000000, 87.367224
830.000000, 87.757612
825.000000, 88.056438
820.000000, 87.956289
815.000000, 87.964949
810.000000, 87.691228
805.000000, 88.040856
800.000000, 87.967551
795.000000, 87.979280
790.000000, 87.805202
785.000000, 87.887385
780.000000, 87.809645
775.000000, 87.849773
770.000000, 87.853988
765.000000, 87.779206
760.000000, 87.768116
755.000000, 87.806651
750.000000, 87.853424
745.000000, 87.901075
740.000000, 87.836569
735.000000, 87.639905
730.000000, 87.799584
725.000000, 87.702167
720.000000, 87.672404
715.000000, 87.611991
710.000000, 87.543081
705.000000, 87.566143
700.000000, 87.670991
695.000000, 87.640507
690.000000, 87.579527
685.000000, 87.441629
680.000000, 87.428876
675.000000, 87.518861
670.000000, 87.412975
665.000000, 87.400942
660.000000, 87.361039
655.000000, 87.354422
650.000000, 87.279479
645.000000, 87.321021
640.000000, 87.267858
635.000000, 87.290540
630.000000, 87.203872
625.000000, 87.201768
620.000000, 87.179809
615.000000, 87.094096
610.000000, 87.070055
605.000000, 87.113243
600.000000, 87.030532
595.000000, 86.981470
590.000000, 86.939593
585.000000, 86.878144
580.000000, 86.891480
575.000000, 86.824029
570.000000, 86.836376
565.000000, 86.789789
560.000000, 86.762353
555.000000, 86.697800
550.000000, 86.736250
545.000000, 86.611357
540.000000, 86.605372
535.000000, 86.520568
530.000000, 86.461582
525.000000, 86.414487
520.000000, 86.318864
515.000000, 86.303126
510.000000, 86.219179
505.000000, 86.171321
500.000000, 86.168903
495.000000, 86.110483
490.000000, 85.927138
485.000000, 85.999712
480.000000, 85.902638
475.000000, 85.846043
470.000000, 85.760600
465.000000, 85.599571
460.000000, 85.592518
455.000000, 85.449983
450.000000, 85.316233
445.000000, 85.177879
440.000000, 85.103743
435.000000, 84.908873
430.000000, 84.836800
425.000000, 84.655115
420.000000, 84.261152
415.000000, 83.858682
410.000000, 83.297814
405.000000, 82.426154
400.000000, 81.313158
395.000000, 79.998567
390.000000, 78.204018
385.000000, 76.249803
380.000000, 74.304495
375.000000, 72.145218
370.000000, 69.944336
365.000000, 68.608306
360.000000, 68.872363
355.000000, 70.419501
350.000000, 71.917040
