nm, %T
900.000000, 77.441707
895.000000, 77.416970
890.000000, 77.389998
885.000000, 77.367102
880.000000, 77.368633
875.000000, 77.307488
870.000000, 77.306884
865.000000, 77.262691
860.000000, 77.176816
855.000000, 77.056798
850.000000, 76.914210
845.000000, 76.760623
840.000000, 76.607612
835.000000, 76.466749
830.000000, 76.349606
825.000000, 76.267757
820.000000, 76.297172
815.000000, 76.741986
810.000000, 76.736329
805.000000, 76.906894
800.000000, 76.977999
795.000000, 76.902261
790.000000, 76.994814
785.000000, 76.936125
780.000000, 77.126818
775.000000, 77.130451
770.000000, 77.233880
765.000000, 76.966338
760.000000, 76.707415
755.000000, 76.882840
750.000000, 76.762742
745.000000, 76.913160
740.000000, 76.714911
735.000000, 76.606508
730.000000, 76.417695
725.000000, 76.495272
720.000000, 76.531219
715.000000, 76.486533
710.000000, 76.255420
705.000000, 76.290060
700.000000, 76.129746
695.000000, 76.163500
690.000000, 75.968729
685.000000, 75.870722
680.000000, 75.775167
675.000000, 75.672708
670.000000, 75.530393
665.000000, 75.420416
660.000000, 75.263843
655.000000, 75.076138
650.000000, 74.946531
645.000000, 74.822021
640.000000, 74.646153
635.000000, 74.426442
630.000000, 74.218885
625.000000, 73.958428
620.000000, 73.750601
615.000000, 73.497196
610.000000, 73.126227
605.000000, 72.613662
600.000000, 72.020800
595.000000, 71.067934
590.000000, 69.750511
585.000000, 67.929563
580.000000, 65.401245
575.000000, 61.837525
570.000000, 57.215427
565.000000, 51.564339
560.000000, 45.204787
555.000000, 38.886452
550.000000, 33.239824
545.000000, 28.745219
540.000000, 25.551395
535.000000, 23.601591
530.000000, 22.586180
525.000000, 22.373108
520.000000, 22.787957
515.000000, 23.687971
510.000000, 24.880908
505.000000, 26.132317
500.000000, 27.358966
495.000000, 28.541871
490.000000, 29.707321
485.000000, 30.645276
480.000000, 30.533308
475.000000, 29.522114
470.000000, 27.889112
465.000000, 26.138805
460.000000, 24.609481
455.000000, 23.252950
450.000000, 22.181849
445.000000, 21.285921
440.000000, 20.591226
435.000000, 19.939892
430.000000, 19.342617
425.000000, 18.757454
420.000000, 18.075896
415.000000, 17.432646
410.000000, 16.729027
405.000000, 16.008711
400.000000, 15.320930
