nm, %T
900.000000, 78.626430
895.000000, 78.566918
890.000000, 78.515648
885.000000, 78.453071
880.000000, 78.388920
875.000000, 78.299707
870.000000, 78.254069
865.000000, 78.191250
860.000000, 78.035984
855.000000, 77.819473
850.000000, 77.561957
845.000000, 77.283678
840.000000, 77.004875
835.000000, 76.745789
830.000000, 76.526661
825.000000, 76.367731
820.000000, 76.237906
815.000000, 76.723856
810.000000, 76.705095
805.000000, 76.443064
800.000000, 76.648752
795.000000, 76.404506
790.000000, 76.568949
785.000000, 76.385972
780.000000, 76.546477
775.000000, 76.414181
770.000000, 76.490958
765.000000, 76.207426
760.000000, 75.982176
755.000000, 76.099105
750.000000, 75.851121
745.000000, 75.967738
740.000000, 75.687009
735.000000, 75.586585
730.000000, 75.517017
725.000000, 75.389001
720.000000, 75.310774
715.000000, 75.310704
710.000000, 75.178908
705.000000, 75.153328
700.000000, 74.968142
695.000000, 74.923571
690.000000, 74.710460
685.000000, 74.642301
680.000000, 74.560446
675.000000, 74.476850
670.000000, 74.290715
665.000000, 74.228097
660.000000, 74.088160
655.000000, 73.924401
650.000000, 73.795655
645.000000, 73.710154
640.000000, 73.517161
635.000000, 73.284415
630.000000, 73.130589
625.000000, 72.875480
620.000000, 72.686997
615.000000, 72.468285
610.000000, 71.952717
605.000000, 71.785823
600.000000, 71.604841
595.000000, 71.004833
590.000000, 70.404735
585.000000, 69.704781
580.000000, 68.914537
575.000000, 67.668806
570.000000, 66.037535
565.000000, 63.916968
560.000000, 61.124986
555.000000, 57.866169
550.000000, 53.945771
545.000000, 49.046202
540.000000, 44.061565
535.000000, 38.920802
530.000000, 33.888418
525.000000, 29.419836
520.000000, 25.781989
515.000000, 23.066665
510.000000, 21.209585
505.000000, 19.989318
500.000000, 19.194201
495.000000, 18.625615
490.000000, 18.139757
485.000000, 17.676814
480.000000, 17.094859
475.000000, 16.396603
470.000000, 15.591549
465.000000, 14.841713
460.000000, 14.284588
455.000000, 13.888542
450.000000, 13.682029
445.000000, 13.607881
440.000000, 13.614711
435.000000, 13.647253
430.000000, 13.667067
425.000000, 13.709738
420.000000, 13.726444
415.000000, 13.826792
410.000000, 13.901657
405.000000, 14.005616
400.000000, 14.043861
