nm, %T
1100.000000, 79.654527
1090.000000, 79.522722
1080.000000, 79.375148
1070.000000, 79.258593
1060.000000, 79.127320
1050.000000, 78.976934
1040.000000, 78.841100
1030.000000, 78.731796
1020.000000, 78.566918
1010.000000, 78.418740
1000.000000, 78.298772
990.000000, 78.134784
980.000000, 77.966215
970.000000, 77.852032
960.000000, 77.678436
950.000000, 77.507633
940.000000, 77.428026
930.000000, 77.210501
920.000000, 77.075233
910.000000, 76.946540
900.000000, 76.767872
890.000000, 76.627858
880.000000, 76.486257
870.000000, 76.300002
860.000000, 76.156136
850.000000, 76.402366
840.000000, 77.480596
830.000000, 77.612982
820.000000, 77.614577
810.000000, 77.640197
800.000000, 76.877433
790.000000, 75.526443
780.000000, 75.693486
770.000000, 75.516562
760.000000, 75.496983
750.000000, 75.355314
740.000000, 75.183038
730.000000, 75.097680
720.000000, 75.118928
710.000000, 74.990240
700.000000, 74.847173
690.000000, 74.580952
680.000000, 74.368805
670.000000, 74.358556
660.000000, 74.335669
650.000000, 74.107402
640.000000, 73.955660
630.000000, 73.643074
620.000000, 73.251302
610.000000, 72.633959
600.000000, 71.683166
590.000000, 70.230868
580.000000, 67.870221
570.000000, 64.307554
560.000000, 59.068613
550.000000, 52.244132
540.000000, 44.750756
530.000000, 37.044641
520.000000, 29.790622
510.000000, 23.451241
500.000000, 19.965505
490.000000, 24.734054
480.000000, 36.069121
470.000000, 39.588112
460.000000, 33.777441
450.000000, 26.148505
440.000000, 20.087885
430.000000, 15.859011
420.000000, 13.751834
410.000000, 12.795316
400.000000, 11.913023
390.000000, 10.573776
380.000000, 8.645904
370.000000, 7.113841
360.000000, 5.562877
350.000000, 5.128666
340.000000, 5.151535
330.000000, 5.607155
320.000000, 5.833972
310.000000, 5.377935
300.000000, 0.802320
