nm, %T
1100.000000, 82.312563
1095.000000, 82.250273
1090.000000, 82.176622
1085.000000, 82.128634
1080.000000, 82.068584
1075.000000, 81.993052
1070.000000, 81.949472
1065.000000, 81.893068
1060.000000, 81.805578
1055.000000, 81.734174
1050.000000, 81.695000
1045.000000, 81.612779
1040.000000, 81.574720
1035.000000, 81.478656
1030.000000, 81.446259
1025.000000, 81.368069
1020.000000, 81.300832
1015.000000, 81.230392
1010.000000, 81.144646
1005.000000, 81.113995
1000.000000, 81.054100
995.000000, 80.938891
990.000000, 80.879020
985.000000, 80.796529
980.000000, 80.715057
975.000000, 80.660249
970.000000, 80.593149
965.000000, 80.503910
960.000000, 80.444312
955.000000, 80.359213
950.000000, 80.330418
945.000000, 80.234694
940.000000, 80.159305
935.000000, 80.095199
930.000000, 80.000797
925.000000, 79.942899
920.000000, 79.862035
915.000000, 79.803934
910.000000, 79.720301
905.000000, 79.625396
900.000000, 79.544768
895.000000, 79.441648
890.000000, 79.375918
885.000000, 79.288925
880.000000, 79.222466
875.000000, 79.111978
870.000000, 79.072625
865.000000, 78.965611
860.000000, 78.880399
855.000000, 78.880399
850.000000, 78.880399
845.000000, 78.880399
840.000000, 78.880399
835.000000, 78.880399
830.000000, 78.880399
825.000000, 78.880399
820.000000, 78.880399
815.000000, 78.880399
810.000000, 78.880399
805.000000, 78.880399
800.000000, 78.880399
795.000000, 78.880399
790.000000, 78.880399
785.000000, 78.880399
780.000000, 78.880399
775.000000, 78.880399
770.000000, 78.880399
765.000000, 78.756551
760.000000, 78.926347
755.000000, 79.107144
750.000000, 79.201892
745.000000, 79.408655
740.000000, 79.565811
735.000000, 79.627869
730.000000, 79.837421
725.000000, 79.816904
720.000000, 79.923809
715.000000, 80.074015
710.000000, 80.154419
705.000000, 80.275115
700.000000, 80.323332
695.000000, 80.389705
690.000000, 80.347230
685.000000, 79.531781
680.000000, 75.453246
675.000000, 75.179454
670.000000, 75.030335
665.000000, 74.864543
660.000000, 74.748008
655.000000, 74.620000
650.000000, 74.421668
645.000000, 74.202804
640.000000, 74.062096
635.000000, 73.899222
630.000000, 73.686382
625.000000, 73.407083
620.000000, 73.022841
615.000000, 72.597429
610.000000, 72.015315
605.000000, 71.331642
600.000000, 70.484796
595.000000, 69.386317
590.000000, 68.143082
585.000000, 66.666564
580.000000, 64.895039
575.000000, 62.822507
570.000000, 60.544788
565.000000, 58.237998
560.000000, 55.668132
555.000000, 52.497923
550.000000, 49.582710
545.000000, 46.898797
540.000000, 44.390601
535.000000, 42.105290
530.000000, 40.024222
525.000000, 38.185047
520.000000, 36.642815
515.000000, 35.372076
510.000000, 34.311689
505.000000, 33.109308
500.000000, 31.436617
495.000000, 29.408146
490.000000, 27.490803
485.000000, 27.269156
480.000000, 29.810094
475.000000, 31.307568
470.000000, 32.663415
465.000000, 33.405334
460.000000, 33.209658
455.000000, 32.054089
450.000000, 30.198373
445.000000, 27.854221
440.000000, 26.333654
435.000000, 24.740415
430.000000, 23.094416
425.000000, 21.710033
420.000000, 20.553476
415.000000, 19.539527
410.000000, 19.329875
405.000000, 19.126587
400.000000, 18.943574
395.000000, 18.741020
390.000000, 18.425651
385.000000, 18.064676
380.000000, 17.668877
375.000000, 17.668877
370.000000, 17.668877
365.000000, 17.668877
360.000000, 17.668877
355.000000, 17.668877
350.000000, 17.668877
345.000000, 17.668877
340.000000, 17.668877
335.000000, 17.668877
330.000000, 17.668877
325.000000, 17.668877
320.000000, 17.668877
315.000000, 17.668877
310.000000, 17.668877
305.000000, 17.668877
300.000000, 17.668877
