nm, %T
1100.000000, 84.969066
1095.000000, 84.924873
1090.000000, 84.904846
1085.000000, 84.871293
1080.000000, 84.846389
1075.000000, 84.802505
1070.000000, 84.785288
1065.000000, 84.745096
1060.000000, 84.681079
1055.000000, 84.646848
1050.000000, 84.663681
1045.000000, 84.586255
1040.000000, 84.551664
1035.000000, 84.537617
1030.000000, 84.510876
1025.000000, 84.452755
1020.000000, 84.444137
1015.000000, 84.393001
1010.000000, 84.365582
1005.000000, 84.377414
1000.000000, 84.315696
995.000000, 84.245667
990.000000, 84.254027
985.000000, 84.210920
980.000000, 84.166041
975.000000, 84.154057
970.000000, 84.129235
965.000000, 84.100378
960.000000, 84.094849
955.000000, 84.094078
950.000000, 84.091219
945.000000, 84.043884
940.000000, 84.053245
935.000000, 84.051959
930.000000, 84.027110
925.000000, 84.053912
920.000000, 84.014100
915.000000, 83.993074
910.000000, 83.992396
905.000000, 83.939728
900.000000, 83.858708
895.000000, 83.773561
890.000000, 83.728008
885.000000, 83.651005
880.000000, 83.562180
875.000000, 83.469427
870.000000, 83.429720
865.000000, 83.345044
860.000000, 83.245948
855.000000, 83.245948
850.000000, 83.245948
845.000000, 83.245948
840.000000, 83.245948
835.000000, 83.245948
830.000000, 83.245948
825.000000, 83.245948
820.000000, 83.245948
815.000000, 83.245948
810.000000, 83.245948
805.000000, 83.245948
800.000000, 83.245948
795.000000, 83.245948
790.000000, 83.245948
785.000000, 83.245948
780.000000, 83.245948
775.000000, 83.245948
770.000000, 83.245948
765.000000, 83.115246
760.000000, 83.285038
755.000000, 83.436575
750.000000, 83.536666
745.000000, 83.755214
740.000000, 83.921256
735.000000, 83.986820
730.000000, 84.208078
725.000000, 84.187369
720.000000, 84.299772
715.000000, 84.459900
710.000000, 84.547324
705.000000, 84.678240
700.000000, 84.733741
695.000000, 84.806512
690.000000, 84.776663
685.000000, 84.052089
680.000000, 80.237998
675.000000, 80.041776
670.000000, 79.907352
665.000000, 79.762510
660.000000, 79.527656
655.000000, 79.483935
650.000000, 79.298570
645.000000, 79.048389
640.000000, 78.807925
635.000000, 78.585347
630.000000, 78.418420
625.000000, 78.143476
620.000000, 77.804436
615.000000, 77.331310
610.000000, 76.845252
605.000000, 76.077511
600.000000, 75.198785
595.000000, 74.034885
590.000000, 72.703545
585.000000, 70.995427
580.000000, 68.959518
575.000000, 66.580733
570.000000, 63.968608
565.000000, 61.175732
560.000000, 58.044537
555.000000, 54.153414
550.000000, 50.702866
545.000000, 47.524369
540.000000, 44.686238
535.000000, 42.282443
530.000000, 40.468193
525.000000, 39.244349
520.000000, 38.658356
515.000000, 38.481694
510.000000, 38.766889
505.000000, 38.887876
500.000000, 38.397166
495.000000, 37.269373
490.000000, 35.781436
485.000000, 35.284357
480.000000, 36.895835
475.000000, 37.188154
470.000000, 37.391259
465.000000, 37.233255
460.000000, 36.488316
455.000000, 35.357971
450.000000, 34.124789
445.000000, 32.590179
440.000000, 32.090869
435.000000, 31.480240
430.000000, 30.685398
425.000000, 30.037700
420.000000, 29.356196
415.000000, 28.620551
410.000000, 28.440308
405.000000, 28.265747
400.000000, 28.126842
395.000000, 27.959208
390.000000, 27.669298
385.000000, 27.356321
380.000000, 27.029162
375.000000, 27.029162
370.000000, 27.029162
365.000000, 27.029162
360.000000, 27.029162
355.000000, 27.029162
350.000000, 27.029162
345.000000, 27.029162
340.000000, 27.029162
335.000000, 27.029162
330.000000, 27.029162
325.000000, 27.029162
320.000000, 27.029162
315.000000, 27.029162
310.000000, 27.029162
305.000000, 27.029162
300.000000, 27.029162
