nm, %T
1100.000000, 79.365532
1098.000000, 79.424224
1096.000000, 79.525600
1094.000000, 79.572246
1092.000000, 79.623975
1090.000000, 79.731297
1088.000000, 79.767972
1086.000000, 79.842851
1084.000000, 79.910575
1082.000000, 79.967348
1080.000000, 80.041746
1078.000000, 80.146808
1076.000000, 80.193569
1074.000000, 80.281854
1072.000000, 80.349177
1070.000000, 80.401963
1068.000000, 80.500802
1066.000000, 80.583941
1064.000000, 80.631285
1062.000000, 80.726895
1060.000000, 80.800019
1058.000000, 80.826359
1056.000000, 80.920453
1054.000000, 80.953885
1052.000000, 81.051620
1050.000000, 81.148932
1048.000000, 81.191719
1046.000000, 81.250124
1044.000000, 81.326240
1042.000000, 81.373783
1040.000000, 81.435181
1038.000000, 81.506554
1036.000000, 81.581476
1034.000000, 81.647360
1032.000000, 81.691183
1030.000000, 81.773174
1028.000000, 81.839598
1026.000000, 81.876420
1024.000000, 81.961797
1022.000000, 82.006913
1020.000000, 82.040630
1018.000000, 82.114605
1016.000000, 82.151891
1014.000000, 82.178952
1012.000000, 82.260290
1010.000000, 82.304332
1008.000000, 82.333055
1006.000000, 82.379760
1004.000000, 82.426639
1002.000000, 82.462441
1000.000000, 82.522909
998.000000, 82.559765
996.000000, 82.592766
994.000000, 82.625133
992.000000, 82.625605
990.000000, 82.665293
988.000000, 82.699428
986.000000, 82.722046
984.000000, 82.744694
982.000000, 82.757362
980.000000, 82.789893
978.000000, 82.807474
976.000000, 82.805780
974.000000, 82.820001
972.000000, 82.822408
970.000000, 82.833591
968.000000, 82.839377
966.000000, 82.848654
964.000000, 82.852816
962.000000, 82.835018
960.000000, 82.831292
958.000000, 82.815363
956.000000, 82.803648
954.000000, 82.793612
952.000000, 82.774625
950.000000, 82.759909
948.000000, 82.743606
946.000000, 82.699695
944.000000, 82.664459
942.000000, 82.644187
940.000000, 82.603448
938.000000, 82.567523
936.000000, 82.533042
934.000000, 82.490139
932.000000, 82.454313
930.000000, 82.419072
928.000000, 82.370141
926.000000, 82.323935
924.000000, 82.263795
922.000000, 82.203098
920.000000, 82.156064
918.000000, 82.103140
916.000000, 82.038661
914.000000, 81.992454
912.000000, 81.915145
910.000000, 81.830004
908.000000, 81.775117
906.000000, 81.711144
904.000000, 81.620622
902.000000, 81.540470
900.000000, 81.473052
898.000000, 81.389592
896.000000, 81.281903
894.000000, 81.193401
892.000000, 81.125581
890.000000, 81.034663
888.000000, 80.932832
886.000000, 80.844514
884.000000, 80.729880
882.000000, 80.623679
880.000000, 80.526418
878.000000, 80.406157
876.000000, 80.300482
874.000000, 80.193096
872.000000, 80.065809
870.000000, 79.956622
868.000000, 79.860071
866.000000, 79.740087
864.000000, 79.602935
862.000000, 79.463988
860.000000, 79.319875
858.000000, 79.319875
856.000000, 79.319875
854.000000, 79.319875
852.000000, 79.319875
850.000000, 79.319875
848.000000, 79.319875
846.000000, 79.319875
844.000000, 79.319875
842.000000, 79.319875
840.000000, 79.319875
838.000000, 79.319875
836.000000, 79.319875
834.000000, 79.319875
832.000000, 79.319875
830.000000, 79.319875
828.000000, 79.319875
826.000000, 79.319875
824.000000, 79.319875
822.000000, 79.319875
820.000000, 79.319875
818.000000, 79.319875
816.000000, 79.319875
814.000000, 78.633098
812.000000, 77.422766
810.000000, 76.974831
808.000000, 76.942864
806.000000, 76.843915
804.000000, 76.766082
802.000000, 76.704408
800.000000, 76.782249
798.000000, 76.624366
796.000000, 76.539126
794.000000, 76.646798
792.000000, 76.472111
790.000000, 76.294370
788.000000, 76.355563
786.000000, 76.548891
784.000000, 76.585701
782.000000, 76.613826
780.000000, 76.547087
778.000000, 76.370976
776.000000, 76.448881
774.000000, 76.648971
772.000000, 76.632269
770.000000, 76.580677
768.000000, 76.600851
766.000000, 76.745540
764.000000, 76.698196
762.000000, 76.641904
760.000000, 76.682260
758.000000, 76.742317
756.000000, 76.835875
754.000000, 76.785180
752.000000, 76.834314
750.000000, 76.958137
748.000000, 76.960781
746.000000, 76.953302
744.000000, 77.057953
742.000000, 77.060204
740.000000, 77.022151
738.000000, 76.992249
736.000000, 77.114610
734.000000, 77.227552
732.000000, 77.227719
730.000000, 77.244575
728.000000, 77.272950
726.000000, 77.272987
724.000000, 77.281882
722.000000, 77.328748
720.000000, 77.280195
718.000000, 77.258591
716.000000, 77.293101
714.000000, 77.233518
712.000000, 77.241187
710.000000, 77.228279
708.000000, 77.077685
706.000000, 76.894913
704.000000, 76.814021
702.000000, 76.698044
700.000000, 76.462622
698.000000, 76.157762
696.000000, 75.746911
694.000000, 75.215187
692.000000, 74.644627
690.000000, 73.907751
688.000000, 72.912676
686.000000, 71.768683
684.000000, 70.297657
682.000000, 68.422010
680.000000, 66.144057
678.000000, 63.485817
676.000000, 60.295828
674.000000, 56.536033
672.000000, 52.341458
670.000000, 47.801160
668.000000, 43.075856
666.000000, 38.389489
664.000000, 33.886865
662.000000, 29.785668
660.000000, 26.297562
658.000000, 23.438984
656.000000, 21.109902
654.000000, 19.297930
652.000000, 17.968756
650.000000, 17.005424
648.000000, 16.335382
646.000000, 15.877230
644.000000, 15.590445
642.000000, 15.394740
640.000000, 15.252252
638.000000, 15.155772
636.000000, 15.077224
634.000000, 15.019588
632.000000, 14.964583
630.000000, 14.911303
628.000000, 14.836137
626.000000, 14.740636
624.000000, 14.635030
622.000000, 14.509592
620.000000, 14.369666
618.000000, 14.222474
616.000000, 14.087329
614.000000, 13.937164
612.000000, 13.744625
610.000000, 13.556510
608.000000, 13.371134
606.000000, 13.169462
604.000000, 12.970958
602.000000, 12.771882
600.000000, 12.545574
598.000000, 12.316118
596.000000, 12.097299
594.000000, 11.870636
592.000000, 11.636585
590.000000, 11.392059
588.000000, 11.149571
586.000000, 10.916173
584.000000, 10.658334
582.000000, 10.397140
580.000000, 10.141497
578.000000, 9.892504
576.000000, 9.640580
574.000000, 9.380895
572.000000, 9.118415
570.000000, 8.846986
568.000000, 8.579634
566.000000, 8.315928
564.000000, 8.045819
562.000000, 7.790733
560.000000, 7.528008
558.000000, 7.264259
556.000000, 7.001611
554.000000, 6.724719
552.000000, 6.466245
550.000000, 6.208404
548.000000, 5.944049
546.000000, 5.693044
544.000000, 5.440194
542.000000, 5.193705
540.000000, 4.950865
538.000000, 4.720078
536.000000, 4.489974
534.000000, 4.251651
532.000000, 4.022964
530.000000, 3.803645
528.000000, 3.591013
526.000000, 3.392234
524.000000, 3.197211
522.000000, 3.000589
520.000000, 2.815112
518.000000, 2.637365
516.000000, 2.462778
514.000000, 2.309526
512.000000, 2.153420
510.000000, 1.999262
508.000000, 1.850982
506.000000, 1.697340
504.000000, 1.563846
502.000000, 1.445902
500.000000, 1.335877
498.000000, 1.218456
496.000000, 1.103613
494.000000, 1.002974
492.000000, 0.917265
490.000000, 0.826878
488.000000, 0.751810
486.000000, 0.703375
484.000000, 0.628009
482.000000, 0.550697
480.000000, 0.502434
478.000000, 0.454844
476.000000, 0.422384
474.000000, 0.387347
472.000000, 0.344512
470.000000, 0.312227
468.000000, 0.283729
466.000000, 0.257659
464.000000, 0.237302
462.000000, 0.212544
460.000000, 0.187307
458.000000, 0.158473
456.000000, 0.134158
454.000000, 0.119556
452.000000, 0.106915
450.000000, 0.096810
448.000000, 0.090287
446.000000, 0.093322
444.000000, 0.095567
442.000000, 0.087058
440.000000, 0.083401
438.000000, 0.089314
436.000000, 0.093407
434.000000, 0.082330
432.000000, 0.065723
430.000000, 0.046857
428.000000, 0.052795
426.000000, 0.044457
424.000000, 0.039474
422.000000, 0.061766
420.000000, 0.049191
418.000000, 0.065809
416.000000, 0.079316
414.000000, 0.051626
412.000000, 0.026653
410.000000, -0.000409
408.000000, 0.006336
406.000000, 0.036394
404.000000, 0.041153
402.000000, 0.048763
400.000000, 0.011382
398.000000, 0.019700
396.000000, 0.068235
394.000000, 0.015403
392.000000, 0.013454
390.000000, 0.028577
388.000000, 0.039617
386.000000, 0.055460
384.000000, 0.046825
382.000000, 0.027720
380.000000, -0.035180
378.000000, -0.035180
376.000000, -0.035180
374.000000, -0.035180
372.000000, -0.035180
370.000000, -0.035180
368.000000, -0.035180
366.000000, -0.035180
364.000000, -0.035180
362.000000, -0.035180
360.000000, -0.035180
358.000000, -0.035180
356.000000, -0.035180
354.000000, -0.035180
352.000000, -0.035180
350.000000, -0.035180
348.000000, -0.035180
346.000000, -0.035180
344.000000, -0.035180
342.000000, -0.035180
340.000000, -0.035180
338.000000, -0.035180
336.000000, -0.035180
334.000000, -0.035180
332.000000, -0.035180
330.000000, -0.035180
328.000000, -0.035180
326.000000, -0.035180
324.000000, -0.035180
322.000000, -0.035180
320.000000, -0.035180
318.000000, -0.035180
316.000000, -0.035180
314.000000, -0.035180
312.000000, -0.035180
310.000000, -0.035180
308.000000, -0.035180
306.000000, -0.035180
304.000000, -0.035180
302.000000, -0.035180
300.000000, -0.035180
