nm, %T
1100.000000, 87.055697
1090.000000, 87.031574
1080.000000, 86.986824
1070.000000, 86.921885
1060.000000, 86.834034
1050.000000, 86.822803
1040.000000, 86.753945
1030.000000, 86.689186
1020.000000, 86.593726
1010.000000, 86.520076
1000.000000, 86.441082
990.000000, 86.358775
980.000000, 86.257389
970.000000, 86.191286
960.000000, 86.109633
950.000000, 86.008348
940.000000, 85.959399
930.000000, 85.891457
920.000000, 85.789289
910.000000, 85.742852
900.000000, 85.706444
890.000000, 85.650829
880.000000, 85.627980
870.000000, 85.551271
860.000000, 85.513482
850.000000, 85.708387
840.000000, 86.000714
830.000000, 86.346760
820.000000, 86.702818
810.000000, 87.025184
800.000000, 87.270154
790.000000, 87.394022
780.000000, 86.195969
770.000000, 85.597708
760.000000, 85.698842
750.000000, 86.135304
740.000000, 86.388847
730.000000, 86.638959
720.000000, 86.914710
710.000000, 87.226784
700.000000, 87.285482
690.000000, 87.402840
680.000000, 87.531353
670.000000, 87.425773
660.000000, 87.404634
650.000000, 87.426500
640.000000, 87.278729
630.000000, 87.155684
620.000000, 86.914354
610.000000, 86.447291
600.000000, 85.922859
590.000000, 85.123561
580.000000, 84.301430
570.000000, 83.266588
560.000000, 81.847573
550.000000, 80.157160
540.000000, 78.214916
530.000000, 75.956170
520.000000, 73.304336
510.000000, 70.034005
500.000000, 66.030945
490.000000, 61.496130
480.000000, 56.489168
470.000000, 52.162389
460.000000, 48.686040
450.000000, 46.971593
440.000000, 46.361177
430.000000, 46.111551
420.000000, 45.831062
410.000000, 45.986820
400.000000, 46.945291
390.000000, 49.126341
380.000000, 51.665165
370.000000, 51.665165
360.000000, 51.665165
350.000000, 51.665165
340.000000, 51.665165
330.000000, 51.665165
320.000000, 51.665165
310.000000, 51.665165
300.000000, 51.665165
