nm, %T
1100.000000, 89.079029
1090.000000, 89.031406
1080.000000, 88.980607
1070.000000, 88.904165
1060.000000, 88.819794
1050.000000, 88.778819
1040.000000, 88.701818
1030.000000, 88.658446
1020.000000, 88.520527
1010.000000, 88.465091
1000.000000, 88.364587
990.000000, 88.307628
980.000000, 88.208022
970.000000, 88.138209
960.000000, 88.049900
950.000000, 87.959261
940.000000, 87.888140
930.000000, 87.855629
920.000000, 87.807519
910.000000, 87.717613
900.000000, 87.676345
890.000000, 87.619020
880.000000, 87.582613
870.000000, 87.527900
860.000000, 87.481413
850.000000, 87.578551
840.000000, 87.729022
830.000000, 87.907544
820.000000, 88.088836
810.000000, 88.247618
800.000000, 88.358608
790.000000, 88.396525
780.000000, 87.382762
770.000000, 86.726043
760.000000, 86.774385
750.000000, 87.021417
740.000000, 87.249857
730.000000, 87.234762
720.000000, 87.361362
710.000000, 87.628402
700.000000, 87.408219
690.000000, 87.462103
680.000000, 87.443004
670.000000, 87.339553
660.000000, 87.343655
650.000000, 87.299841
640.000000, 87.209379
630.000000, 87.145623
620.000000, 87.129544
610.000000, 86.991660
600.000000, 87.009129
590.000000, 86.892977
580.000000, 86.839228
570.000000, 86.763947
560.000000, 86.638172
550.000000, 86.507137
540.000000, 86.346010
530.000000, 86.140262
520.000000, 85.788722
510.000000, 85.251926
500.000000, 84.402125
490.000000, 83.171694
480.000000, 80.821890
470.000000, 77.444896
460.000000, 73.023887
450.000000, 68.343206
440.000000, 64.052327
430.000000, 58.920366
420.000000, 50.242608
410.000000, 37.839577
400.000000, 26.288332
390.000000, 20.148642
380.000000, 19.675933
370.000000, 19.675933
360.000000, 19.675933
350.000000, 19.675933
340.000000, 19.675933
330.000000, 19.675933
320.000000, 19.675933
310.000000, 19.675933
300.000000, 19.675933
