Wavelength [nm],Transmittance %
300,49.303
310,43.413
320,49.303
330,49.303
340,51.543
350,52.36
360,53.282
370,53.106
380,53.134
390,53.245
400,53.305
410,53.499
420,53.456
430,53.467
440,53.401
450,53.45
460,53.824
470,55.045
480,56.894
490,58.782
500,60.644
510,62.712
520,64.884
530,67.16
540,69.397
550,71.378
560,73.037
570,74.337
580,75.207
590,75.924
600,76.256
610,76.602
620,76.833
630,77.068
640,77.204
650,77.341
660,77.393
670,77.5
680,77.707
690,77.787
700,77.915
710,78.043
720,78.092
730,78.249
740,78.346
750,78.356
760,78.581
770,78.739
780,78.64
790,78.714
800,78.883
810,78.847
820,78.793
830,78.202
840,78.879
850,79.168
860,79.307
870,79.353
880,79.436
890,79.483
900,79.532
910,79.58
920,79.698
930,79.78
940,79.868
950,79.957
960,80.07
970,80.123
980,80.192
990,80.266
1000,80.311
1010,80.396
1020,80.438
1030,80.519
1040,80.594
1050,80.658
1060,80.721
1070,80.746
1080,80.835
1090,80.906
