nm, %T
1200.000000, 83.906845
1190.000000, 83.848226
1180.000000, 83.796364
1170.000000, 83.747519
1160.000000, 83.698385
1150.000000, 83.672621
1140.000000, 83.622380
1130.000000, 83.580872
1120.000000, 83.536416
1110.000000, 83.517504
1100.000000, 83.471357
1090.000000, 83.434237
1080.000000, 83.394473
1070.000000, 83.339909
1060.000000, 83.316521
1050.000000, 83.268155
1040.000000, 83.237923
1030.000000, 83.201691
1020.000000, 83.156915
1010.000000, 83.106103
1000.000000, 83.092017
990.000000, 83.040842
980.000000, 82.965329
970.000000, 82.944497
960.000000, 82.901365
950.000000, 82.846876
940.000000, 82.765761
930.000000, 82.713379
920.000000, 82.654936
910.000000, 82.602055
900.000000, 82.536961
890.000000, 82.466284
880.000000, 82.376072
870.000000, 82.350498
860.000000, 82.235146
850.000000, 81.995809
840.000000, 81.657896
830.000000, 81.329222
820.000000, 81.117598
810.000000, 81.297859
800.000000, 81.497249
790.000000, 81.771826
780.000000, 81.406223
770.000000, 81.376602
760.000000, 81.234928
750.000000, 81.025714
740.000000, 80.865806
730.000000, 80.696359
720.000000, 80.551360
710.000000, 80.285522
700.000000, 80.116789
690.000000, 79.742909
680.000000, 79.624712
670.000000, 79.255695
660.000000, 78.911876
650.000000, 78.632102
640.000000, 78.252835
630.000000, 77.874482
620.000000, 77.307027
610.000000, 76.313552
600.000000, 74.548357
590.000000, 71.485672
580.000000, 66.890819
570.000000, 61.518814
560.000000, 56.098372
550.000000, 49.615015
540.000000, 41.096466
530.000000, 30.930475
520.000000, 21.888437
510.000000, 16.123355
500.000000, 13.246344
490.000000, 11.874464
480.000000, 12.336394
470.000000, 14.556705
460.000000, 15.959016
450.000000, 14.735510
440.000000, 12.893981
430.000000, 11.884512
420.000000, 11.248772
410.000000, 10.689991
400.000000, 9.951992
