nm, %T
1200.000000, 81.518383
1190.000000, 81.382593
1180.000000, 81.249211
1170.000000, 81.135738
1160.000000, 81.020990
1150.000000, 80.895785
1140.000000, 80.788569
1130.000000, 80.671921
1120.000000, 80.531060
1110.000000, 80.424344
1100.000000, 80.295416
1090.000000, 80.190650
1080.000000, 80.060677
1070.000000, 79.917565
1060.000000, 79.814391
1050.000000, 79.700303
1040.000000, 79.577030
1030.000000, 79.445743
1020.000000, 79.318530
1010.000000, 79.211644
1000.000000, 79.105443
990.000000, 78.989442
980.000000, 78.863568
970.000000, 78.771037
960.000000, 78.670107
950.000000, 78.567490
940.000000, 78.464594
930.000000, 78.373342
920.000000, 78.276879
910.000000, 78.177746
900.000000, 78.077780
890.000000, 77.958339
880.000000, 77.884033
870.000000, 77.787788
860.000000, 77.719581
850.000000, 77.469771
840.000000, 77.109794
830.000000, 76.767626
820.000000, 76.571242
810.000000, 77.072914
800.000000, 77.233832
790.000000, 77.769318
780.000000, 77.320241
770.000000, 77.582998
760.000000, 77.603818
750.000000, 77.455883
740.000000, 77.673623
730.000000, 77.586356
720.000000, 77.618649
710.000000, 77.749903
700.000000, 77.819253
690.000000, 77.890801
680.000000, 78.196735
670.000000, 78.277650
660.000000, 78.432978
650.000000, 78.707300
640.000000, 78.866636
630.000000, 79.143856
620.000000, 79.409125
610.000000, 79.574978
600.000000, 79.479571
590.000000, 78.957020
580.000000, 77.631109
570.000000, 74.861515
560.000000, 70.074767
550.000000, 62.915224
540.000000, 54.397550
530.000000, 45.361851
520.000000, 36.544546
510.000000, 28.421634
500.000000, 23.493503
490.000000, 29.038984
480.000000, 45.891856
470.000000, 50.471578
460.000000, 41.614094
450.000000, 30.802678
440.000000, 22.793511
430.000000, 18.590665
420.000000, 16.945982
410.000000, 16.550183
400.000000, 16.160669
