nm, %T
1200.000000, 87.707702
1190.000000, 87.689655
1180.000000, 87.642184
1170.000000, 87.629712
1160.000000, 87.632328
1150.000000, 87.625715
1140.000000, 87.626505
1130.000000, 87.625505
1120.000000, 87.615238
1110.000000, 87.633886
1100.000000, 87.633141
1090.000000, 87.627602
1080.000000, 87.641137
1070.000000, 87.633297
1060.000000, 87.630827
1050.000000, 87.617606
1040.000000, 87.625860
1030.000000, 87.603687
1020.000000, 87.580772
1010.000000, 87.559685
1000.000000, 87.579463
990.000000, 87.561654
980.000000, 87.522971
970.000000, 87.499357
960.000000, 87.477111
950.000000, 87.435760
940.000000, 87.395283
930.000000, 87.352549
920.000000, 87.313197
910.000000, 87.306481
900.000000, 87.258269
890.000000, 87.233174
880.000000, 87.153232
870.000000, 87.081224
860.000000, 87.024470
850.000000, 86.767508
840.000000, 86.397205
830.000000, 86.035293
820.000000, 85.803499
810.000000, 86.015213
800.000000, 86.036213
790.000000, 86.401554
780.000000, 86.022535
770.000000, 86.023222
760.000000, 85.910859
750.000000, 85.657116
740.000000, 85.440617
730.000000, 85.307054
720.000000, 84.985014
710.000000, 84.757931
700.000000, 84.619179
690.000000, 84.292931
680.000000, 84.092858
670.000000, 83.746951
660.000000, 83.448622
650.000000, 83.190838
640.000000, 82.793063
630.000000, 82.494255
620.000000, 82.155542
610.000000, 81.702670
600.000000, 81.276598
590.000000, 80.772767
580.000000, 80.243574
570.000000, 79.540894
560.000000, 78.678054
550.000000, 77.369789
540.000000, 75.347141
530.000000, 72.159270
520.000000, 67.675669
510.000000, 62.424079
500.000000, 57.424402
490.000000, 53.369979
480.000000, 51.020522
470.000000, 49.780982
460.000000, 48.780309
450.000000, 47.589940
440.000000, 46.432343
430.000000, 45.575524
420.000000, 44.968615
410.000000, 44.557642
400.000000, 44.199314
