nm, %T
1200.000000, 88.514281
1190.000000, 88.529056
1180.000000, 88.507999
1170.000000, 88.528454
1160.000000, 88.533775
1150.000000, 88.557489
1140.000000, 88.552357
1130.000000, 88.556583
1120.000000, 88.565341
1110.000000, 88.594774
1100.000000, 88.613336
1090.000000, 88.627598
1080.000000, 88.647122
1070.000000, 88.663891
1060.000000, 88.691359
1050.000000, 88.690998
1040.000000, 88.737803
1030.000000, 88.745335
1020.000000, 88.761871
1010.000000, 88.783871
1000.000000, 88.814217
990.000000, 88.810030
980.000000, 88.819551
970.000000, 88.841134
960.000000, 88.854015
950.000000, 88.858719
940.000000, 88.836277
930.000000, 88.861133
920.000000, 88.834580
910.000000, 88.902281
900.000000, 88.880563
890.000000, 88.834529
880.000000, 88.815263
870.000000, 88.843596
860.000000, 88.832280
850.000000, 88.675538
840.000000, 88.445500
830.000000, 88.230157
820.000000, 88.117502
810.000000, 88.576439
800.000000, 88.239836
790.000000, 88.457888
780.000000, 88.415217
770.000000, 88.550917
760.000000, 88.658654
750.000000, 88.336735
740.000000, 88.201128
730.000000, 88.187266
720.000000, 88.098611
710.000000, 88.017035
700.000000, 88.064111
690.000000, 87.826533
680.000000, 87.901520
670.000000, 87.772363
660.000000, 87.620243
650.000000, 87.579687
640.000000, 87.458072
630.000000, 87.361280
620.000000, 87.261048
610.000000, 87.081555
600.000000, 86.887078
590.000000, 86.718919
580.000000, 86.521396
570.000000, 86.212394
560.000000, 85.788987
550.000000, 85.126077
540.000000, 84.091835
530.000000, 82.449829
520.000000, 80.197292
510.000000, 77.551059
500.000000, 74.995331
490.000000, 72.743671
480.000000, 71.044802
470.000000, 69.894907
460.000000, 68.694570
450.000000, 67.360944
440.000000, 66.036695
430.000000, 64.935589
420.000000, 64.153742
410.000000, 63.750300
400.000000, 63.562527
